Date,IWF,IWM,MTUM,SPY,VLUE,VRNT,VXX
2018-09-24,-0.5060403691753583,-0.8107225932317851,-0.2676521347640129,-0.6268477526825242,-0.540519246642155,1.0,0.0
2018-09-25,-0.5141330121570251,-0.810643983589898,-0.2765252738153487,-0.62614324965185,-0.5363393428431631,1.0,0.0
2018-09-26,-0.5143394806172376,-0.8108769288671435,-0.2770417764395935,-0.6259691381257056,-0.5354158825743319,1.0,0.0
2018-09-27,-0.5181701903543752,-0.8019712587465202,-0.27970054924384924,-0.6265518019712587,-0.5355879918742006,1.0,0.0
2018-09-28,-0.5161775771256584,-0.8036493604213695,-0.28017306245297213,-0.6264484574868322,-0.5357787810383748,1.0,0.0
2018-10-01,-0.5157502540363554,-0.8047119039554401,-0.28053140642053365,-0.6263595649392194,-0.5361484325015995,1.0,0.0
2018-10-02,-0.5161814744801513,-0.8311531190926276,-0.27364839319470696,-0.6253308128544423,-0.5344423440453686,1.0,0.0
2018-10-03,-0.5163168840990735,-0.8319531102287767,-0.2739648326715825,-0.6251087162034411,-0.534089619965967,1.0,0.0
2018-10-04,-0.5162424838331505,-0.8319782172975835,-0.2742502741746398,-0.6249290927655713,-0.5343191014635253,1.0,0.0
2018-10-05,-0.5059714425648947,-0.826018159213352,-0.26387371435029955,-0.6307501036054705,-0.5408205553253213,1.0,0.0
2018-10-08,-0.5056869539017776,-0.8257758360952095,-0.2632946670683941,-0.630912925579994,-0.540524254293462,1.0,0.0
2018-10-09,-0.5129349470499243,-0.8302950075642964,-0.2743948562783661,-0.6291603630862329,-0.5353252647503781,1.0,0.0
2018-10-10,-0.5170637475853187,-0.8294761562062042,-0.2780576493314647,-0.6326275519866671,-0.5305480852997992,1.0,0.0
2018-10-11,-0.47888207930296095,-0.8246695709960866,-0.22952816953407668,-0.6200620246621871,-0.5387654138669423,1.0,0.0
2018-10-12,-0.48898131932282546,-0.8178269118505546,-0.22832749562171628,-0.5996789258610625,-0.5137915936952715,1.0,0.0
2018-10-15,-0.4738414456426698,-0.8447610026231419,-0.20606237248615564,-0.600553774409793,-0.5180341008452347,1.0,0.0
2018-10-16,-0.47216149249380557,-0.8517344410435796,-0.2008817956566098,-0.6009328086284799,-0.5180731671767963,1.0,0.0
2018-10-17,-0.46104596791597724,-0.8251564635637725,-0.19279188547586507,-0.5966117545500323,-0.5212574634918351,1.0,0.0
2018-10-18,-0.4597453054176559,-0.8231167709907188,-0.19393481545434924,-0.5989639542413123,-0.5216202604503921,1.0,0.0
2018-10-19,-0.4511114287756415,-0.8149167321849761,-0.18572653848902865,-0.6015295547137445,-0.5204417125294832,1.0,0.0
