Date,BPY,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.25080554102062735,-0.621739968604555,-0.0,-0.46732395141968003,-0.41408939439839165,0.0
2018-09-25,1.0,-0.2490756580762651,-0.6241653330390154,-0.0,-0.4691794051100932,-0.41680922686385957,0.0
2018-09-26,1.0,-0.2519269552725364,-0.6273724341796281,-0.0,-0.4699837003066552,-0.4133767991822527,0.0
2018-09-27,1.0,-0.25090667478751977,-0.63237451897788,-0.0,-0.4708618255308547,-0.41435729907809865,0.0
2018-09-28,1.0,-0.25288184438040345,-0.6317335402349812,-0.0,-0.47148636665927735,-0.41490246065174025,0.0
2018-10-01,1.0,-0.2525053438081226,-0.635094245343253,-0.0,-0.47205951753046665,-0.41634511284457154,0.0
2018-10-02,1.0,-0.2519866629619339,-0.6405946096137817,-0.0,-0.47082522923034176,-0.41514309530425114,0.0
2018-10-03,1.0,-0.25136095989334517,-0.6338184646150427,-0.0,-0.47303077435840457,-0.4192589712254194,0.0
2018-10-04,1.0,-0.256889407969745,-0.6277077945552125,-0.0,-0.48049275604126696,-0.415700342037207,0.0
2018-10-05,1.0,-0.2513938587001748,-0.6263903913899753,-0.0,-0.48068014756872207,-0.41538376189287396,0.0
2018-10-08,1.0,-0.2507970833679891,-0.6259668967811695,-0.0,-0.4806897890154981,-0.41503784413208017,0.0
2018-10-09,1.0,-0.24260272443054937,-0.6309178204555606,-0.0,-0.49003461366681555,-0.4278695846359982,0.0
2018-10-10,1.0,-0.24265342003181425,-0.6307035414282924,-0.0,-0.4901068847152067,-0.42725978846314855,0.0
2018-10-11,1.0,-0.1884105151786441,-0.6212528146279266,-0.0,-0.47133827080111773,-0.43189278641382495,0.0
2018-10-12,1.0,-0.18525005389092478,-0.618991161888338,-0.0,-0.4656714809226126,-0.4246065962491916,0.0
2018-10-15,1.0,-0.1724276959466724,-0.6290452639501128,-0.0,-0.46261154714546826,-0.4238253951188044,0.0
2018-10-16,1.0,-0.16619991383024557,-0.6415876777251185,-0.0,-0.46195066781559674,-0.4230665661352865,0.0
2018-10-17,1.0,-0.15316200286730738,-0.6171082674029629,-0.0,-0.45783996176923486,-0.42683056337280306,0.0
2018-10-18,1.0,-0.15387068484413616,-0.6194158760530442,-0.0,-0.4569879614127402,-0.42725025910866615,0.0
2018-10-19,1.0,-0.14326806354568006,-0.6126563572069457,-0.0,-0.45735472634190105,-0.42566105452050457,0.0
2018-10-22,1.0,-0.1431889566342017,-0.6049040568004856,-0.0,-0.46168870588856337,-0.42964605273576695,0.0
2018-10-23,1.0,-0.1421441774491682,-0.6052284129918141,-0.0,-0.4628729865328757,-0.4303934512806971,0.0
2018-10-24,1.0,-0.1408130939809926,-0.6058078141499471,-0.0,-0.4630675818373812,-0.43022703273495244,0.0
2018-10-25,1.0,-0.1129794116136982,-0.5719823381424244,-0.0,-0.47427735277506805,-0.40789135903886636,0.0
2018-10-26,1.0,-0.09949122360722462,-0.5626558127702874,-0.0,-0.4799033324853727,-0.4018315950139913,0.0
2018-10-29,1.0,-0.09652735407768964,-0.5636058572300183,-0.0,-0.4806030099654261,-0.401464307504576,0.0
2018-10-30,1.0,-0.08873468557775405,-0.5638757561893143,-0.0,-0.48111433074068427,-0.4080880483961161,0.0
2018-10-31,1.0,-0.09020748987854252,-0.5556933198380567,-0.0,-0.47920040485829957,-0.40528846153846154,0.0
2018-11-01,1.0,-0.08388727410590167,-0.5600657146467838,-0.0,-0.4785037280424617,-0.40502969796537347,0.0
2018-11-02,1.0,-0.09823639008703199,-0.5264541486945203,-0.0,-0.5146116740256758,-0.4129552589265205,0.0
2018-11-05,1.0,-0.10062635817461332,-0.521692445353445,-0.0,-0.5153266010481913,-0.41891857343730027,0.0
2018-11-06,1.0,-0.09754285275051884,-0.5202029260293627,-0.0,-0.5197161085346793,-0.42476107509800404,0.0
2018-11-07,1.0,-0.09699390587391815,-0.5204076407026169,-0.0,-0.5186664618220924,-0.42451477441491264,0.0
2018-11-08,1.0,-0.08303891416516279,-0.5195333350278322,-0.0,-0.5130518770810564,-0.42612408814782804,0.0
2018-11-09,1.0,-0.08175059829930241,-0.5210295839910382,-0.0,-0.5162177300269871,-0.4269565660165996,0.0
2018-11-12,1.0,-0.08179184876511841,-0.5050818172578514,-0.0,-0.5274926313649762,-0.42651692245146866,0.0
2018-11-13,1.0,-0.06351565846161598,-0.501675442795596,-0.0,-0.5305736816910634,-0.42369806757199363,0.0
2018-11-14,1.0,-0.06416748545083516,-0.501171491194921,-0.0,-0.5306225279016451,-0.4233995918675837,0.0
2018-11-15,1.0,-0.06355310428578657,-0.503567272175277,-0.0,-0.531953650761524,-0.4309315387339979,0.0
2018-11-16,1.0,-0.05899466214677832,-0.4953578385489135,-0.0,-0.5341394925244757,-0.44127096562017765,0.0
2018-11-19,1.0,-0.06117337516128216,-0.49480102208616894,-0.0,-0.5330280567713208,-0.44093910491562727,0.0
