Date,IWF,IWM,JOE,MTUM,SPY,VLUE,VXX
2018-09-24,-0.23079943899018235,-0.7442917251051895,1.0,-0.0,-0.42849929873772796,-0.4014586255259467,0.0
2018-09-25,-0.23035694241777976,-0.7447805589852957,1.0,-0.0,-0.42892019306319457,-0.4021214502188798,0.0
2018-09-26,-0.22864703563988514,-0.7453690670570351,1.0,-0.0,-0.4315353865210293,-0.4096334665840888,0.0
2018-09-27,-0.2299144818273883,-0.74223585011815,1.0,-0.0,-0.4315010689771576,-0.40947451333408347,0.0
2018-09-28,-0.23361903687831287,-0.7417108379384234,1.0,-0.0,-0.43323559264689293,-0.4108774106236608,0.0
2018-10-01,-0.23442655311468938,-0.7408702518259497,1.0,-0.0,-0.4337723132455374,-0.4109021178195765,0.0
2018-10-02,-0.23436970996501527,-0.7435108904186887,1.0,-0.0,-0.43316217131249296,-0.4103092201783095,0.0
2018-10-03,-0.23416436347227707,-0.740932934739692,1.0,-0.0,-0.4336680015793333,-0.4115009306785493,0.0
2018-10-04,-0.23499393836871632,-0.7392934675350306,1.0,-0.0,-0.43443570441794244,-0.4106684710592349,0.0
2018-10-05,-0.2221910427657425,-0.7338085082500841,1.0,-0.0,-0.4361320013469525,-0.41396340778987545,0.0
2018-10-08,-0.22146502888552358,-0.7333838128891133,1.0,-0.0,-0.4360592293454484,-0.41351169443042235,0.0
2018-10-09,-0.23022535211267606,-0.7386197183098592,1.0,-0.0,-0.4369295774647887,-0.41112676056338027,0.0
2018-10-10,-0.23114827955172607,-0.7379343357549136,1.0,-0.0,-0.43740496705524584,-0.4093315312271217,0.0
2018-10-11,-0.20789444506042795,-0.7342277414347488,1.0,-0.0,-0.425518350149684,-0.4043131167535203,0.0
2018-10-12,-0.20745920745920746,-0.7307829425476484,1.0,-0.0,-0.4134375428493076,-0.39064856711915535,0.0
2018-10-15,-0.21068094453596925,-0.7290774299835254,1.0,-0.0,-0.41507413509060953,-0.3909115870400878,0.0
2018-10-16,-0.20851636283768943,-0.7323742587305073,1.0,-0.0,-0.41434219196134414,-0.3902097518119921,0.0
2018-10-17,-0.19737662267270117,-0.7111032819317598,1.0,-0.0,-0.40957749532507653,-0.3920160437952248,0.0
2018-10-18,-0.19872908972409295,-0.7152400608298936,1.0,-0.0,-0.4085922224636107,-0.39305887464696937,0.0
2018-10-19,-0.1955377015362901,-0.7186091960262743,1.0,-0.0,-0.40812116606047444,-0.39202540578687367,0.0
2018-10-22,-0.19630794475591412,-0.7057295227676741,1.0,-0.0,-0.4251333242171476,-0.40765759606180774,0.0
2018-10-23,-0.19507990367775835,-0.7061624343257443,1.0,-0.0,-0.42658165499124345,-0.4086033274956217,0.0
2018-10-24,-0.1938256062181838,-0.702200448847775,1.0,-0.0,-0.42848541244731514,-0.41233784005692703,0.0
2018-10-25,-0.17110448397060388,-0.6716902758547235,1.0,-0.0,-0.43015763127063583,-0.38973799126637554,0.0
2018-10-26,-0.16531287207302553,-0.6649027649159942,1.0,-0.0,-0.43032147109406005,-0.3853419764519116,0.0
2018-10-29,-0.14758417197955637,-0.6742715633068128,1.0,-0.0,-0.4221771431582276,-0.39045787449286057,0.0
2018-10-30,-0.13599346388003059,-0.6752497166802836,1.0,-0.0,-0.42350367656748283,-0.4007853886092297,0.0
2018-10-31,-0.1415168509879973,-0.657136118245191,1.0,-0.0,-0.42400020965459406,-0.39800303999161385,0.0
2018-11-01,-0.13094459130525818,-0.6649828565446122,1.0,-0.0,-0.4233779150417462,-0.39798989713926763,0.0
2018-11-02,-0.12849923798828908,-0.7027352209833961,1.0,-0.0,-0.4287051148365017,-0.4137857276543408,0.0
2018-11-05,-0.13114402807167921,-0.6975062277341763,1.0,-0.0,-0.4295663354137091,-0.42037875338172664,0.0
2018-11-06,-0.141463021211388,-0.7088206038121354,1.0,-0.0,-0.4258945613893593,-0.4121837782616878,0.0
2018-11-07,-0.1418575234814436,-0.709395268724601,1.0,-0.0,-0.4271066017170385,-0.412896627822483,0.0
2018-11-08,-0.11486107025379083,-0.715401278314123,1.0,-0.0,-0.42130880111250774,-0.4227261786965475,0.0
2018-11-09,-0.11525396528204992,-0.7153556048894002,1.0,-0.0,-0.42124267793618103,-0.422901008371894,0.0
2018-11-12,-0.11463473181660576,-0.7091190355533032,1.0,-0.0,-0.42242551943029366,-0.42098525058010833,0.0
2018-11-13,-0.09184051678492004,-0.7095997034840622,1.0,-0.0,-0.42645345758763104,-0.4195700518902891,0.0
2018-11-14,-0.09133290951472768,-0.7104789150243696,1.0,-0.0,-0.4268648018648018,-0.42021614748887476,0.0
2018-11-15,-0.0906012750310822,-0.7108430547840119,1.0,-0.0,-0.42769092400074066,-0.41615744782160147,0.0
2018-11-16,-0.08591828639428797,-0.7021023403411345,1.0,-0.0,-0.42993521089514747,-0.4264709771254793,0.0
2018-11-19,-0.08381426377931911,-0.7036850743897919,1.0,-0.0,-0.43212262402710855,-0.42770159368878063,0.0
2018-11-20,-0.08042753584845759,-0.7053018678236944,1.0,-0.0,-0.4322450923329277,-0.42766813058892006,0.0
2018-11-21,-0.08403317237035482,-0.7017111064455176,1.0,-0.0,-0.4294824690321226,-0.40914339701868574,0.0
2018-11-23,-0.08437401616119215,-0.7002046384720327,1.0,-0.0,-0.4298457340749292,-0.40917200125931363,0.0
2018-11-26,-0.08387096774193549,-0.7028324154209284,1.0,-0.0,-0.42832415420928405,-0.4075793338578547,0.0
2018-11-27,-0.07799159246977728,-0.704744249197107,1.0,-0.0,-0.424554165905115,-0.40377033342907126,0.0
2018-11-28,-0.08197924310724394,-0.6926826711395324,1.0,-0.0,-0.4352133347311039,-0.41094454345319215,0.0
