Date,GM,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.41138576779026215,-0.6713483146067415,-0.0,-0.7542322097378277,-0.9083520599250936,0.0
2018-09-25,1.0,-0.41020354612587623,-0.6729392360460322,-0.0,-0.7554072796791244,-0.9100348614911722,0.0
2018-09-26,1.0,-0.40884688090737237,-0.678601134215501,-0.0,-0.7643856332703213,-0.9288846880907372,0.0
2018-09-27,1.0,-0.4146756388930894,-0.6695523967941933,-0.0,-0.7662936639951611,-0.9299485861182519,0.0
2018-09-28,1.0,-0.4133303088730104,-0.6711277456428868,-0.0,-0.7662092170428338,-0.9298703262636573,0.0
2018-10-01,1.0,-0.41367056065933233,-0.6709765226267437,-0.0,-0.7662470227968696,-0.9296812974934784,0.0
2018-10-02,1.0,-0.42028930627082706,-0.6517343229324448,-0.0,-0.7757876401090579,-0.9388821569221448,0.0
2018-10-03,1.0,-0.42434273104287945,-0.6686451318342655,-0.0,-0.7762812464330555,-0.9354715976106228,0.0
2018-10-04,1.0,-0.42342754701148105,-0.6759736049128428,-0.0,-0.774955181752298,-0.9399244764847235,0.0
2018-10-05,1.0,-0.39987055509023073,-0.6631386583415823,-0.0,-0.7864539709129673,-0.9577400441635574,0.0
2018-10-08,1.0,-0.39621494261609796,-0.6585087785969446,-0.0,-0.7888956449038534,-0.9566390514554991,0.0
2018-10-09,1.0,-0.39291551062293334,-0.6582418000076014,-0.0,-0.7902398236479039,-0.9592945916156741,0.0
2018-10-10,1.0,-0.39330221073343885,-0.680967629923994,-0.0,-0.8014198078629577,-0.9825224738608743,0.0
2018-10-11,1.0,-0.29908796261400467,-0.6715911660511041,-0.0,-0.7813371523328559,-1.016733247908344,0.0
2018-10-12,1.0,-0.3069188947642809,-0.6605347434274224,-0.0,-0.7596633648618455,-0.9967230207790274,0.0
2018-10-15,1.0,-0.26454552244379714,-0.7090522070356262,-0.0,-0.7564045111658824,-1.0044066024348344,0.0
2018-10-16,1.0,-0.2566510757717493,-0.7259869036482695,-0.0,-0.7557343311506082,-1.003442469597755,0.0
