Date,IWF,IWM,MRNS,MTUM,SPY,VLUE,VXX
2018-09-24,-1.6142582300128259,-2.9293501496365963,1.0,-0.3716331765711843,-2.4768063274903804,-2.2964942283026932,0.0
2018-09-25,-1.6279592929833957,-2.9299410819496514,1.0,-0.3869309051955008,-2.476700589180503,-2.2907337975361544,0.0
2018-09-26,-1.6396299483648882,-2.949225473321859,1.0,-0.3983433734939759,-2.484939759036145,-2.2850688468158347,0.0
2018-09-27,-1.6481401849064716,-2.927004945173081,1.0,-0.4051816813588475,-2.4855944958073533,-2.284562459686089,0.0
2018-09-28,-1.6488549618320612,-2.926459520481669,1.0,-0.4059778518438878,-2.4855391893344803,-2.284593054510268,0.0
2018-10-01,-1.6503179907297618,-2.939204484208257,1.0,-0.40756710143365316,-2.490675865042578,-2.2914735367036756,0.0
2018-10-02,-1.7070085087326468,-3.1756605463502017,1.0,-0.38658755038065384,-2.5672861621137484,-2.3591580832960144,0.0
2018-10-03,-1.7042710196779964,-3.156864937388193,1.0,-0.38450357781753125,-2.569432021466905,-2.365720035778175,0.0
2018-10-04,-1.7044362498603196,-3.1530897306961667,1.0,-0.38451223600402284,-2.5694491004581517,-2.36316906916974,0.0
2018-10-05,-1.6633652348097039,-3.131537947918985,1.0,-0.3377476073892722,-2.5980413977298022,-2.3978410861339863,0.0
2018-10-08,-1.676648721399731,-3.1672274562584115,1.0,-0.332323912068192,-2.619672498878421,-2.4199192462987886,0.0
2018-10-09,-1.694077834179357,-3.1895093062605753,1.0,-0.34630569655950366,-2.6292160180485054,-2.421432600112803,0.0
2018-10-10,-1.6950394588500566,-3.1864712514092446,1.0,-0.3473506200676437,-2.6291995490417137,-2.415783540022548,0.0
2018-10-11,-1.5227006911217438,-3.0547581073896866,1.0,-0.19734183944710262,-2.4977139819245084,-2.360127591706539,0.0
2018-10-12,-1.6043273350471294,-3.1041131105398456,1.0,-0.19098114824335902,-2.4840402742073695,-2.327763496143959,0.0
2018-10-15,-1.5526458175522129,-3.27237311979223,1.0,-0.08938426577210258,-2.5213721458716587,-2.3855643328644085,0.0
2018-10-16,-1.5476989713048186,-3.2976719003789925,1.0,-0.07244179750947483,-2.523443421765024,-2.3871142393069844,0.0
2018-10-17,-1.4904296044236496,-3.1736495108464484,1.0,-0.004040833687792429,-2.5292428753721823,-2.4365163760102084,0.0
2018-10-18,-1.4961058359116612,-3.1923610370212314,1.0,-0.0,-2.534834097940894,-2.4456417369038728,0.0
