Date,IWF,IWM,MTUM,SPY,VLUE,VXX,WLDN
2018-09-24,-0.5779703579693732,-1.3527992515633462,-0.05303067605495101,-1.0016741346201192,-0.9385001723373874,0.0,1.0
2018-09-25,-0.5777372082696008,-1.357132284008487,-0.05057482607193961,-1.0054275423101595,-0.9432575122119703,0.0,1.0
2018-09-26,-0.617332035053554,-1.4260236765233434,-0.07379695587557013,-1.048736739609491,-0.9589504432942142,0.0,1.0
2018-09-27,-0.675771208226221,-1.4580655526992288,-0.09125964010282776,-1.1138603256212511,-1.0167095115681235,0.0,1.0
2018-09-28,-0.6802768537396717,-1.4582036699216656,-0.09169438780985086,-1.1163214937225026,-1.0188324927567336,0.0,1.0
2018-10-01,-0.6853146853146853,-1.4589564281871974,-0.09171597633136094,-1.1214093598708983,-1.0218396987627756,0.0,1.0
2018-10-02,-0.690677966101695,-1.507388092133855,-0.08360495436766623,-1.1258148631029987,-1.0249348109517602,0.0,1.0
2018-10-03,-0.694264039731485,-1.492386617911914,-0.08049991813567646,-1.142607651585439,-1.0478633411559242,0.0,1.0
2018-10-04,-0.694596668128014,-1.5041648399824639,-0.08165278386672511,-1.1431937746602368,-1.0563897413415169,0.0,1.0
2018-10-05,-0.7259529147982062,-1.554091928251121,-0.08856502242152467,-1.165470852017937,-1.0713004484304933,0.0,1.0
2018-10-08,-0.7226542829966989,-1.5488726011301965,-0.08135175963744196,-1.1714877189056119,-1.0706652492586584,0.0,1.0
2018-10-09,-0.7200987820620756,-1.555761351518213,-0.06802492002020542,-1.183364202727732,-1.0853679070550597,0.0,1.0
2018-10-10,-0.7260659241759478,-1.5564180447744405,-0.07256159298008776,-1.1890538868264147,-1.0808302396220046,0.0,1.0
2018-10-11,-0.6113184762322977,-1.5734987375123506,-0.0,-1.1763091448018441,-1.1279503787462948,0.0,1.0
2018-10-12,-0.6317251143541712,-1.5756915704639514,-0.0,-1.147407972119364,-1.0905576127205403,0.0,1.0
2018-10-15,-0.5818796336676842,-1.6318142171827301,-0.0,-1.1416812036633233,-1.095998691670301,0.0,1.0
2018-10-16,-0.580444735120994,-1.633584041857423,-0.0,-1.1408872901678657,-1.0952692391541312,0.0,1.0
2018-10-17,-0.5370884993587003,-1.5614044463445915,-0.0,-1.1330696879008122,-1.1125480974775546,0.0,1.0
2018-10-18,-0.5367104841295287,-1.5611307042855618,-0.0,-1.13326921021695,-1.112482633322646,0.0,1.0
2018-10-19,-0.5055305636411749,-1.5408309076475257,-0.0,-1.135591426303255,-1.1104525006615507,0.0,1.0
2018-10-22,-0.5170363227258117,-1.5790206793099755,-0.0,-1.1428801028608164,-1.1183970856102003,0.0,1.0
2018-10-23,-0.5239090811622171,-1.5807333547764555,-0.0,-1.13927307816018,-1.11691862335156,0.0,1.0
2018-10-24,-0.5241531584899564,-1.579137271797081,-0.0,-1.1503042705584579,-1.131724917873876,0.0,1.0
2018-10-25,-0.45368531102979615,-1.504913748039728,-0.0,-1.1840564558285416,-1.0847882906429693,0.0,1.0
2018-10-26,-0.42082394592854844,-1.5421092157493832,-0.0,-1.276687050745628,-1.1245574509172835,0.0,1.0
2018-10-29,-0.39175531914893613,-1.5454255319148937,-0.0,-1.2594148936170213,-1.1226063829787234,0.0,1.0
