Date,IWF,IWM,MTUM,SPY,TWLO,VLUE,VXX
2018-09-24,-1.038991421887185,-1.758188198596309,-0.6165843514426826,-1.1295814920717444,1.0,-0.9552248505328829,0.0
2018-09-25,-1.039371101871102,-1.757016632016632,-0.6175935550935552,-1.1287681912681913,1.0,-0.9541320166320165,0.0
2018-09-26,-1.0507488064874764,-1.7752272578641033,-0.6291936433195998,-1.1366163102478584,1.0,-0.9480086325289386,0.0
2018-09-27,-1.0505374934452019,-1.7851337178814894,-0.6279496591504982,-1.139748295752491,1.0,-0.9514289459884635,0.0
2018-09-28,-1.0488268449338054,-1.7857517367938132,-0.628522742168043,-1.1394022807707433,1.0,-0.9514353126228864,0.0
2018-10-01,-1.0494134609083163,-1.784389540598991,-0.6286126220591127,-1.1397208204993774,1.0,-0.9514384953142407,0.0
2018-10-02,-1.0503715394226343,-1.8131123824554483,-0.6222792135200894,-1.139343723285329,1.0,-0.9507463668047608,0.0
2018-10-03,-1.057220347952636,-1.8397830257326189,-0.6263147449890851,-1.1424885890057552,1.0,-0.9491962691010122,0.0
2018-10-04,-1.0595584346906397,-1.8329587519830777,-0.6270491803278688,-1.1453595980962454,1.0,-0.9453331570597567,0.0
2018-10-05,-1.0463462804476629,-1.8289664252797893,-0.6119157340355497,-1.1483870967741936,1.0,-0.947597103357472,0.0
2018-10-08,-1.0431555438780873,-1.8239621650026274,-0.6075275880189176,-1.1492380451918025,1.0,-0.944692590646348,0.0
2018-10-09,-1.05098814229249,-1.8294466403162057,-0.6189723320158104,-1.1482872200263505,1.0,-0.9399868247694336,0.0
2018-10-10,-1.0521567336187025,-1.8279222917352649,-0.6204807375699704,-1.148501810997695,1.0,-0.9363845900559763,0.0
2018-10-11,-0.9824035702900862,-1.8134523430028693,-0.5378386993943258,-1.111316544469238,1.0,-0.9304430985017532,0.0
2018-10-12,-1.0173311325545964,-1.8226256983240225,-0.5354875571356018,-1.0825292026409346,1.0,-0.8904900964956831,0.0
2018-10-15,-1.0290630975143402,-1.8228808158062457,-0.5410452517527087,-1.0890376035691522,1.0,-0.891395793499044,0.0
2018-10-16,-1.0252041858090863,-1.843734047983665,-0.5269270035732516,-1.091628381827463,1.0,-0.8933129147524248,0.0
2018-10-17,-1.0022897850146293,-1.7923928253402874,-0.47780180638595604,-1.1278463299834627,1.0,-0.9602467879404656,0.0
2018-10-18,-1.006374298827129,-1.8009943906170323,-0.4748852626211117,-1.1284421213666498,1.0,-0.9636664966853647,0.0
2018-10-19,-0.9893805309734512,-1.7867256637168143,-0.4571428571428571,-1.129772439949431,1.0,-0.9580910240202276,0.0
2018-10-22,-0.9921939983364259,-1.829931537526393,-0.48250047987715144,-1.130974470535543,1.0,-0.9627615330475398,0.0
2018-10-23,-1.0032119226569025,-1.8363846598573907,-0.49784801181987537,-1.124686837540952,1.0,-0.9617138819297232,0.0
2018-10-24,-1.0070024412180394,-1.8326480791468587,-0.4847745085442632,-1.1306694076834125,1.0,-0.9692278041886163,0.0
2018-10-25,-0.9529353480307158,-1.749938072826356,-0.47436215011146887,-1.1138840723309387,1.0,-0.9015977210800098,0.0
2018-10-26,-0.9320239843367596,-1.72864659813999,-0.44946157611355847,-1.1208394517865883,1.0,-0.887481644640235,0.0
2018-10-29,-0.9102587519025875,-1.7466057838660578,-0.42879756468797564,-1.1087366818873667,1.0,-0.8938812785388128,0.0
2018-10-30,-0.8944996040689529,-1.7509289151489307,-0.4165194615337759,-1.1145154413108362,1.0,-0.9149052811110434,0.0
