Date,IWF,IWM,MTUM,SPY,SWI,VLUE,VXX
2019-06-19,-0.0,-0.35264598540145986,-0.5719282238442822,-1.2271517639902678,1.0,-0.6499771897810219,0.0
2019-06-20,-0.0,-0.35359725923106206,-0.5792158355538637,-1.2241339931480777,1.0,-0.6496764370003807,0.0
2019-06-21,-0.0,-0.353939855348306,-0.5796345641416064,-1.2231823372668444,1.0,-0.6498667681766274,0.0
2019-06-24,-0.0,-0.3503863575806022,-0.5775189372311674,-1.2271325796505652,1.0,-0.6514788169464428,0.0
2019-06-25,-0.0,-0.35281129848871295,-0.5772583653736344,-1.2254368266778333,1.0,-0.6512619437359626,0.0
2019-06-26,-0.0,-0.3532207772454179,-0.5673815499277512,-1.212449615940376,1.0,-0.669556620275306,0.0
2019-06-27,-0.0,-0.37275683948727756,-0.5959058733499139,-1.2335182705184617,1.0,-0.6241056055098526,0.0
2019-06-28,-0.0,-0.38069900088045017,-0.5941890288251732,-1.2291084484936645,1.0,-0.6240477739922673,0.0
2019-07-01,-0.0,-0.371600168317968,-0.6006656210550476,-1.239585325733522,1.0,-0.6135955013197659,0.0
2019-07-02,-0.0,-0.3916644300448603,-0.5895096046930716,-1.2302058970131515,1.0,-0.6228288792607646,0.0
2019-07-03,-0.0,-0.37711278426551936,-0.6024892440073756,-1.2399738783036265,1.0,-0.6218500307314075,0.0
2019-07-05,-0.0,-0.3776003684654947,-0.5967989560144316,-1.2379672986873418,1.0,-0.6258539955477087,0.0
2019-07-08,-0.0,-0.3848488340824402,-0.5899120279666552,-1.2376781529714573,1.0,-0.6291344934885329,0.0
2019-07-09,-0.0,-0.38116815790484243,-0.5892246841519143,-1.239890941208095,1.0,-0.6298529242348605,0.0
2019-07-10,-0.0,-0.3836739406535042,-0.595196859485048,-1.2434283954893584,1.0,-0.6263710887888234,0.0
2019-07-11,-0.0,-0.3887819525716046,-0.593701878657222,-1.2398367724052972,1.0,-0.6274253156760087,0.0
2019-07-12,-0.0,-0.3795136614127712,-0.5946664611353039,-1.243670276311226,1.0,-0.635862653666808,0.0
2019-07-15,-0.0,-0.37824293589298796,-0.6036390270228597,-1.2586253421225089,1.0,-0.6143942022281331,0.0
2019-07-16,-0.0,-0.3620722984728397,-0.6123332688961918,-1.2664218055287069,1.0,-0.6254011212062632,0.0
2019-07-17,-0.0,-0.3570875290472502,-0.6161115414407436,-1.2722308288148723,1.0,-0.6275367931835787,0.0
