Date,IWF,IWM,MTUM,NTCT,SPY,VLUE,VXX
2018-09-24,-0.5152656833125999,-0.8591078727563534,-0.0,1.0,-0.6979918251288431,-0.4819264261595877,0.0
2018-09-25,-0.5231059527200228,-0.8592637425234976,-0.0,1.0,-0.6983409285103959,-0.47949302193107374,0.0
2018-09-26,-0.5214701991490579,-0.8611677214058422,-0.0,1.0,-0.702670814115628,-0.4900783009760807,0.0
2018-09-27,-0.521804403774664,-0.8601301115241636,-0.0,1.0,-0.7025307406348298,-0.4900271661424077,0.0
2018-09-28,-0.518918918918919,-0.865294433506354,-0.0,1.0,-0.7038124216932165,-0.4917129049579381,0.0
2018-10-01,-0.5186074860174961,-0.8687795783737272,-0.0,1.0,-0.7044672307471677,-0.4934389789186864,0.0
2018-10-02,-0.5172909626860307,-0.8838162340930333,-0.0,1.0,-0.7022790998633979,-0.491408440578043,0.0
2018-10-03,-0.5175277747815771,-0.884298709236688,-0.0,1.0,-0.7022255779671377,-0.49138891885089714,0.0
2018-10-04,-0.5217672646223532,-0.877772585109825,-0.0,1.0,-0.7076607829744401,-0.4876873854117986,0.0
2018-10-05,-0.5385624726636536,-0.9025003644846188,-0.0,1.0,-0.7152646158332119,-0.48851873450940375,0.0
2018-10-08,-0.540944651604884,-0.907253052570008,-0.0,1.0,-0.7166045185347664,-0.4909702420121372,0.0
2018-10-09,-0.5394429010089195,-0.9071867232051469,-0.0,1.0,-0.7171004532826436,-0.49177511332066093,0.0
2018-10-10,-0.5414443388641181,-0.9061106644251152,-0.0,1.0,-0.7182954462393101,-0.48881660697317453,0.0
2018-10-11,-0.47299352693572916,-0.8896749319090234,-0.0,1.0,-0.6896466343602985,-0.4848784974001627,0.0
2018-10-12,-0.48920384951881013,-0.8866491688538931,-0.0,1.0,-0.6684864391951005,-0.4552230971128609,0.0
2018-10-15,-0.4660919339639105,-0.9075075913580679,-0.0,1.0,-0.6631182157690831,-0.45356183030260727,0.0
2018-10-16,-0.45400289578698316,-0.9484408659109369,-0.0,1.0,-0.6694565102235407,-0.45958258290073106,0.0
2018-10-17,-0.4450384346610762,-0.9290006988120195,-0.0,1.0,-0.6627183787561146,-0.45733752620545076,0.0
2018-10-18,-0.44496866417857894,-0.93144848954299,-0.0,1.0,-0.678262094218717,-0.4661995634110274,0.0
2018-10-19,-0.42860634843035234,-0.91923036630932,-0.0,1.0,-0.6813213674616755,-0.46282781017564684,0.0
2018-10-22,-0.42886072413672705,-0.9176704723997068,-0.0,1.0,-0.68150553402465,-0.4634963862993611,0.0
2018-10-23,-0.44701811376716916,-0.9319586172804633,-0.0,1.0,-0.6825323964549274,-0.4694396384308464,0.0
2018-10-24,-0.44556899530980004,-0.9290827661600312,-0.0,1.0,-0.6825122544697958,-0.4692668476919279,0.0
