Date,DSL,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.12958893252152612,-0.2489642252404799,-0.0,-0.21989047807760206,-0.20290377202147208,0.0
2018-09-25,1.0,-0.1329392257227309,-0.2484680268185423,-0.0,-0.21957681493763967,-0.20131929925744357,0.0
2018-09-26,1.0,-0.13206594278705672,-0.24806103675913568,-0.0,-0.22001370801919123,-0.20352801125500522,0.0
2018-09-27,1.0,-0.13286461150171264,-0.24634937804218496,-0.0,-0.22006489994591671,-0.20351541373715523,0.0
2018-09-28,1.0,-0.13181244364292155,-0.24766456266907125,-0.0,-0.22021641118124435,-0.20375112714156898,0.0
2018-10-01,1.0,-0.13155995091315964,-0.24873673572511373,-0.0,-0.22024110301017832,-0.20412546018912872,0.0
2018-10-02,1.0,-0.1349060014461316,-0.2380332610267534,-0.0,-0.22541576283441794,-0.20930947216196674,0.0
2018-10-03,1.0,-0.13453927751775485,-0.2344182012035347,-0.0,-0.22661148960008676,-0.21155827023510487,0.0
2018-10-04,1.0,-0.13640141659439142,-0.23162402428447526,-0.0,-0.22904018502457357,-0.2097969066204105,0.0
2018-10-05,1.0,-0.13773850823937553,-0.23308759757155245,-0.0,-0.2280464006938421,-0.20799002601908065,0.0
2018-10-08,1.0,-0.13724003466204507,-0.23239818024263434,-0.0,-0.228065424610052,-0.2076292605430387,0.0
2018-10-09,1.0,-0.14756284712072493,-0.24002484653610057,-0.005298158433206665,-0.22933718211049403,-0.204728149663841,0.0
2018-10-10,1.0,-0.14912088313777097,-0.2390978542968893,-0.006872098548817487,-0.23043462367949705,-0.2021420477391527,0.0
2018-10-11,1.0,-0.14847034414981708,-0.23759258922234153,-0.0039128614847034416,-0.2300034578775911,-0.19997452090196008,0.0
2018-10-12,1.0,-0.14792406347366133,-0.2356532135352511,-0.0019382653430910805,-0.22842547641475255,-0.19754003333091805,0.0
2018-10-15,1.0,-0.15549407546276917,-0.2271527638739739,-0.009464698494748913,-0.2305746164066908,-0.19744817167506962,0.0
2018-10-16,1.0,-0.15411663964144515,-0.23420846466376374,-0.004445497112248802,-0.2313480423415381,-0.19778818299415163,0.0
2018-10-17,1.0,-0.15091780450311962,-0.2260421376254634,-0.002097838864273442,-0.2303101546251921,-0.19909575911022692,0.0
2018-10-18,1.0,-0.15119286631577045,-0.22654511910575725,-0.0017906560312550871,-0.23007216886429,-0.1991607430318158,0.0
2018-10-19,1.0,-0.14952092788703986,-0.2237951156256754,-0.0,-0.2297565016929616,-0.1979324256177509,0.0
2018-10-22,1.0,-0.14941742152749016,-0.22128977651317333,-0.0,-0.23101442489509988,-0.19913918853211837,0.0
2018-10-23,1.0,-0.14846579340912777,-0.22150952235094862,-0.0,-0.23203185528188683,-0.1997621664474514,0.0
2018-10-24,1.0,-0.1479202648244099,-0.2191457973517559,-0.0,-0.2319192573402418,-0.20009355210132412,0.0
2018-10-25,1.0,-0.1366884945782284,-0.20130967469370512,-0.0,-0.23408674834530344,-0.18823053091113925,0.0
2018-10-26,1.0,-0.12839739220107318,-0.1964064111303375,-0.0,-0.23805778407005398,-0.1849929211892402,0.0
