Date,IWF,IWM,LHX,MTUM,SPY,VLUE,VXX
2018-09-24,-0.3660996773486201,-0.6369075588133947,1.0,-0.1006171099207468,-0.5880086458039657,-0.4408733515020518,0.0
2018-09-25,-0.36539607843137256,-0.6394666666666667,1.0,-0.09844705882352942,-0.5902117647058823,-0.44373333333333337,0.0
2018-09-26,-0.3686263407882734,-0.6445534899814412,1.0,-0.10295366613192412,-0.5910163253751061,-0.4383945141706772,0.0
2018-09-27,-0.37128308291946943,-0.6376752373169046,1.0,-0.10495379392720187,-0.591123404790344,-0.43826617212547936,0.0
2018-09-28,-0.3735997482693518,-0.637098804279421,1.0,-0.10494021397105097,-0.5919446192573946,-0.4390497168030207,0.0
2018-10-01,-0.3730266267527966,-0.6401134394201984,1.0,-0.10546714983456751,-0.5922167953363794,-0.4403025051205293,0.0
2018-10-02,-0.3730854081311062,-0.6408131106208635,1.0,-0.105641348881185,-0.5918688937913645,-0.44021430822565394,0.0
2018-10-03,-0.37266513371342175,-0.6351466280278453,1.0,-0.10495479887863422,-0.5935678961791666,-0.44356947113113054,0.0
2018-10-04,-0.3741224618290572,-0.6317645206988824,1.0,-0.10546198646308831,-0.5952148591216748,-0.4415236895954668,0.0
2018-10-05,-0.3635594017496002,-0.6251842097011884,1.0,-0.09444078637945631,-0.6031417552440975,-0.44915812247201575,0.0
2018-10-08,-0.36217958749334916,-0.6226409189070764,1.0,-0.09220368689555881,-0.6045507182873775,-0.44821758317423555,0.0
2018-10-09,-0.3617500704159234,-0.6227897224047821,1.0,-0.09107126091446813,-0.6051387976089883,-0.4488467436547429,0.0
2018-10-10,-0.3616075620520204,-0.6232432939998122,1.0,-0.09051926507871921,-0.6053710601270775,-0.4492785376694106,0.0
2018-10-11,-0.3332722441125263,-0.6158098903448487,1.0,-0.05424722807660588,-0.5984605516356638,-0.45267112617978555,0.0
2018-10-12,-0.3320929665100958,-0.6174891722076497,1.0,-0.0482218019886537,-0.6010797291526871,-0.4512291831879461,0.0
2018-10-15,-0.3195188794153471,-0.6386419001218027,1.0,-0.029811205846528622,-0.602436053593179,-0.4546285018270401,0.0
2018-10-16,-0.33750044393934014,-0.9062400113648472,1.0,-0.0,-0.7309727598820898,-0.5768015058422418,0.0
2018-10-17,-0.31136236348361807,-0.862293475217026,1.0,-0.0,-0.7319028283394008,-0.5948613833660039,0.0
2018-10-18,-0.31219341275402945,-0.8649964961457604,1.0,-0.0,-0.7311843027330064,-0.5954800280308339,0.0
2018-10-19,-0.293907059191547,-0.8522818115463487,1.0,-0.0,-0.7352194918494317,-0.5943137186750547,0.0
