Date,IWF,IWM,MTUM,OKTA,SPY,VLUE,VXX
2018-09-24,-1.0801251356700505,-1.7387473664049036,-0.5124816446402349,1.0,-1.1628040605248036,-0.8902509097873972,0.0
2018-09-25,-1.0814138965099214,-1.735979072289925,-0.5154086645824029,1.0,-1.1605308492311617,-0.8871307343839724,0.0
2018-09-26,-1.0823814689553954,-1.737221619552039,-0.5175164316252953,1.0,-1.1601046519047924,-0.8840533469465893,0.0
2018-09-27,-1.0859892911779705,-1.7250764915859256,-0.520652728199898,1.0,-1.1595486996430393,-0.8830953595104539,0.0
2018-09-28,-1.0848256962590022,-1.7250015932700276,-0.5211904913644765,1.0,-1.1590720795360399,-0.8830539799885284,0.0
2018-10-01,-1.086249760948556,-1.7235927838337477,-0.5212596417415694,1.0,-1.1601963409192324,-0.8834703894944858,0.0
2018-10-02,-1.0909787397050374,-1.6986528762050694,-0.5313158398774182,1.0,-1.1697631360531189,-0.8937623699163635,0.0
2018-10-03,-1.0999871233582281,-1.7310713365954158,-0.5360545969611125,1.0,-1.1760880762297192,-0.8951197527684778,0.0
2018-10-04,-1.105161539451667,-1.7210065645514223,-0.5371991247264771,1.0,-1.182842064615781,-0.8896254344188441,0.0
2018-10-05,-1.0977424320164186,-1.7193432529502308,-0.5250128270908158,1.0,-1.1840046177526937,-0.8874422780913288,0.0
2018-10-08,-1.094430217669654,-1.7136363636363636,-0.5174135723431498,1.0,-1.1903329065300896,-0.8862355953905249,0.0
2018-10-09,-1.117105433795876,-1.7371936195046038,-0.5414991570483725,1.0,-1.200168590325509,-0.8882764881338349,0.0
2018-10-10,-1.117815344603381,-1.7453185955786736,-0.538296488946684,1.0,-1.204031209362809,-0.8964889466840053,0.0
2018-10-11,-1.038139825218477,-1.7181023720349562,-0.4428838951310861,1.0,-1.1585518102372034,-0.8844569288389513,0.0
2018-10-12,-1.0545409825985366,-1.7058968210047347,-0.4366353071389043,1.0,-1.1189202484166512,-0.8329951423476604,0.0
2018-10-15,-1.0491159135559922,-1.7167239685658153,-0.42528241650294696,1.0,-1.117878192534381,-0.8304273084479371,0.0
2018-10-16,-1.0456082119368124,-1.7361239166512998,-0.41219497203270017,1.0,-1.1203515889114266,-0.8323191345503719,0.0
2018-10-17,-1.0165875353086122,-1.6698118877336376,-0.3914898731894946,1.0,-1.1025902998978303,-0.8295570647274476,0.0
2018-10-18,-1.0151442307692307,-1.6674278846153845,-0.3926682692307692,1.0,-1.1047475961538462,-0.829627403846154,0.0
2018-10-19,-1.0029187514891589,-1.6547533952823446,-0.378365499166071,1.0,-1.1019180366928758,-0.8187395758875387,0.0
2018-10-22,-1.0039083638987432,-1.6875714028019964,-0.3979315735674343,1.0,-1.101617461367326,-0.8218387348926702,0.0
2018-10-23,-1.0115711444585067,-1.6905924184897245,-0.4101729645031037,1.0,-1.094919544386187,-0.8194419333453867,0.0
2018-10-24,-1.0142125865703102,-1.6870822041553748,-0.3994579945799458,1.0,-1.0984040951520626,-0.8231255645889792,0.0
