Date,IPO,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.26545887134749313,-0.53039728369972,-0.166299040868423,-0.27884210265434084,-0.23735408560311283,0.0
2018-09-25,1.0,-0.2646153846153846,-0.5322828784119107,-0.16426799007444168,-0.280545905707196,-0.23965260545905706,0.0
2018-09-26,1.0,-0.26504379761284397,-0.5328171914935854,-0.16528946127695476,-0.2802550931784908,-0.23802079456065908,0.0
2018-09-27,1.0,-0.2665096094234346,-0.5287538747675139,-0.16642281463112213,-0.2802479851208928,-0.23789212647241165,0.0
2018-09-28,1.0,-0.26504290887444815,-0.5300610149312962,-0.16672453990773353,-0.28032144451609703,-0.23813185177836202,0.0
2018-10-01,1.0,-0.26519830344519685,-0.5298013245033113,-0.16675347868144952,-0.2804276111813875,-0.23816256169853908,0.0
2018-10-02,1.0,-0.2650285430627948,-0.5342020352444776,-0.1654753040456689,-0.27979647555224624,-0.2374782824522214,0.0
2018-10-03,1.0,-0.267805414044551,-0.5498701428428728,-0.16691639196883426,-0.2792927779442613,-0.23339326740585356,0.0
2018-10-04,1.0,-0.26740292838938584,-0.5510469241916945,-0.16695817300484733,-0.27882164809354854,-0.23439608215481486,0.0
2018-10-05,1.0,-0.26855600539811064,-0.554705852951467,-0.16659169290748238,-0.2774029089818564,-0.23189383715699505,0.0
2018-10-08,1.0,-0.269029692072942,-0.5560947544838282,-0.16702103709633037,-0.2770843234860044,-0.23220851989894187,0.0
2018-10-09,1.0,-0.2692981139626795,-0.5562309270098554,-0.1676171894541998,-0.27667717244484463,-0.23157736755215366,0.0
2018-10-10,1.0,-0.26919132544585905,-0.5564921583831512,-0.1674128917681783,-0.27659521248655544,-0.2316216013407039,0.0
2018-10-11,1.0,-0.2685229117243102,-0.5611936571357223,-0.1649394431264827,-0.2747658883755775,-0.22774378823823202,0.0
2018-10-12,1.0,-0.2742693239701301,-0.5586518965431977,-0.1656693536422531,-0.26165867167795853,-0.21245240096928933,0.0
2018-10-15,1.0,-0.28202456270934123,-0.5505272298722242,-0.17375015506760946,-0.26319315221436546,-0.21158665178017613,0.0
2018-10-16,1.0,-0.2800119227998708,-0.5610670905884398,-0.16622370153257654,-0.2644377654685909,-0.2122009985344892,0.0
2018-10-17,1.0,-0.27293735863900087,-0.5439325400727701,-0.15975022126069424,-0.2640623463467401,-0.21779427672337495,0.0
2018-10-18,1.0,-0.27354778417195413,-0.5451035364713984,-0.15916580591215387,-0.263563031823324,-0.2179430426442379,0.0
2018-10-19,1.0,-0.2722098186903506,-0.5456954292303541,-0.15743762113888957,-0.2624205696901298,-0.21568242596727102,0.0
2018-10-22,1.0,-0.2707149708551612,-0.552891118817482,-0.16367839838658108,-0.2590078457414103,-0.21316313731277206,0.0
2018-10-23,1.0,-0.27196498389357465,-0.5524626847320924,-0.16662158506897487,-0.25632576782157523,-0.2116212162195392,0.0
2018-10-24,1.0,-0.2726692052573394,-0.5511116570445891,-0.16371453138435083,-0.25677435204520327,-0.2124309052941899,0.0
2018-10-25,1.0,-0.268042996075755,-0.5452750627635459,-0.1634289614156531,-0.255295293343408,-0.20540132108123918,0.0
2018-10-26,1.0,-0.26456669983255277,-0.5413643313029339,-0.15929332394981435,-0.25794161186206227,-0.20360618341543912,0.0
2018-10-29,1.0,-0.2631285593117654,-0.5434629831576396,-0.15778504786138373,-0.25627044711014174,-0.20271416454622562,0.0
