Date,HSKA,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.791799815847912,-1.565346910036289,-0.052375020310892056,-1.0730650490169529,-0.9335969235768835,0.0
2018-09-25,1.0,-0.7916576381365114,-1.5656013001083424,-0.05227518959913327,-1.0734019501625136,-0.9341820151679306,0.0
2018-09-26,1.0,-0.7915380031420987,-1.5656319410585622,-0.05179045452082995,-1.0736226231106776,-0.934828538924102,0.0
2018-09-27,1.0,-0.798114434330299,-1.552719982661465,-0.05607932379713914,-1.0754768097095795,-0.9358474208929346,0.0
2018-09-28,1.0,-0.7956220199393151,-1.5543996532293023,-0.05716298222800174,-1.0751517121803207,-0.9359557867360209,0.0
2018-10-01,1.0,-0.7968094952904666,-1.5660695813143137,-0.05896444710622312,-1.0800348451026296,-0.942614471606686,0.0
2018-10-02,1.0,-0.797630098836892,-1.5860317807022335,-0.05553431988205101,-1.0795609676186315,-0.9419538033091247,0.0
2018-10-03,1.0,-0.7972707423580786,-1.583296943231441,-0.05600436681222708,-1.0794213973799127,-0.9425218340611353,0.0
2018-10-04,1.0,-0.8119273605091349,-1.5758490151972349,-0.058265210950787294,-1.100290777418116,-0.9399791518077578,0.0
2018-10-05,1.0,-0.7975015001909334,-1.5687632971469097,-0.038786754677868095,-1.1053406797228738,-0.9448475260487698,0.0
2018-10-08,1.0,-0.797773654916512,-1.5696824184219142,-0.03841536614645858,-1.105696824184219,-0.9451598821346721,0.0
2018-10-09,1.0,-0.808794466403162,-1.5792709705753185,-0.05215195432586737,-1.1073232323232325,-0.9421936758893281,0.0
2018-10-10,1.0,-0.8130014287284316,-1.5785251126497417,-0.05561050664908232,-1.1107814045499504,-0.9371359490053852,0.0
2018-10-11,1.0,-0.7013719025842815,-1.5772625757736891,-0.0,-1.0796554291183664,-0.9592151441029458,0.0
2018-10-12,1.0,-0.7022753366036948,-1.5588665066277003,-0.0,-1.0420102285773927,-0.9155098632710572,0.0
2018-10-15,1.0,-0.6601198228705392,-1.6005209690023443,-0.0,-1.033446209950508,-0.9156030216202135,0.0
2018-10-16,1.0,-0.6534612176814011,-1.6129065888240197,-0.0,-1.032057964970809,-0.9142514595496246,0.0
2018-10-17,1.0,-0.6225061074918568,-1.5508957654723128,-0.0,-1.0096701954397396,-0.9065044788273616,0.0
2018-10-18,1.0,-0.6219319283563811,-1.5502372812165128,-0.0,-1.0194417512884626,-0.911210899627494,0.0
2018-10-19,1.0,-0.5945604367827714,-1.5323290025782315,-0.0,-1.021232495829331,-0.9072342146504221,0.0
2018-10-22,1.0,-0.5943896891584534,-1.5198382613090726,-0.0,-1.0271923174121809,-0.9129138236037402,0.0
2018-10-23,1.0,-0.6021956895679449,-1.5220074876049783,-0.0,-1.0234240615197814,-0.9115653141758575,0.0
2018-10-24,1.0,-0.5992522609003182,-1.5173040974081746,-0.0,-1.0232910624968423,-0.9124943161723842,0.0
2018-10-25,1.0,-0.5366861030126336,-1.4369290573372204,-0.0,-1.0314868804664723,-0.8539844509232264,0.0
2018-10-26,1.0,-0.5117492223019862,-1.4101938262742282,-0.0,-1.028762861928691,-0.8351280210576693,0.0
