Date,IWF,IWM,MTUM,SPY,VLUE,VXX,WDC
2018-09-24,-0.4168031382107628,-0.8895532619872795,-0.17903797082682713,-0.6165213086034199,-0.7066306127889705,0.0,1.0
2018-09-25,-0.4165174660012952,-0.8900994247838178,-0.17843129785531978,-0.6170431602605615,-0.7073254352215154,0.0,1.0
2018-09-26,-0.4165174660012952,-0.8901756123576244,-0.17843129785531978,-0.6170050664736582,-0.7072873414346119,0.0,1.0
2018-09-27,-0.4172029090355253,-0.8876365990176295,-0.17914937364352895,-0.6167612230133649,-0.7069260937440506,0.0,1.0
2018-09-28,-0.415740176667682,-0.8886689003959793,-0.17967560158391718,-0.6165854401462078,-0.7068230277185501,0.0,1.0
2018-10-01,-0.41545433772564555,-0.8894051336735471,-0.180059410465382,-0.6164597456013406,-0.7069845380455481,0.0,1.0
2018-10-02,-0.4156002437538086,-0.8897775746496038,-0.18033973187081048,-0.6162400975015234,-0.7066956124314442,0.0,1.0
2018-10-03,-0.41520423312649896,-0.8832083444364079,-0.17956526704480566,-0.618333396779474,-0.7104571928889566,0.0,1.0
2018-10-04,-0.41527391784368217,-0.883161381200746,-0.17995964518216773,-0.6181901244908059,-0.7105112879278181,0.0,1.0
2018-10-05,-0.4112771377514163,-0.8843389985171666,-0.17387171590433823,-0.6194061062317021,-0.7132048211094635,0.0,1.0
2018-10-08,-0.4094066734996014,-0.8812967391716965,-0.17017803591086816,-0.6224044338154349,-0.7127510154500247,0.0,1.0
2018-10-09,-0.40968795080100223,-0.8815579682636095,-0.17079189127628883,-0.6220104775643459,-0.7121706780047073,0.0,1.0
2018-10-10,-0.40896124148948315,-0.8857784032558671,-0.1681183675021871,-0.6232551063101442,-0.7174698566049219,0.0,1.0
2018-10-11,-0.35335425070969667,-0.9066935604362767,-0.08161512027491409,-0.6274092335275662,-0.7661736142238159,0.0,1.0
2018-10-12,-0.3696376972660591,-0.9065718307772097,-0.07779506557012669,-0.6066533303697117,-0.7438319626583685,0.0,1.0
2018-10-15,-0.3560149402758774,-0.9288857660589477,-0.05828186827410229,-0.6068192744351172,-0.7481232202951075,0.0,1.0
2018-10-16,-0.3539770625231225,-0.938253792082871,-0.051535331113577505,-0.6075471698113208,-0.7482796892341843,0.0,1.0
2018-10-17,-0.34101197429906543,-0.9088054906542056,-0.04030373831775701,-0.6048481308411214,-0.7557681074766356,0.0,1.0
2018-10-18,-0.3405000912575287,-0.9081584230699032,-0.04048183975177951,-0.6053294396787735,-0.7557948530753786,0.0,1.0
2018-10-19,-0.3267888307155323,-0.9004872018615474,-0.024251018033740544,-0.6180919139034322,-0.766215823152996,0.0,1.0
2018-10-22,-0.3337829463016296,-0.8899420363821954,-0.0075462068462688195,-0.6343188363530312,-0.7799205278699282,0.0,1.0
2018-10-23,-0.3325784417576798,-0.8929028016217992,-0.0021185666800599043,-0.6407203126712204,-0.7843810497863168,0.0,1.0
2018-10-24,-0.3318597004018999,-0.8881256850566314,-0.0,-0.643551333576909,-0.7900621118012422,0.0,1.0
2018-10-25,-0.3091390160183066,-0.8570866704805493,-0.0,-0.6403389588100686,-0.7689144736842105,0.0,1.0
2018-10-26,-0.30002130076682765,-0.8474155069582505,-0.0,-0.6407980687304743,-0.7618929281454132,0.0,1.0
2018-10-29,-0.4408209048232312,-0.9802251672136595,-0.0,-0.8541813800839183,-0.879190727431349,0.0,1.0
2018-10-30,-0.47543741588156124,-0.993985531628533,-0.0071080080753701215,-0.8655787348586811,-0.8638122476446838,0.0,1.0
2018-10-31,-0.4835739694496757,-0.9658087465997072,-0.00799330403850178,-0.8673781125758527,-0.8602218037246286,0.0,1.0
