Date,IWF,IWM,MTUM,OXY,SPY,VLUE,VXX
2018-09-24,-0.24794897811276997,-0.5971300188433106,-0.02478620089868097,1.0,-0.5187708363530946,-0.5103348311349472,0.0
2018-09-25,-0.25420033718969826,-0.5965932213243417,-0.031858612871344685,1.0,-0.5177024591593512,-0.5064531131910935,0.0
2018-09-26,-0.25548251992321563,-0.5983654237682507,-0.034291198883136524,1.0,-0.5174219068117037,-0.5029084986330057,0.0
2018-09-27,-0.25657569680588255,-0.5947917574912082,-0.035312581742087366,1.0,-0.5171331415119017,-0.5025721510157817,0.0
2018-09-28,-0.2560667267284722,-0.5950768694236973,-0.035688337353599345,1.0,-0.5169287105117847,-0.5024557528553576,0.0
2018-10-01,-0.25548762736535663,-0.5984861717612809,-0.036215429403202326,1.0,-0.5172925764192139,-0.5037554585152838,0.0
2018-10-02,-0.2582497667910448,-0.5811275652985074,-0.04270638992537313,1.0,-0.5230585354477612,-0.5099405317164178,0.0
2018-10-03,-0.25805699632845736,-0.5780931289702198,-0.04248499329797774,1.0,-0.523806748645026,-0.5114808555277114,0.0
2018-10-04,-0.26222675604779944,-0.5721655494025065,-0.04310696589915476,1.0,-0.5292917516758963,-0.507811133780239,0.0
2018-10-05,-0.25232993641668844,-0.566443108904567,-0.033330429985773596,1.0,-0.5357837586737508,-0.5154893592311935,0.0
2018-10-08,-0.25142824000231995,-0.5650610445726879,-0.03201577588956877,1.0,-0.5364382449322854,-0.5150363947452368,0.0
2018-10-09,-0.24997824510514868,-0.5656852791878173,-0.028107324147933287,1.0,-0.5387382160986222,-0.5181435823060189,0.0
2018-10-10,-0.2518567947081351,-0.5643785540211211,-0.03008587675525125,1.0,-0.5401241731461066,-0.5147963328304515,0.0
2018-10-11,-0.2433414043583535,-0.5641646489104116,-0.017006802721088433,1.0,-0.5411334025135478,-0.5168626772742996,0.0
2018-10-12,-0.2459488759557229,-0.5582277758758416,-0.013808056601620449,1.0,-0.5307543078854274,-0.5041937692571037,0.0
2018-10-15,-0.2358888192743635,-0.5737312752748192,-0.0,1.0,-0.5313834937631714,-0.506891838013328,0.0
2018-10-16,-0.26404810569033443,-0.5701590686927931,-0.025148849195770016,1.0,-0.5637607749044699,-0.5390562516662224,0.0
2018-10-17,-0.25223488168273445,-0.5418346479696173,-0.013701431492842536,1.0,-0.5642711072158925,-0.5494011101373065,0.0
2018-10-18,-0.2519790845090994,-0.5415534717962199,-0.013729442350947915,1.0,-0.5645137732597201,-0.5493821750942073,0.0
2018-10-19,-0.24423026678665777,-0.5338636165703835,-0.006357592823758237,1.0,-0.5680320492350568,-0.550526896391558,0.0
2018-10-22,-0.24671176795098868,-0.5278011672134956,-0.0,1.0,-0.5736767225109608,-0.5553555355535553,0.0
2018-10-23,-0.24825103776597288,-0.5273592847397602,-0.0026415861128044355,1.0,-0.5708728845539783,-0.5537170890301605,0.0
2018-10-24,-0.24748783968776394,-0.533830425538112,-0.004223341974193924,1.0,-0.5729181836716861,-0.5542189729997379,0.0
2018-10-25,-0.2285754945211328,-0.5051657890991889,-0.001963853707129643,1.0,-0.5747260566386794,-0.5357051373274513,0.0
2018-10-26,-0.2145094387539152,-0.49597900617963264,-0.0,1.0,-0.5816755551793222,-0.5295860492677559,0.0
2018-10-29,-0.20157347569542006,-0.49963472885642035,-0.0,1.0,-0.5760325934251194,-0.5325091317785895,0.0
2018-10-30,-0.21387902362027172,-0.5020294266869609,-0.0,1.0,-0.5778510626303625,-0.5248886633970348,0.0
2018-10-31,-0.2159243886021988,-0.4913058110836886,-0.0,1.0,-0.5757796724253983,-0.5215671976665919,0.0
2018-11-01,-0.19552289048473967,-0.5092852333931777,-0.0,1.0,-0.576806552962298,-0.5235917863554758,0.0
2018-11-02,-0.197175615212528,-0.49983221476510076,-0.0,1.0,-0.5782158836689039,-0.5211689038031321,0.0
2018-11-05,-0.19448715439881473,-0.5072544798859412,-0.0,1.0,-0.5788208325179616,-0.5150261384920747,0.0
2018-11-06,-0.18839724680432643,-0.5054923444303976,-0.0,1.0,-0.5883972468043265,-0.5271245961511448,0.0
2018-11-07,-0.19367135773452954,-0.5213677663446932,-0.0,1.0,-0.6090744933933332,-0.5421479549428188,0.0
2018-11-08,-0.17040345985318386,-0.5234450577590621,-0.0,1.0,-0.602600580435896,-0.5487964490980481,0.0
2018-11-09,-0.17197252543677144,-0.5249522615213611,-0.0,1.0,-0.6027873571408213,-0.550346282098783,0.0
2018-11-12,-0.17246290125039163,-0.5065367854396309,-0.0,1.0,-0.6181321028796035,-0.5511407331453474,0.0
2018-11-13,-0.1580004526422994,-0.5021500509222586,-0.0,1.0,-0.6199502093470635,-0.5489419486250989,0.0
2018-11-14,-0.15638479001135075,-0.5064131668558457,-0.0,1.0,-0.622616345062429,-0.5522417707150965,0.0
2018-11-15,-0.15585667309218731,-0.5078523642136297,-0.0,1.0,-0.6266300034017462,-0.5444778319537362,0.0
2018-11-16,-0.15691059217433248,-0.5094344976307351,-0.0,1.0,-0.6269613824021791,-0.5441364242544618,0.0
2018-11-19,-0.15489037828013177,-0.5108769737589458,-0.0,1.0,-0.6289617175962741,-0.5452118595933205,0.0
2018-11-20,-0.11670105423815041,-0.504253695486278,-0.0,1.0,-0.6370368276758712,-0.5683558972329781,0.0
2018-11-21,-0.1125120417068057,-0.5066016886722956,-0.0,1.0,-0.6405338017793393,-0.5736952456508189,0.0
2018-11-23,-0.11200841698182956,-0.5178718685130947,-0.0,1.0,-0.6389797253106606,-0.5747149316120227,0.0
