Date,IWF,IWM,MTUM,SPY,VLUE,VXX,W
2018-09-24,-1.1360230943707472,-1.981373290260499,-0.46133754897243795,-1.2664787957935253,-1.0281806309712007,0.0,1.0
2018-09-25,-1.1469351168723712,-1.9824174308763705,-0.47341929256015997,-1.267324001930635,-1.0248914017789423,0.0,1.0
2018-09-26,-1.150977277436287,-1.988051661026314,-0.47938393535465157,-1.268595897506734,-1.0195455487257408,0.0,1.0
2018-09-27,-1.1561399875750673,-1.9746669427762822,-0.48332988196313936,-1.269137847725547,-1.0194657278939738,0.0,1.0
2018-09-28,-1.1602156483273431,-1.9743572021011888,-0.4839646115565385,-1.2714957146806747,-1.0217030688415814,0.0,1.0
2018-10-01,-1.1598340822675424,-1.9749740753543035,-0.48468717594192884,-1.2714137573453161,-1.0223297614932596,0.0,1.0
2018-10-02,-1.1603629814353007,-1.9925187032418954,-0.4812967581047382,-1.2710584649487393,-1.021958991410363,0.0,1.0
2018-10-03,-1.1712927357896947,-2.02915472278543,-0.4868908620569111,-1.2795217786478363,-1.0246801370341887,0.0,1.0
2018-10-04,-1.1715583508036338,-2.0259958071278827,-0.48770090845562547,-1.2795946890286511,-1.0233403214535288,0.0,1.0
2018-10-05,-1.1556049760233513,-2.019598304260199,-0.4670234206685663,-1.2825074709847801,-1.0250191118215304,0.0,1.0
2018-10-08,-1.1519944502254598,-2.0138744363510233,-0.4588969823100937,-1.2887963926465487,-1.0237252861602497,0.0,1.0
2018-10-09,-1.1572034192786156,-2.018069358537772,-0.4657029675446522,-1.2883452637431372,-1.0205017721870875,0.0,1.0
2018-10-10,-1.1573790994997222,-2.0181350750416898,-0.46525847693162875,-1.2882851584213453,-1.0191773207337411,0.0,1.0
2018-10-11,-1.0670536429143314,-2.003402722177742,-0.3454763811048839,-1.243327995729917,-1.0128102481985588,0.0,1.0
2018-10-12,-1.0761204803464794,-1.9901568344379552,-0.33374893365706415,-1.2016536518144236,-0.9603648533368332,0.0,1.0
2018-10-15,-1.0737753295298054,-1.9994097973637617,-0.32448029378975674,-1.2018493015935472,-0.9583579251098433,0.0,1.0
2018-10-16,-1.0734426229508198,-2.000327868852459,-0.323672131147541,-1.201704918032787,-0.9582295081967214,0.0,1.0
