Date,EXP,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.40257543002161855,-0.6718363254691857,-0.07892345771845725,-0.5121408653695523,-0.46765046840241875,0.0
2018-09-25,1.0,-0.40253799154002823,-0.671909760300799,-0.07889707034309887,-0.512235625881247,-0.46777377408741977,0.0
2018-09-26,1.0,-0.4033218426825447,-0.6729238483234096,-0.08060169225947979,-0.5118458163585083,-0.4651206518332811,0.0
2018-09-27,1.0,-0.402748149077676,-0.6762140795582884,-0.07999749027481491,-0.5124231396662066,-0.4657736227883047,0.0
2018-09-28,1.0,-0.400784436774396,-0.6780043928459366,-0.08054596799497961,-0.5123941010354566,-0.46598682146219017,0.0
2018-10-01,1.0,-0.40030135610246104,-0.6792127071823204,-0.08095806127574083,-0.5122739829231542,-0.46637995981918634,0.0
2018-10-02,1.0,-0.4026329018474299,-0.6625612668090989,-0.08712454442629132,-0.5175003141887646,-0.4720371999497298,0.0
2018-10-03,1.0,-0.4022298994974874,-0.6554648241206029,-0.08618090452261305,-0.5201319095477387,-0.47666457286432157,0.0
2018-10-04,1.0,-0.4027755973499953,-0.6539294797324877,-0.08659612546704763,-0.5207384847247951,-0.47577631950767685,0.0
2018-10-05,1.0,-0.39533792240300375,-0.6494367959949937,-0.07744055068836045,-0.5254693366708386,-0.4812265331664581,0.0
2018-10-08,1.0,-0.3998108448928121,-0.659110970996217,-0.07985498108448928,-0.5274905422446406,-0.48634930643127366,0.0
2018-10-09,1.0,-0.39666592717015814,-0.6658637847431307,-0.06519189934396097,-0.5399169651063291,-0.5016004817291542,0.0
2018-10-10,1.0,-0.39681231978199566,-0.6656421306125037,-0.06514781837193827,-0.5400044361354922,-0.5010298171678444,0.0
2018-10-11,1.0,-0.3644749876176325,-0.6650260029717682,-0.016716196136701337,-0.5338967310549778,-0.5155398712233779,0.0
2018-10-12,1.0,-0.3727417478106437,-0.6597464633474188,-0.012983036315757241,-0.518831526731582,-0.49773409271847635,0.0
2018-10-15,1.0,-0.35476175912899877,-0.6845678634778886,-0.0,-0.5179215854180684,-0.501070401859441,0.0
2018-10-16,1.0,-0.34934965570007653,-0.6943228768171384,-0.0,-0.5168477429227238,-0.4999234889058914,0.0
2018-10-17,1.0,-0.32901139420316133,-0.6596246259860368,-0.0,-0.5180886753105449,-0.5155801372140115,0.0
2018-10-18,1.0,-0.33468702290076335,-0.6765496183206107,-0.0,-0.5195114503816795,-0.5227175572519084,0.0
