Date,IWF,IWM,KGC,MTUM,SPY,VLUE,VXX
2018-09-24,-0.7395715896279593,-1.7421230641428826,1.0,-0.0,-1.2861805019877766,-1.1657865068533793,0.0
2018-09-25,-0.7443225615179366,-1.7392232434034987,1.0,-0.0,-1.28413874888823,-1.1618144085383932,0.0
2018-09-26,-0.749198242071505,-1.745278536643307,1.0,-0.0,-1.286435443639387,-1.158035396127806,0.0
2018-09-27,-0.7526630760023938,-1.767085577498504,1.0,-0.0,-1.296529024536206,-1.168102932375823,0.0
2018-09-28,-0.754022015241321,-1.7966009435103423,1.0,-0.0,-1.3132333373654288,-1.1842869239143585,0.0
2018-10-01,-0.7567191283292978,-1.7957627118644066,1.0,-0.0,-1.3154358353510895,-1.1853510895883776,0.0
2018-10-02,-0.7721626887481734,-1.7700925474914757,1.0,-0.0,-1.3385289819775938,-1.2079274232830006,0.0
2018-10-03,-0.7778937032036333,-1.7567816374125445,1.0,-0.0,-1.3629556892107524,-1.2395973978151467,0.0
2018-10-04,-0.7875399361022364,-1.7468665519783733,1.0,-0.0,-1.3752764807077908,-1.2343327598918654,0.0
2018-10-05,-0.7508082718233392,-1.725858598182151,1.0,-0.0,-1.3803452693222718,-1.2431525651192583,0.0
2018-10-08,-0.7445589221483875,-1.7199292812290432,1.0,-0.0,-1.3892580625495334,-1.2427604706456135,0.0
2018-10-09,-0.7380574221136224,-1.723091020158827,1.0,-0.0,-1.3956627978008551,-1.2519242516799023,0.0
2018-10-10,-0.7376618617151234,-1.723124847300269,1.0,-0.0,-1.3957366235035424,-1.2514659174199851,0.0
2018-10-11,-0.5754293100264665,-1.79873207361359,1.0,-0.0,-1.4182310580414845,-1.3626515664430356,0.0
2018-10-12,-0.6533750159499809,-1.8960061247926503,1.0,-0.0,-1.452086257496491,-1.3785249457700652,0.0
2018-10-15,-0.5884018793846946,-1.991311063911952,1.0,-0.0,-1.4576173006371886,-1.3989830726652506,0.0
2018-10-16,-0.5805952841128721,-2.0074088390671303,1.0,-0.0,-1.4565777605978611,-1.3979512949362196,0.0
2018-10-17,-0.520317021008932,-1.9033211724745251,1.0,-0.0,-1.4446471254245816,-1.4218140646622215,0.0
2018-10-18,-0.5195572883913974,-1.9023393283863665,1.0,-0.0,-1.4450383599547227,-1.4215193057477047,0.0
2018-10-19,-0.4747374308619725,-1.8711702193772919,1.0,-0.0,-1.4493194953700828,-1.4193648623454105,0.0
2018-10-22,-0.48227307015338194,-1.8635277847623837,1.0,-0.0,-1.4862333417148605,-1.454111139049535,0.0
2018-10-23,-0.48090058183657974,-1.8750948646597518,1.0,-0.0,-1.5014545914495319,-1.4667973690867695,0.0
