Date,HBNC,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.11821366024518389,-0.7124093069802352,-0.023417563172379287,-0.3195146359769827,-0.32834625969477105,0.0
2018-09-25,1.0,-0.11711416995898234,-0.7195701955258058,-0.017942072019930044,-0.3258260147462191,-0.33596718588791863,0.0
2018-09-26,1.0,-0.11672583528463881,-0.719465216406073,-0.016441322355666338,-0.326661127476899,-0.3385200292066369,0.0
2018-09-27,1.0,-0.12526249209361165,-0.7105376344086021,-0.019962049335863378,-0.3318406072106262,-0.34246679316888046,0.0
2018-09-28,1.0,-0.12305004051863858,-0.7134066045380876,-0.02048723662884927,-0.332328808752026,-0.34311689627228525,0.0
2018-10-01,1.0,-0.12286257124762509,-0.7139962001266624,-0.020747308423052564,-0.33228625712476256,-0.3433565547815073,0.0
2018-10-02,1.0,-0.12407099987230238,-0.7431490231132678,-0.012948537862341973,-0.33198825181969094,-0.34182096794789935,0.0
2018-10-03,1.0,-0.125611536589739,-0.7512614943264774,-0.013985297507748264,-0.33134397172203583,-0.3392074998078943,0.0
2018-10-04,1.0,-0.12444364403509225,-0.7594484036121332,-0.013712727366281612,-0.33005737219892456,-0.3451079266253313,0.0
2018-10-05,1.0,-0.11181223547518276,-0.756367833782224,-0.002308580223162755,-0.3386687187379762,-0.35590611773759145,0.0
2018-10-08,1.0,-0.11076387109995389,-0.7552128695117578,-0.0009477944566832317,-0.33931041549259694,-0.35534607305702137,0.0
2018-10-09,1.0,-0.10564139417894358,-0.7564550074431496,-0.0,-0.3431805348801396,-0.361300754581387,0.0
2018-10-10,1.0,-0.10743250179653013,-0.755800225849502,-0.0,-0.3443948259932245,-0.3588440611846833,0.0
2018-10-11,1.0,-0.05905147628690717,-0.7536938423460586,-0.0,-0.32563314082852074,-0.3616840421010525,0.0
2018-10-12,1.0,-0.05322407910139225,-0.7571916017035691,-0.0,-0.3219845084804862,-0.3582227092724964,0.0
2018-10-15,1.0,-0.020841663334666135,-0.7955567772890844,-0.0,-0.31942223110755696,-0.3631797281087564,0.0
2018-10-16,1.0,-0.016430339860454647,-0.8036111736314302,-0.0,-0.3185535298972166,-0.36224272888688824,0.0
2018-10-17,1.0,-0.0032075797577043597,-0.7810456710010116,-0.0,-0.31557650077722127,-0.36756396654247575,0.0
2018-10-18,1.0,-0.0030842113054849614,-0.7812430605245627,-0.0,-0.3154778060154457,-0.3675392928520319,0.0
