Date,IWF,IWM,MTUM,SCHL,SPY,VLUE,VXX
2018-09-24,-0.2561039824848267,-0.6496411052296096,-0.03608347421223291,1.0,-0.4422026993320955,-0.3873569270847768,0.0
2018-09-25,-0.25555463093950237,-0.6510499015283904,-0.03467310199439683,1.0,-0.44348284374913316,-0.38908768134032345,0.0
2018-09-26,-0.25511706057155553,-0.6511789374288333,-0.03216041325297859,1.0,-0.44516344044213624,-0.3935901352514789,0.0
2018-09-27,-0.2579248320657303,-0.6445345028590461,-0.034142008549381,1.0,-0.44551157497363014,-0.39366013434741576,0.0
2018-09-28,-0.335862433533381,-0.7363102086507666,-0.023819148605367085,1.0,-0.5385739606331043,-0.474983674865512,0.0
2018-10-01,-0.33703496329476174,-0.735317904690805,-0.02373398034092323,1.0,-0.5393803658081374,-0.47514619883040937,0.0
2018-10-02,-0.3379677469860654,-0.7642085486143728,-0.016502270236417725,1.0,-0.5389384687646782,-0.47374354156881165,0.0
2018-10-03,-0.3377887685469229,-0.7618794215238214,-0.0164965879922369,1.0,-0.5393476491579541,-0.4747699242471671,0.0
2018-10-04,-0.339538230509323,-0.7579777249405582,-0.017081716931547992,1.0,-0.541452884495057,-0.4724377424602679,0.0
2018-10-05,-0.33420658682634735,-0.7565494011976048,-0.009605788423153693,1.0,-0.5439433632734532,-0.47448852295409183,0.0
2018-10-08,-0.33692621024596586,-0.7626507911640295,-0.0109979633401222,1.0,-0.5451668494438352,-0.4776124079586402,0.0
2018-10-09,-0.33856909957361425,-0.7632618510158014,-0.014108352144469524,1.0,-0.5439240030097817,-0.4753574115876599,0.0
2018-10-10,-0.33878702397743304,-0.7628898291803793,-0.014229744554145118,1.0,-0.5440213132737816,-0.4743770568876352,0.0
2018-10-11,-0.2887798335721036,-0.7551437193281921,-0.0,1.0,-0.5256500137165849,-0.47855640564513674,0.0
2018-10-12,-0.2858874144095013,-0.753832636490335,-0.0,1.0,-0.5194207113858086,-0.4705811064654911,0.0
2018-10-15,-0.24527496646750396,-0.8057858797707597,-0.0,1.0,-0.5183819046457749,-0.4789659797585661,0.0
2018-10-16,-0.23286231099842308,-0.8487368974366903,-0.0,1.0,-0.5253393525246591,-0.48511177761973967,0.0
2018-10-17,-0.22252789240409598,-0.8289163992052575,-0.0,1.0,-0.5199755463854502,-0.4853125477609659,0.0
2018-10-18,-0.221535448731679,-0.8272084697530676,-0.0,1.0,-0.5243413604234877,-0.4867660108319819,0.0
2018-10-19,-0.2084801360709513,-0.8197363625318917,-0.0,1.0,-0.5245717409792249,-0.48454015307982023,0.0
2018-10-22,-0.20849526354141365,-0.8137903813456401,-0.0,1.0,-0.5270221034734031,-0.48685329123147925,0.0
2018-10-23,-0.21337221665299674,-0.8147270573225189,-0.0,1.0,-0.5240742428384824,-0.48558583189039767,0.0
2018-10-24,-0.21256656017039405,-0.8194736041381409,-0.0,1.0,-0.5252091891069527,-0.4855317206754906,0.0
2018-10-25,-0.18873681715843107,-0.7876525654698423,-0.0,1.0,-0.524765967531698,-0.46128095745941455,0.0
