Date,EOI,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.2289126816321022,-0.3031625354266949,-0.11356786180215035,-0.31827792523280396,-0.28539295514867963,0.0
2018-09-25,1.0,-0.22854506997884882,-0.30378920840646234,-0.11282120516628415,-0.31882003510193063,-0.28617073939066645,0.0
2018-09-26,1.0,-0.2282415430667777,-0.30354932367041026,-0.11185883729828273,-0.3192590758704508,-0.28777205104544124,0.0
2018-09-27,1.0,-0.22836116487374533,-0.3032137552324796,-0.11198631678444433,-0.3192375208173921,-0.28773011657739567,0.0
2018-09-28,1.0,-0.22776377385667987,-0.3037450486136118,-0.11219391429600288,-0.31916186532229024,-0.28776557436082106,0.0
2018-10-01,1.0,-0.22835726826633054,-0.30320082834376266,-0.11209652005582316,-0.31952010084184934,-0.2877594201593662,0.0
2018-10-02,1.0,-0.22846787627752013,-0.302552789158525,-0.11248930710008555,-0.31963891765341496,-0.2879654225383819,0.0
2018-10-03,1.0,-0.22828851130865307,-0.29992123326206815,-0.11216383481489817,-0.32051310903567004,-0.28959153820186784,0.0
2018-10-04,1.0,-0.2295889671308691,-0.2975320029696956,-0.11242097684987289,-0.3221669778847668,-0.28806047380143535,0.0
2018-10-05,1.0,-0.22871456171092241,-0.296693175180842,-0.1107292087882464,-0.3224828143954711,-0.2878644920699106,0.0
2018-10-08,1.0,-0.23036342321219228,-0.30034268193705477,-0.11204797547118767,-0.32225629001713413,-0.2894535124898548,0.0
2018-10-09,1.0,-0.23633768352365417,-0.30349374660141387,-0.12187330070690593,-0.3199202465107848,-0.28409914808772885,0.0
2018-10-10,1.0,-0.2368516421291053,-0.30274065685164214,-0.12255945639864099,-0.3201132502831257,-0.2827633069082673,0.0
2018-10-11,1.0,-0.2268760907504363,-0.2989663042019063,-0.10970152593189242,-0.3172237884279769,-0.2846690830984025,0.0
2018-10-12,1.0,-0.22538744065215444,-0.3001209352324644,-0.10687091283705097,-0.32029920272328233,-0.28688524590163933,0.0
2018-10-15,1.0,-0.2231146110651245,-0.30300454148862394,-0.10367122306986733,-0.32027562137855436,-0.28712051723752213,0.0
2018-10-16,1.0,-0.2225950782997763,-0.3050335570469799,-0.1021476510067114,-0.3203131991051454,-0.2870469798657718,0.0
2018-10-17,1.0,-0.21940421366437518,-0.2970922601170215,-0.09951278115197223,-0.31978464481968455,-0.2889496985472424,0.0
2018-10-18,1.0,-0.21812879816575026,-0.2952830398682189,-0.10063887095697081,-0.3224628809295906,-0.2895176190370189,0.0
2018-10-19,1.0,-0.2158228690597684,-0.29220836846075343,-0.09826063806185385,-0.3232018458534854,-0.2890801792607712,0.0
2018-10-22,1.0,-0.2192185521668629,-0.2858792954086053,-0.08914014082942757,-0.33119349607943316,-0.29587507496834675,0.0
2018-10-23,1.0,-0.21886943382810417,-0.28621900275531065,-0.08803661896720293,-0.33232601546529195,-0.29657363789885344,0.0
2018-10-24,1.0,-0.218553494056216,-0.28667925786023774,-0.08803466281524276,-0.33242973002999665,-0.2962559715587157,0.0
2018-10-25,1.0,-0.21040857951181,-0.2736144921815032,-0.08708906287694367,-0.3342105840296511,-0.2878040221944427,0.0
