Date,IWF,IWM,MTUM,SPY,TLK,VLUE,VXX
2018-09-24,-0.5373549685319177,-0.9997003039773944,-0.04469752108575587,-0.8912531575116667,1.0,-0.808408614119964,0.0
2018-09-25,-0.5371338016104164,-1.0004711324310434,-0.044115127634058594,-0.8919393524070585,1.0,-0.8093198560904574,0.0
2018-09-26,-0.5379079928039064,-1.0015420200462606,-0.045875096376252894,-0.8915017561894971,1.0,-0.8066049858648162,0.0
2018-09-27,-0.5403670902323193,-0.9931972789115647,-0.048132460531382364,-0.890942540538228,1.0,-0.8058015659093827,0.0
2018-09-28,-0.5427568192523445,-0.992634779257483,-0.04851625058878945,-0.8917055624545027,1.0,-0.8064916713056139,0.0
2018-10-01,-0.5423132984652319,-0.995755808968533,-0.049258338334905255,-0.8920517877047072,1.0,-0.8077252850895996,0.0
2018-10-02,-0.5434829197205435,-0.9840555484119841,-0.05379109339505379,-0.8943037160858943,1.0,-0.8105096223908105,0.0
2018-10-03,-0.5436618510738629,-0.9847387147940155,-0.05435761135165259,-0.89398551035281,1.0,-0.8101341792772324,0.0
2018-10-04,-0.5588844759108962,-0.9788033154895527,-0.0556035227076498,-0.9159903298221378,1.0,-0.8077620445518908,0.0
2018-10-05,-0.5448335123523094,-0.9698388829215896,-0.03918367346938775,-0.9250698174006444,1.0,-0.8175295381310419,0.0
2018-10-08,-0.5425408675505213,-0.965847170377998,-0.033037284935856184,-0.9314369073668856,1.0,-0.8176513493800145,0.0
2018-10-09,-0.5408977770148485,-0.9666981374989271,-0.028237919491889106,-0.9342974851944038,1.0,-0.8213887219981116,0.0
2018-10-10,-0.5442793334478613,-0.9655127984882323,-0.03118020958598179,-0.9370812575158908,1.0,-0.8167840577220409,0.0
2018-10-11,-0.4548252911813644,-0.9530366056572379,-0.0,-0.9148086522462563,1.0,-0.8370632279534109,0.0
2018-10-12,-0.4818302497303576,-0.9597610553389199,-0.0,-0.896498796980005,1.0,-0.8102547083713598,0.0
2018-10-15,-0.46703069413419374,-0.9688921982295028,-0.0,-0.8924464300488126,1.0,-0.8083064449408455,0.0
2018-10-16,-0.46003478837074463,-0.9827300588089124,-0.0,-0.8914520003313178,1.0,-0.8072558601838814,0.0
2018-10-17,-0.4412864926404814,-0.9428722452630723,-0.0,-0.878222330649752,1.0,-0.8036919573879808,0.0
2018-10-18,-0.44023774629539164,-0.9410926559192313,-0.0,-0.8838544211040548,1.0,-0.8058133854421105,0.0
2018-10-19,-0.43312619308720196,-0.9392794768693391,-0.0,-0.8846513139190122,1.0,-0.8045164696803542,0.0
2018-10-22,-0.4332194566455182,-0.9261428339027168,-0.0,-0.8942166910688142,1.0,-0.8134455832113227,0.0
2018-10-23,-0.4421352893235534,-0.9295028524857375,-0.0,-0.8907090464547677,1.0,-0.8126324368378157,0.0
2018-10-24,-0.4398681372349517,-0.925847543852509,-0.0,-0.8908469333767449,1.0,-0.8132758129502259,0.0
2018-10-25,-0.40549031928680823,-0.8683972823312257,-0.0,-0.8811216274594509,1.0,-0.7722970584770057,0.0
2018-10-26,-0.38676647403327774,-0.8504440910677578,-0.0,-0.8818989256486832,1.0,-0.7594151184889268,0.0
2018-10-29,-0.354862427924616,-0.8699353740180334,-0.0,-0.8717154908865756,1.0,-0.7733059866104254,0.0
2018-10-30,-0.3560784920849944,-0.8700700545728993,-0.0,-0.8717730386654797,1.0,-0.7724968069048264,0.0
2018-10-31,-0.3570081709616593,-0.8979022627278441,-0.0,-0.8856851037083595,1.0,-0.7877121307353865,0.0
2018-11-01,-0.33105533953890265,-0.9202702171949255,-0.0,-0.8864145163190762,1.0,-0.7898747103413063,0.0
2018-11-02,-0.333606781514903,-0.9014805265830697,-0.0,-0.8872221571155123,1.0,-0.7840931286378374,0.0
