Date,IWF,IWM,LL,MTUM,SPY,VLUE,VXX
2018-09-24,-1.032343819229065,-1.9720129966031603,1.0,-0.19760744350908283,-1.606335844040762,-1.5762073548958793,0.0
2018-09-25,-1.0323414309975634,-1.9717935464815772,1.0,-0.19766669127962785,-1.606143395111866,-1.575943291737429,0.0
2018-09-26,-1.0322246858832225,-1.9730968218773095,1.0,-0.19438285291943827,-1.609090909090909,-1.5821877309682189,0.0
2018-09-27,-1.0343936821905675,-1.9618422023765592,1.0,-0.19684109528378477,-1.6073510960218467,-1.5801904199571926,0.0
2018-09-28,-1.0378714168101189,-2.0066611780555346,1.0,-0.20223037197814533,-1.6328119152758025,-1.6048948432003594,0.0
2018-10-01,-1.0409737827715355,-2.0057677902621722,1.0,-0.20232209737827714,-1.635505617977528,-1.606067415730337,0.0
2018-10-02,-1.042989814260036,-1.9887657279808268,1.0,-0.2091072498502097,-1.6387807070101859,-1.6098711803475134,0.0
2018-10-03,-1.069305417589975,-2.0644150683884774,1.0,-0.22037136089248877,-1.6635592572782152,-1.6234431114846797,0.0
2018-10-04,-1.069678407350689,-2.0723583460949464,1.0,-0.2222052067381317,-1.6635528330781013,-1.6291730474732007,0.0
2018-10-05,-1.042789706106289,-2.0582457743261764,1.0,-0.19065022080097455,-1.6763362265874828,-1.6458047814831733,0.0
2018-10-08,-1.0371831840947032,-2.0496281681590527,1.0,-0.18341174685081196,-1.676658066474427,-1.641523751707391,0.0
2018-10-09,-1.0355869185825934,-2.0502314287882237,1.0,-0.1793004021549435,-1.6785795583883452,-1.644130814174065,0.0
2018-10-10,-1.0371662621359223,-2.0480127427184462,1.0,-0.18097694174757278,-1.6793082524271845,-1.6395631067961163,0.0
2018-10-11,-0.923186664664364,-2.1170596185613455,1.0,-0.0,-1.7117435050307857,-1.756720228262502,0.0
2018-10-12,-0.9366985397672523,-2.1046623675042624,1.0,-0.0,-1.6666666666666665,-1.704321399451486,0.0
2018-10-15,-0.8686589465819948,-2.206499813223758,1.0,-0.0,-1.670078446021666,-1.7258124766529699,0.0
