Date,IGF,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.16866527632950992,-0.2676866928691746,-0.014678751905029278,-0.3067097136440202,-0.2475535413491618,0.0
2018-09-25,1.0,-0.16819166867324825,-0.26858094550124406,-0.01368488642748214,-0.3074885624849506,-0.24865559033630308,0.0
2018-09-26,1.0,-0.16798121500391353,-0.26840869408152207,-0.012984927850362253,-0.3078050053184017,-0.2497842535171694,0.0
2018-09-27,1.0,-0.16785771639633854,-0.2689095872811948,-0.012907499598522562,-0.3078528986670949,-0.2498594828970612,0.0
2018-09-28,1.0,-0.16722878021360316,-0.26951337027222355,-0.013169517385368987,-0.3077571669477234,-0.24987954709708504,0.0
2018-10-01,1.0,-0.1669143637532134,-0.27034463367609257,-0.013375642673521851,-0.30761969794344474,-0.2501205012853471,0.0
2018-10-02,1.0,-0.16787529378678615,-0.26236917699523915,-0.01629135613989273,-0.30971655852634544,-0.2525260641610253,0.0
2018-10-03,1.0,-0.16770423327174874,-0.2593180175114467,-0.01592497389348542,-0.31076793316732265,-0.25447827134709616,0.0
2018-10-04,1.0,-0.16996325227414208,-0.2558284302897649,-0.016265386855157733,-0.31374123978393137,-0.25225406132653266,0.0
2018-10-05,1.0,-0.16792501952616504,-0.2539002263032464,-0.013458033765245429,-0.31480183445817395,-0.25259848196583423,0.0
2018-10-08,1.0,-0.1669700910273082,-0.2520956286886066,-0.010683204961488446,-0.318075422626788,-0.2527758327498249,0.0
2018-10-09,1.0,-0.16626322843939426,-0.25222557865044914,-0.008882309400444117,-0.31906295636865584,-0.25410606757757015,0.0
2018-10-10,1.0,-0.1669666426685865,-0.2513198944084473,-0.009739220862331014,-0.3194544436445084,-0.25237980961523077,0.0
2018-10-11,1.0,-0.14885181550539747,-0.2447497546614328,-0.0,-0.3145436702649657,-0.2545829244357213,0.0
2018-10-12,1.0,-0.14917439052885736,-0.24020562349092608,-0.0,-0.3098372147363502,-0.24797492016512188,0.0
2018-10-15,1.0,-0.1378640399448233,-0.2496745740319792,-0.0,-0.30751296846768084,-0.2478094460958598,0.0
2018-10-16,1.0,-0.13543184688623333,-0.2536869717283591,-0.0,-0.30682988438744774,-0.24711940153502376,0.0
