Date,IWF,IWM,MTUM,PBR,SPY,VLUE,VXX
2018-09-24,-0.9728142076502732,-1.6681010928961748,-0.19556010928961748,1.0,-1.6028005464480874,-1.3913251366120218,0.0
2018-09-25,-0.974061433447099,-1.6651877133105804,-0.1985665529010239,1.0,-1.6002730375426624,-1.387849829351536,0.0
2018-09-26,-0.9750153594101987,-1.66632534644003,-0.2006962932623387,1.0,-1.599767902245887,-1.3845996313741553,0.0
2018-09-27,-0.9880887185104054,-1.6521768893756847,-0.20796823658269445,1.0,-1.6069961664841184,-1.3903340635268346,0.0
2018-09-28,-1.0068379610443432,-1.663627572869181,-0.20983561265368147,1.0,-1.6223925956623844,-1.4043376156927754,0.0
2018-10-01,-1.0099550639474593,-1.6628413411683374,-0.20988593155893537,1.0,-1.6250259246456964,-1.4055305910819218,0.0
2018-10-02,-1.0109882515549413,-1.6506565307532828,-0.21485832757429163,1.0,-1.6265376641326885,-1.4078092605390464,0.0
2018-10-03,-1.0591967697743168,-1.6828898983344147,-0.21522820679212631,1.0,-1.729108082774533,-1.5239743312423388,0.0
2018-10-04,-1.0591587908520308,-1.6850155111463818,-0.21665103527883992,1.0,-1.7282302864151216,-1.5254310655796839,0.0
2018-10-05,-1.032465190101724,-1.67542024384965,-0.1813000505014068,1.0,-1.762426953322271,-1.5628021066301132,0.0
2018-10-08,-1.0323163678426837,-1.6758964719491034,-0.1698958935801041,1.0,-1.7816657027183342,-1.569838056680162,0.0
2018-10-09,-1.0729071537290715,-1.797412480974125,-0.13013698630136988,1.0,-1.906392694063927,-1.703500761035008,0.0
2018-10-10,-1.0949376827204185,-1.8158178181258655,-0.14263732881981842,1.0,-1.932374211417141,-1.7078012001846437,0.0
2018-10-11,-0.9688323090430203,-1.75753585016096,-0.0,1.0,-1.881694468832309,-1.7082967515364356,0.0
2018-10-12,-0.9779009501871582,-1.731284192340916,-0.0,1.0,-1.8371004894903542,-1.6521019291678665,0.0
2018-10-15,-0.9408898760478612,-1.751235938955363,-0.0,1.0,-1.826252059898259,-1.6464856344486638,0.0
2018-10-16,-0.9331995412844037,-1.7653383027522935,-0.0,1.0,-1.8241829128440368,-1.64463876146789,0.0
2018-10-17,-0.8759765625000001,-1.6605050223214288,-0.0,1.0,-1.7960379464285714,-1.6429268973214286,0.0
2018-10-18,-0.8748517614230903,-1.6579700034879663,-0.0,1.0,-1.7993721660272062,-1.643739100104639,0.0
2018-10-19,-0.8402921317348767,-1.62422488631666,-0.0,1.0,-1.793647512746314,-1.6317348766708009,0.0
2018-10-22,-0.8406036799669218,-1.6080215009303287,-0.0,1.0,-1.8024946592240372,-1.64020398318517,0.0
2018-10-23,-0.8617294223701546,-1.6233964357534152,-0.0,1.0,-1.8033423479647737,-1.6458636710352956,0.0
2018-10-24,-0.8568065364907909,-1.6175045007616675,-0.0,1.0,-1.8036283063287633,-1.6462401329455754,0.0
2018-10-25,-0.7655341089370703,-1.4881015335801162,-0.0,1.0,-1.7975938656795347,-1.5590296139608673,0.0
2018-10-26,-0.7257183721232608,-1.4501365232089454,-0.0,1.0,-1.7945650760629306,-1.5307502275386815,0.0
2018-10-29,-0.6709745483317948,-1.5273638401687988,-0.0,1.0,-1.8046947118554664,-1.5905973888962153,0.0
2018-10-30,-0.6858919240690522,-1.5333024670943847,-0.0,1.0,-1.8099080627025597,-1.5850916065877374,0.0
2018-10-31,-0.6855703819989535,-1.4950941915227631,-0.0,1.0,-1.793825222396651,-1.5665227629513345,0.0
2018-11-01,-0.6423190304618408,-1.5377661316737634,-0.0,1.0,-1.797641663937111,-1.5732721912872585,0.0
2018-11-02,-0.6587275693311583,-1.4712561174551386,-0.0,1.0,-1.8272756933115823,-1.568026101141925,0.0
2018-11-05,-0.652207944687235,-1.4889439697345248,-0.0,1.0,-1.8279303372252298,-1.553649468397365,0.0
2018-11-06,-0.6540166927490871,-1.4893714136671883,-0.0,1.0,-1.8258346374543557,-1.5513823682837766,0.0
2018-11-07,-0.6566174055829228,-1.5092282430213466,-0.0,1.0,-1.8369129720853858,-1.5654515599343186,0.0
2018-11-08,-0.5841668860226376,-1.5450118452224268,-0.0,1.0,-1.8409449855225057,-1.6105554093182417,0.0
2018-11-09,-0.5895335007268402,-1.5534557948989032,-0.0,1.0,-1.8461741773490152,-1.61840888066605,0.0
2018-11-12,-0.5878560621011775,-1.5152292612328135,-0.0,1.0,-1.8624432603118213,-1.6129859877639627,0.0
2018-11-13,-0.5293352413165084,-1.500065044880968,-0.0,1.0,-1.8700403278262,-1.6050474827631067,0.0
2018-11-14,-0.5296473832818963,-1.5234092849169347,-0.0,1.0,-1.8888961849103685,-1.6244664784293124,0.0
2018-11-15,-0.5314127496868614,-1.5393236205418948,-0.0,1.0,-1.9113323224998355,-1.6102577625420267,0.0
2018-11-16,-0.5245998425610077,-1.5192206769876673,-0.0,1.0,-1.903175019679874,-1.612962477040147,0.0
2018-11-19,-0.5225154260207431,-1.5212025731915453,-0.0,1.0,-1.9058684521465143,-1.614612051988972,0.0
2018-11-20,-0.42650130548302867,-1.5046997389033943,-0.0,1.0,-1.925587467362924,-1.670626631853786,0.0
2018-11-21,-0.42323785001609276,-1.479047312520116,-0.0,1.0,-1.9093015770840038,-1.6254908271644677,0.0
2018-11-23,-0.42390745501285354,-1.4687660668380464,-0.0,1.0,-1.909897172236504,-1.6241645244215939,0.0
2018-11-26,-0.42414303170621903,-1.4683902501768604,-0.0,1.0,-1.9124059425043414,-1.6263425300662422,0.0
2018-11-27,-0.4000771109111939,-1.4893329906181725,-0.0,1.0,-1.9126718930728699,-1.6238272715589255,0.0
2018-11-28,-0.4106692531522793,-1.4734561913999351,-0.0,1.0,-1.9387002909796311,-1.6433882961526025,0.0
2018-11-29,-0.3366165653981452,-1.4526383114806525,-0.0,1.0,-1.9413495362967703,-1.6652382475215861,0.0
2018-11-30,-0.3360613810741688,-1.4525575447570331,-0.0,1.0,-1.942710997442455,-1.6625959079283885,0.0
