Date,IWF,IWM,MTUM,RTLR,SPY,VLUE,VXX
2020-01-21,-0.0,-0.46126675376203613,-1.133401074176223,1.0,-1.46426670537572,-0.7796971016596507,0.0
2020-01-22,-0.0,-0.4578132559264635,-1.1372036768263183,1.0,-1.4633768746976297,-0.7795839380745042,0.0
2020-01-23,-0.0,-0.462097008422887,-1.1354438958272823,1.0,-1.4706651176299739,-0.7725336431406719,0.0
2020-01-24,-0.0,-0.46231666585991577,-1.1353889346047727,1.0,-1.470206689578392,-0.7725930587153299,0.0
2020-01-27,-0.0,-0.4413507394383159,-1.1372416783082038,1.0,-1.4598005684281516,-0.7787947396310034,0.0
2020-01-28,-0.0,-0.46173941956015774,-1.1411200303994682,1.0,-1.4163302142212513,-0.7307747114425497,0.0
2020-01-29,-0.0,-0.4787086267183982,-1.1681276045408822,1.0,-1.4133735689993772,-0.7297504430713225,0.0
2020-01-30,-0.0,-0.48707207857865087,-1.1680870528191054,1.0,-1.4719052433915933,-0.6877557898791468,0.0
2020-01-31,-0.0,-0.5050554151273576,-1.1641065525957612,1.0,-1.4924654870698038,-0.6993486292047444,0.0
2020-02-03,-0.0,-0.47531654573908094,-1.1249585052401954,1.0,-1.4510836060131833,-0.6908996063925641,0.0
2020-02-04,-0.0,-0.44066501051022355,-1.1282247276896618,1.0,-1.47544429581502,-0.7330403210395566,0.0
2020-02-05,-0.0,-0.43797205438066467,-1.1195713746223566,1.0,-1.4512839879154078,-0.7117163897280966,0.0
2020-02-06,-0.0,-0.43544363379618733,-1.135184749352789,1.0,-1.4410920216521534,-0.6952694751706284,0.0
2020-02-07,-0.0,-0.452365215749221,-1.1336512132943064,1.0,-1.4402794825795486,-0.6946463978849966,0.0
2020-02-10,-0.0,-0.42596262740656854,-1.1422706681766706,1.0,-1.453520196300491,-0.6970083050207626,0.0
2020-02-11,-0.0,-0.4353251739860811,-1.1520518358531318,1.0,-1.4799136069114471,-0.7322774178065755,0.0
2020-02-12,-0.0,-0.43852990631755945,-1.1529185683401393,1.0,-1.4759548402594282,-0.7367763631996156,0.0
2020-02-13,-0.0,-0.4382060279767342,-1.1526702879392396,1.0,-1.4788732394366197,-0.7372494351776187,0.0
2020-02-14,-0.0,-0.4372446281786281,-1.1521895880401865,1.0,-1.4805556890833054,-0.7370090852280922,0.0
2020-02-18,-0.0,-0.43850036049026675,-1.1488103821196827,1.0,-1.4777697668829608,-0.7414563806777217,0.0
2020-02-19,-0.0,-0.45301997195222204,-1.166835920499057,1.0,-1.4922868610667825,-0.723681029063301,0.0
2020-02-20,-0.0,-0.4579384749963551,-1.1714049667104047,1.0,-1.5039607328570734,-0.7264907420906838,0.0
2020-02-21,-0.0,-0.4732698289269051,-1.1684486780715397,1.0,-1.4958689735614308,-0.7224922239502333,0.0
2020-02-24,-0.0,-0.4648784253184099,-1.156599768429178,1.0,-1.48533384793516,-0.7175800849093015,0.0
2020-02-25,-0.0,-0.5202862873814733,-1.1378555798687089,1.0,-1.2251094091903718,-0.6755105762217359,0.0
2020-02-26,-0.0,-0.4752427818664809,-1.068457954100074,1.0,-1.1743239123807865,-0.6368070374080042,0.0
2020-02-27,-0.0,-0.49077490774907745,-1.0878580214373572,1.0,-1.1660516605166051,-0.6481725531541029,0.0
2020-02-28,-0.0,-0.5340611710827609,-0.9472930978083087,1.0,-0.984093882891724,-0.6235279685966634,0.0
2020-03-02,-0.0,-0.47574129516466396,-0.9445925439855637,1.0,-1.0403559857277611,-0.6405282368863553,0.0
2020-03-03,-0.0,-0.6152323648167207,-0.7812524740717283,1.0,-0.9613648958910616,-0.6006650304805637,0.0
2020-03-04,-0.0,-0.6332372643713975,-0.7811185542919458,1.0,-0.9168873656332762,-0.5634834086306278,0.0
2020-03-05,-0.0,-0.7353403141361256,-0.6543380703066566,1.0,-0.8366866118175018,-0.5133507853403141,0.0
