Date,IWF,IWM,MTUM,SDY,SPY,SSD,USMV,VLUE,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY
2019-01-02,-0.0,-0.3440424035913246,-0.0,-0.06579587863053708,-0.0,1.0,-0.11458164313916382,-0.15433501000594949,-0.33638920439180053,-0.0915950024338796,-0.0,-0.07815457839796636,-0.02842230515441614,-0.0,-0.0026772675644978097,-0.0,-0.34588133484774736,-0.0,-0.14246308615933798
2019-01-03,-0.0,-0.34850280051701854,-0.0,-0.018607281344248168,-0.0,1.0,-0.04612774666092201,-0.19835200344679016,-0.3377854373115036,-0.10590801378716069,-0.0,-0.0909090909090909,-0.039153382162860836,-0.0,-0.02049224472210254,-0.0,-0.34815273588970264,-0.0,-0.13881408875484705
2019-01-04,-0.0,-0.3766898260354392,-0.0,-0.03630096407604891,-0.0,1.0,-0.023240157268271666,-0.2141164431518285,-0.3146173318252814,-0.12430656541175203,-0.0,-0.07911886680670006,-0.0,-0.0,-0.03810524048042225,-0.0,-0.36144772984327034,-0.0,-0.1250067323746432
2019-01-07,-0.0,-0.3357125987351405,-0.0,-0.08940614585246806,-0.0,1.0,-0.05639383840239325,-0.2021150969638124,-0.27758679507701994,-0.08728055212953,-0.0,-0.0722439446820794,-0.0,-0.0,-0.016138767155640697,-0.0,-0.32159445771118167,-0.0,-0.16569134279791115
2019-01-08,-0.0,-0.3359481582537517,-0.0,-0.08870290691573092,-0.0,1.0,-0.055724630076608245,-0.20211984468464686,-0.2781246720537307,-0.08733865043551264,-0.0,-0.07238430055619688,-0.0,-0.0,-0.01579389232868087,-0.0,-0.3221219435407703,-0.0,-0.16528491971875328
2019-01-09,-0.0,-0.33924070573408943,-0.0,-0.08950325561856753,-0.0,1.0,-0.05366519638731359,-0.2007981516488133,-0.278959252257929,-0.0888468809073724,-0.0,-0.07031085906322201,-0.0,-0.0,-0.015542953161100609,-0.0,-0.3245379122033186,-0.0,-0.16411993278722956
2019-01-10,-0.0,-0.3400708754429715,-0.0,-0.08995931224570154,-0.0,1.0,-0.05360283501771886,-0.2021787636172726,-0.2782779892374327,-0.08804305026906419,-0.0,-0.07042919018243864,-0.0,-0.0,-0.013807586297414359,-0.0,-0.32460952880955507,-0.0,-0.16403727523297018
2019-01-11,-0.0,-0.33183457939039057,-0.0,-0.08882731217650443,-0.0,1.0,-0.04449207925968526,-0.20136456318293514,-0.27189313535839393,-0.08610864223349192,-0.0,-0.07646259214722644,-0.0,-0.0,-0.016965546086683745,-0.0,-0.31792753698959586,-0.0,-0.1782035865530402
2019-01-14,-0.0,-0.3334642268122202,-0.0,-0.0802115238618812,-0.0,1.0,-0.04895416110369382,-0.23118406241001074,-0.26241524647242076,-0.07290766773999319,-0.0,-0.07450456818241315,-0.0,-0.0,-0.027016414042252412,-0.0,-0.31129087148878243,-0.0,-0.1759470143197466
2019-01-15,-0.0,-0.29770833333333335,-0.0,-0.11856770833333333,-0.0,1.0,-0.05705729166666666,-0.20692708333333334,-0.24565104166666665,-0.07986979166666666,-0.0,-0.1184375,-0.0,-0.0,-0.042395833333333334,-0.012473958333333333,-0.25244791666666666,-0.0,-0.17268229166666665
