Date,CDMO,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-4.153248056182592,-6.910458991723099,-1.8457486832204664,-5.682217205919237,-5.489841986455981,0.0
2018-09-25,1.0,-4.171356783919598,-6.9153266331658285,-1.864824120603015,-5.68643216080402,-5.487688442211055,0.0
2018-09-26,1.0,-4.17559748427673,-6.9245283018867925,-1.8628930817610063,-5.695094339622641,-5.498867924528302,0.0
2018-09-27,1.0,-4.185976375973863,-6.885900980145766,-1.872581050515205,-5.692887660216135,-5.494596632319678,0.0
2018-09-28,1.0,-4.178643216080403,-6.889195979899497,-1.8746231155778892,-5.6904522613065325,-5.492964824120603,0.0
2018-10-01,1.0,-4.1869182389937105,-6.8938364779874215,-1.8777358490566036,-5.699119496855346,-5.4998742138364785,0.0
2018-10-02,1.0,-4.184468459411913,-6.873335008796181,-1.8823825081678813,-5.69514953505906,-5.496607187735612,0.0
2018-10-03,1.0,-4.15971007248188,-6.815046238440391,-1.8665333666583355,-5.6720819795051245,-5.480379905023744,0.0
2018-10-04,1.0,-4.178589294647323,-6.794647323661831,-1.8731865932966483,-5.695097548774387,-5.470985492746373,0.0
2018-10-05,1.0,-4.0506391347099315,-6.663962635201573,-1.7664700098328414,-5.654375614552606,-5.447148475909538,0.0
2018-10-08,1.0,-3.968139029688631,-6.544774318126961,-1.706010137581463,-5.566739077962828,-5.351194786386676,0.0
2018-10-09,1.0,-3.9628557645923785,-6.542450554751568,-1.6970574047274485,-5.565846599131693,-5.351423058369513,0.0
2018-10-10,1.0,-3.9550048123195376,-6.525986525505294,-1.6927333974975938,-5.554619826756497,-5.333734359961501,0.0
2018-10-11,1.0,-3.4179696102180133,-6.159216031711077,-1.1462232988328562,-5.167804448359392,-5.130367760405197,0.0
2018-10-12,1.0,-3.35,-5.960593220338983,-1.070550847457627,-4.930296610169492,-4.875,0.0
2018-10-15,1.0,-3.23571279045426,-6.032865815365292,-0.9355243876910195,-4.880678249947666,-4.8488591166003765,0.0
2018-10-16,1.0,-3.2296730930427495,-6.074182732606873,-0.9109388097233865,-4.886420787929589,-4.854358759430008,0.0
2018-10-17,1.0,-2.971187769502156,-5.600352802822422,-0.7461779694237554,-4.627597020776166,-4.65484123872991,0.0
2018-10-18,1.0,-2.9674892283587933,-5.5940070505287895,-0.745789267528398,-4.625930278104191,-4.651390520955738,0.0
2018-10-19,1.0,-2.8944412163470847,-5.52566337400736,-0.6668603525082316,-4.633546387759054,-4.648072825876429,0.0
2018-10-22,1.0,-2.896385076358013,-5.492364198724144,-0.6460467813647787,-4.641600618596559,-4.654745795476513,0.0
2018-10-23,1.0,-2.8951535045375554,-5.4852288086503185,-0.6503185943232285,-4.631975284804016,-4.6462637574821395,0.0
2018-10-24,1.0,-2.9033629686896014,-5.482412060301508,-0.6194433706996522,-4.651526865094704,-4.6706609972941635,0.0
2018-10-25,1.0,-2.5406162464985997,-4.913340336134454,-0.47794117647058826,-4.355567226890757,-4.219537815126051,0.0
