Date,EQX,IWF,IWM,MTUM,SPY,VLUE,VXX
2019-09-03,,,,-inf,-inf,-inf,
2019-09-04,,,,-inf,-inf,-inf,
2019-09-05,,,,-inf,-inf,-inf,
2019-09-06,,,,-inf,-inf,-inf,
2019-09-09,,,,-inf,-inf,-inf,
2019-09-10,,,,-inf,-inf,-inf,
2019-09-11,,,,-inf,-inf,-inf,
2019-09-12,,,,-inf,-inf,-inf,
2019-09-13,,,,-inf,-inf,-inf,
2019-09-16,,,,-inf,-inf,-inf,
2019-09-17,,,,-inf,-inf,-inf,
2019-09-18,,,,-inf,-inf,-inf,
2019-09-19,,,,-inf,-inf,-inf,
2019-09-20,,,,-inf,-inf,-inf,
2019-09-23,,,,-inf,-inf,-inf,
2019-09-24,,,,-inf,-inf,-inf,
2019-09-25,,,,-inf,-inf,-inf,
2019-09-26,,,,-inf,-inf,-inf,
2019-09-27,,,,-inf,-inf,-inf,
2019-09-30,,,,-inf,-inf,-inf,
2019-10-01,,,,-inf,-inf,-inf,
2019-10-02,,,,-inf,-inf,-inf,
2019-10-03,,,,-inf,-inf,-inf,
2019-10-04,,,,-inf,-inf,-inf,
2019-10-07,,,,-inf,-inf,-inf,
2019-10-08,,,,-inf,-inf,-inf,
2019-10-09,,,,-inf,-inf,-inf,
2019-10-10,,,-inf,-inf,-inf,-inf,
2019-10-11,,,-inf,-inf,-inf,-inf,
2019-10-14,,,,-inf,-inf,-inf,
2019-10-15,,,,-inf,-inf,-inf,
2019-10-16,,,,-inf,-inf,-inf,
2019-10-17,,,-inf,-inf,-inf,-inf,
2019-10-18,,,,-inf,-inf,-inf,
2019-10-21,,,,-inf,-inf,-inf,
2019-10-22,,,,-inf,-inf,-inf,
2019-10-23,,,,-inf,-inf,-inf,
2019-10-24,,,,-inf,-inf,-inf,
2019-10-25,,,,-inf,-inf,-inf,
2019-10-28,,,-inf,-inf,-inf,-inf,
2019-10-29,,,-inf,-inf,-inf,-inf,
2019-10-30,,,-inf,-inf,-inf,-inf,
2019-10-31,,,-inf,-inf,-inf,-inf,
2019-11-01,,,-inf,-inf,-inf,-inf,
2019-11-04,,,,-inf,-inf,-inf,
2019-11-05,,,,-inf,-inf,-inf,
2019-11-06,,,,-inf,-inf,-inf,
2019-11-07,,,,-inf,-inf,-inf,
2019-11-08,,,,-inf,-inf,-inf,
2019-11-11,,,,-inf,-inf,-inf,
2019-11-12,,,,-inf,-inf,-inf,
2019-11-13,,,,-inf,-inf,-inf,
2019-11-14,,,,-inf,-inf,-inf,
2019-11-15,,,,-inf,-inf,-inf,
2019-11-18,,,-inf,-inf,-inf,-inf,
2019-11-19,,,-inf,-inf,-inf,-inf,
2019-11-20,,,-inf,-inf,-inf,-inf,
2019-11-21,,,-inf,-inf,-inf,-inf,
2019-11-22,,,,-inf,-inf,-inf,
2019-11-25,,,,-inf,-inf,-inf,
2019-11-26,,,,-inf,-inf,-inf,
2019-11-27,,,,-inf,-inf,-inf,
2019-11-29,,,,-inf,-inf,-inf,
2019-12-02,,,,-inf,-inf,-inf,
2019-12-03,,,,-inf,-inf,-inf,
2019-12-04,,,,-inf,-inf,-inf,
2019-12-05,,,,-inf,-inf,-inf,
2019-12-06,,,,-inf,-inf,-inf,
2019-12-09,,,,-inf,-inf,-inf,
2019-12-10,,,,-inf,-inf,-inf,
2019-12-11,,,,-inf,-inf,-inf,
2019-12-12,,,,-inf,-inf,-inf,
2019-12-13,,,,-inf,-inf,-inf,
2019-12-16,,,,-inf,-inf,-inf,
