Date,EXAS,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-1.2358925449054206,-2.1048323001112705,-0.7200762994754412,-1.5542838976315374,-1.3328564616118264,0.0
2018-09-25,1.0,-1.2477269101930133,-2.107991705216143,-0.7323337055351731,-1.5567873664061256,-1.33091402137502,0.0
2018-09-26,1.0,-1.2510380070265092,-2.1125039923347178,-0.7369849888214628,-1.5576493133184288,-1.3265729798786332,0.0
2018-09-27,1.0,-1.251655100901332,-2.105607402089814,-0.7381351200446677,-1.5560341389487118,-1.3248783600542393,0.0
2018-09-28,1.0,-1.2503005530175522,-2.123507253346157,-0.7418449947904143,-1.5647190831129276,-1.3344553979321951,0.0
2018-10-01,1.0,-1.2507826924620695,-2.129405153728827,-0.7430360439913302,-1.5668298948382435,-1.3375612105643413,0.0
2018-10-02,1.0,-1.2521271472146411,-2.1175951196018623,-0.7474715042542944,-1.5691924867554985,-1.340423824048804,0.0
2018-10-03,1.0,-1.2509423369957495,-2.1103536771192557,-0.7468120939931029,-1.5694923410056942,-1.3423690753067608,0.0
2018-10-04,1.0,-1.2607822664846198,-2.100795116858084,-0.7494177174524135,-1.5821219179182395,-1.3383663962733918,0.0
2018-10-05,1.0,-1.247460609453731,-2.097816524034232,-0.731984323762297,-1.583619931216508,-1.3371990722226665,0.0
2018-10-08,1.0,-1.2423638248664168,-2.0900390780764018,-0.7251774463673338,-1.5844166201451473,-1.3330409123534572,0.0
2018-10-09,1.0,-1.249220436555529,-2.0959462700887506,-0.7339889661789399,-1.585432157991525,-1.3309346765811148,0.0
2018-10-10,1.0,-1.255767382249279,-2.0967638577379044,-0.7395866709388016,-1.5912367830823453,-1.3268984299903877,0.0
2018-10-11,1.0,-1.1477863068930758,-2.102969682871986,-0.5869582073350392,-1.5658680313251143,-1.3501589516941925,0.0
2018-10-12,1.0,-1.1601469800199036,-2.092245272908214,-0.5753655362474164,-1.5273673734976652,-1.30000765520937,0.0
2018-10-15,1.0,-1.1285616072110611,-2.1469712015888778,-0.5277671682835536,-1.5279963333587963,-1.3075395309754794,0.0
2018-10-16,1.0,-1.1287143839278895,-2.146512871438393,-0.5282254984340387,-1.527919945000382,-1.3075395309754794,0.0
2018-10-17,1.0,-1.0921378688893895,-2.074716527746489,-0.48404295261695574,-1.5277464894495756,-1.3304798378013065,0.0
2018-10-18,1.0,-1.093470583815463,-2.0778420617627167,-0.48298144113006236,-1.5279134420317078,-1.3315049966188293,0.0
2018-10-19,1.0,-1.0699836382567307,-2.0586791610888,-0.4587981555853042,-1.5268481332738362,-1.322846943328871,0.0
2018-10-22,1.0,-1.0702602230483271,-2.0557620817843865,-0.45985130111524164,-1.526171003717472,-1.322899628252788,0.0
2018-10-23,1.0,-1.0732396460703397,-2.055097033236672,-0.46620566584876205,-1.521228344114804,-1.3197263737080824,0.0
2018-10-24,1.0,-1.0784065524944153,-2.05331347728965,-0.45115413253909153,-1.5313477289650037,-1.3317944899478777,0.0
2018-10-25,1.0,-1.004588142519177,-1.9556957487991968,-0.41852462542117713,-1.5312208760484622,-1.258943293426052,0.0
2018-10-26,1.0,-0.9776240559045671,-1.9254605773981792,-0.39027317004305784,-1.5286934425072354,-1.2366061975012355,0.0
2018-10-29,1.0,-0.9478709859951902,-1.9729098882444476,-0.3531616918941859,-1.5294242467109915,-1.2697694157589476,0.0
