Date,INCO,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.24379654171399723,-0.4270604568976398,-0.0,-0.4253944213050612,-0.4280449324750726,0.0
2018-09-25,1.0,-0.23977208562188798,-0.4444330373184128,-0.0,-0.4385811816641856,-0.4437913864791335,0.0
2018-09-26,1.0,-0.2440486913554829,-0.4496744473325269,-0.0,-0.44028103044496486,-0.43956043956043955,0.0
2018-09-27,1.0,-0.24504231075902155,-0.4473623292780164,-0.0,-0.44023766043365314,-0.43944031482291207,0.0
2018-09-28,1.0,-0.24328358208955222,-0.4497169325784869,-0.0,-0.4405043746783325,-0.43983530622748324,0.0
2018-10-01,1.0,-0.2463932691563218,-0.4495315766381914,-0.0,-0.4436730585593724,-0.4412212558391618,0.0
2018-10-02,1.0,-0.2465863039157482,-0.45001419684571903,-0.0,-0.4435610851552619,-0.44110890271288816,0.0
2018-10-03,1.0,-0.24682433130228237,-0.4507900444077249,-0.0,-0.44343178766911084,-0.44079830631002787,0.0
2018-10-04,1.0,-0.2620978289301596,-0.44747580434213974,-0.0,-0.46649228354695266,-0.4396808788909234,0.0
2018-10-05,1.0,-0.2626122470351075,-0.44985208262428994,-0.0,-0.4667382255150928,-0.4388040945624002,0.0
2018-10-08,1.0,-0.2643282837564651,-0.4532804746777285,-0.0,-0.4672215075218567,-0.4405996481923915,0.0
2018-10-09,1.0,-0.2590011308944586,-0.4540935749414828,-0.0,-0.47071509349604185,-0.4461510138600321,0.0
2018-10-10,1.0,-0.2575262297674909,-0.457162440027416,-0.0,-0.4712395212737913,-0.45022934570569934,0.0
2018-10-11,1.0,-0.19986631016042783,-0.4498406005758947,-0.0,-0.4563965446318388,-0.46485499794323326,0.0
2018-10-12,1.0,-0.21672634271099742,-0.4509974424552429,-0.0,-0.4425831202046036,-0.4472378516624041,0.0
2018-10-15,1.0,-0.24074218041410764,-0.4406437067558112,-0.0,-0.45567389670631525,-0.4543522765554951,0.0
2018-10-16,1.0,-0.24217757615035646,-0.4389630589760208,-0.0,-0.4562799740764744,-0.45495787427090084,0.0
2018-10-17,1.0,-0.2339361292804925,-0.4223419263819418,-0.0,-0.45260997819674237,-0.4561754520969604,0.0
2018-10-18,1.0,-0.23747029037924977,-0.4331146016327374,-0.0,-0.45259377906375947,-0.46026661155316734,0.0
2018-10-19,1.0,-0.23104600359804675,-0.42724235415060396,-0.0,-0.4523772809046518,-0.45936777178103316,0.0
2018-10-22,1.0,-0.23096355106459762,-0.4163788214672372,-0.0,-0.4621333195855029,-0.46824251172861786,0.0
2018-10-23,1.0,-0.23115785132487882,-0.41635735642849775,-0.0,-0.4619548407052273,-0.4681152696154242,0.0
2018-10-24,1.0,-0.2300401771917173,-0.41204800659318014,-0.0,-0.4628876068816318,-0.47048521685381683,0.0
