Date,IWF,IWM,LNC,MTUM,SPY,VLUE,VXX
2018-09-24,-0.2090476786384683,-0.5239331748216745,1.0,-0.1464772869478163,-0.5759291703166062,-0.6731322738080341,0.0
2018-09-25,-0.20769689176049932,-0.5284634444688392,1.0,-0.14236426935984695,-0.579807420882602,-0.6781043189160367,0.0
2018-09-26,-0.20757794366727308,-0.528417288752274,1.0,-0.14211780942224453,-0.5799197039081614,-0.6785019760366352,0.0
2018-09-27,-0.20736069277108432,-0.5295870983935743,1.0,-0.14191139558232932,-0.5800389056224899,-0.678620732931727,0.0
2018-09-28,-0.20736069277108432,-0.5297439759036144,1.0,-0.1421937751004016,-0.5798820281124498,-0.6784011044176707,0.0
2018-10-01,-0.2081267649827424,-0.5290241606526515,1.0,-0.14213994352055226,-0.5802321932852212,-0.6782554126137433,0.0
2018-10-02,-0.20963946154570273,-0.5183720857259406,1.0,-0.14603533214095202,-0.5828234334306066,-0.6810066208541217,0.0
2018-10-03,-0.2094037200840626,-0.5124996079169412,1.0,-0.14525893165208117,-0.5848624572629466,-0.6846397540855055,0.0
2018-10-04,-0.2079295154185022,-0.521019509125236,1.0,-0.1450283196979232,-0.5827249842668344,-0.6899307740717432,0.0
2018-10-05,-0.19321608040201005,-0.5134736180904522,1.0,-0.13197236180904523,-0.5955402010050251,-0.706501256281407,0.0
2018-10-08,-0.19153542071908136,-0.5107611219175503,1.0,-0.12797264227897345,-0.6001129447198343,-0.7069398255631549,0.0
2018-10-09,-0.18897439924611276,-0.5127061410397361,1.0,-0.12011936547824721,-0.6054028584890844,-0.7139940317260876,0.0
2018-10-10,-0.18954905162668007,-0.5116505464137671,1.0,-0.12102750910689611,-0.605859816605954,-0.7122534857429972,0.0
2018-10-11,-0.15422502693550869,-0.5070955825765737,1.0,-0.081514545174696,-0.603416961674619,-0.73209173464676,0.0
2018-10-12,-0.14735762885637058,-0.5170721098580172,1.0,-0.073259390437133,-0.619287289899649,-0.749867959113928,0.0
2018-10-15,-0.13418342020352444,-0.537199056837925,1.0,-0.05575204765450484,-0.6205634152395135,-0.7548088855795483,0.0
2018-10-16,-0.13383799211987712,-0.5386715477926349,1.0,-0.054695498402258555,-0.6205441628145069,-0.7546613718859554,0.0
2018-10-17,-0.12179939284290577,-0.5113918616417773,1.0,-0.042071693600318906,-0.623194627579651,-0.7679617307043635,0.0
2018-10-18,-0.11999753914300657,-0.509581961918238,1.0,-0.04426466516964533,-0.6312098188194039,-0.7710172567596665,0.0
2018-10-19,-0.1131016288843216,-0.5062118469891714,1.0,-0.03883554710267186,-0.6343139360103071,-0.7751464768857941,0.0
2018-10-22,-0.11606074551311552,-0.5002914557447461,1.0,-0.03193741371375978,-0.6399754563583372,-0.7796901365240066,0.0
2018-10-23,-0.11442126990973228,-0.5055608613943744,1.0,-0.023075264179426354,-0.6506361871899935,-0.787146862195385,0.0
2018-10-24,-0.11348871578558452,-0.5040487699744449,1.0,-0.02004372055789895,-0.6519905169494135,-0.7893408048277347,0.0
2018-10-25,-0.09930715935334873,-0.4866901665248572,1.0,-0.017077914185000608,-0.6540658806369272,-0.7816336453142093,0.0
2018-10-26,-0.0932612764929654,-0.4807378781474549,1.0,-0.008513978624479198,-0.6592295151258981,-0.7773987078074995,0.0
2018-10-29,-0.08952926976463489,-0.48098974049487025,1.0,-0.005069402534701268,-0.6611949305974654,-0.7806879903439953,0.0
2018-10-30,-0.08538241062000301,-0.4815809322673103,1.0,-0.002262784733745663,-0.6621813244833308,-0.7856388595564942,0.0
2018-10-31,-0.0865566675682986,-0.4722147086226069,1.0,-0.003366092627656057,-0.6603852973882728,-0.7829170799146454,0.0
2018-11-01,-0.09048235187915625,-0.4683296723136641,1.0,-0.007101375139168899,-0.6603677067974603,-0.7827460656576294,0.0
2018-11-02,-0.09444427787605313,-0.4541420561868498,1.0,-0.004587293496836866,-0.6647677870056666,-0.7802896291188198,0.0
2018-11-05,-0.08494666139865666,-0.5108044859131387,1.0,-0.0,-0.68376743761967,-0.7597179588487372,0.0
2018-11-06,-0.0814735880651545,-0.5087836809255595,1.0,-0.0,-0.6883543918404628,-0.7658395493986907,0.0
2018-11-07,-0.07949981745162467,-0.5083972252646951,1.0,-0.003529268589509553,-0.6862297675550687,-0.764816843130096,0.0
2018-11-08,-0.06608969315499606,-0.5084730375839739,1.0,-0.0,-0.6825636990861225,-0.7689886824426558,0.0
2018-11-09,-0.06549042157189117,-0.5086099930393729,1.0,-0.0,-0.6835335774596738,-0.7686953363798686,0.0
2018-11-12,-0.06452002293508767,-0.4991097564655823,1.0,-0.0,-0.6869058756073271,-0.767239037933428,0.0
2018-11-13,-0.04543954890375214,-0.4945562520620258,1.0,-0.0,-0.6905311778290993,-0.7687831798686302,0.0
2018-11-14,-0.04929725825382971,-0.49571131910795435,1.0,-0.0,-0.6944051524362717,-0.7701868961988745,0.0
2018-11-15,-0.04807460890493382,-0.49551744885679905,1.0,-0.0,-0.6950962695547533,-0.7697352587244284,0.0
2018-11-16,-0.04389892130645113,-0.48670412547699893,1.0,-0.0,-0.695922598479613,-0.7781917610648719,0.0
