Date,IWF,IWM,MTUM,SPY,VLUE,VXX,WRB
2018-09-24,-0.13073195263566953,-0.40360261509623735,-0.04354683856809766,-0.3530379920449869,-0.3550038860695835,0.0,1.0
2018-09-25,-0.13009153318077804,-0.4051258581235698,-0.04196796338672769,-0.35437070938215104,-0.3567963386727689,0.0,1.0
2018-09-26,-0.13340990008039508,-0.41047433099804753,-0.04637647869530263,-0.35534627311358674,-0.3513724589410819,0.0,1.0
2018-09-27,-0.1336808745177292,-0.4097005327944149,-0.04664247657541797,-0.355249862208341,-0.3512768693735073,0.0,1.0
2018-09-28,-0.13369008520704623,-0.4097287613973037,-0.046829425139523664,-0.3551824716933465,-0.35125513883466153,0.0,1.0
2018-10-01,-0.13314623542131537,-0.4124358767914242,-0.04718087920682754,-0.3553863495203699,-0.352234823215477,0.0,1.0
2018-10-02,-0.13366061504260837,-0.43719896257873286,-0.04036217117450908,-0.3542978881067062,-0.3501528343831049,0.0,1.0
2018-10-03,-0.1335726693688477,-0.429994209612044,-0.03914302258251302,-0.35773016792125073,-0.3557382744643891,0.0,1.0
2018-10-04,-0.1346839546191248,-0.4278999768464922,-0.039453577216948366,-0.3589256772401018,-0.3543875897198426,0.0,1.0
2018-10-05,-0.12551316942663407,-0.42301305410766177,-0.03164352599289635,-0.3647077817242492,-0.36152497808939527,0.0,1.0
2018-10-08,-0.12487038274535106,-0.4221950826093969,-0.030831624305827587,-0.3651404474963707,-0.3612692121575224,0.0,1.0
2018-10-09,-0.1237122905671683,-0.42262220276094115,-0.027909013389873474,-0.3668272222350257,-0.3635777004447927,0.0,1.0
2018-10-10,-0.12480125354287162,-0.4215498767195889,-0.029241652648800607,-0.3675369265156577,-0.3611770398875498,0.0,1.0
2018-10-11,-0.11154852656730004,-0.41966093981112756,-0.015360109227443394,-0.3654113095915349,-0.3635908522016157,0.0,1.0
2018-10-12,-0.10730222659557427,-0.4259594041053571,-0.010045996475891897,-0.3737385294858006,-0.3713586123252249,0.0,1.0
