Date,IWF,IWM,MTUM,SPY,TFX,VLUE,VXX
2018-09-24,-0.38688774537831144,-0.6342989644876438,-0.1584715075281113,-0.5615272219045804,1.0,-0.43523283145924657,0.0
2018-09-25,-0.38759049917439353,-0.6333354502730852,-0.15985012066556586,-0.5606820779880605,1.0,-0.4339832338371651,0.0
2018-09-26,-0.38859066797954456,-0.6346282120509481,-0.16186513356414572,-0.5603023854143506,1.0,-0.4309309786233841,0.0
2018-09-27,-0.38942322953369524,-0.6315271561438593,-0.16271466209567345,-0.5600101577627528,1.0,-0.43062565469955244,0.0
2018-09-28,-0.38575610997963333,-0.6384928716904277,-0.16341013238289204,-0.5618317209775967,1.0,-0.43279022403258655,0.0
2018-10-01,-0.3856338117819293,-0.6387129626682793,-0.16361668947519176,-0.5616944081983387,1.0,-0.4329270233283473,0.0
2018-10-02,-0.38588340122199594,-0.6361379837067209,-0.16474669042769854,-0.5619908350305499,1.0,-0.433522148676171,0.0
2018-10-03,-0.38549618320610685,-0.6312022900763358,-0.16415394402035624,-0.5634223918575063,1.0,-0.4363867684478371,0.0
2018-10-04,-0.39323406561872265,-0.6238880209163664,-0.16478015495966583,-0.5743073047858942,1.0,-0.4322928291298664,0.0
2018-10-05,-0.3924986456773207,-0.6252190816098914,-0.16130779771199133,-0.5760173353302954,1.0,-0.43156687167394286,0.0
2018-10-08,-0.3909571083110602,-0.6224067710322005,-0.15778923253150057,-0.5795469008527427,1.0,-0.43120784014254804,0.0
2018-10-09,-0.39295039164490864,-0.6229701330955868,-0.16159332611602878,-0.5781060943768707,1.0,-0.4284850028656944,0.0
2018-10-10,-0.3933152952411269,-0.6223460130510903,-0.16202451058411588,-0.5782906254973739,1.0,-0.42718446601941756,0.0
2018-10-11,-0.35083019220585027,-0.630696863026074,-0.09747359895330363,-0.5805115105448427,1.0,-0.45565558705336284,0.0
2018-10-12,-0.3574222961525429,-0.6242491451806672,-0.09521609216646644,-0.5667067122570311,1.0,-0.43683578227520564,0.0
2018-10-15,-0.35185925629748105,-0.632485467351521,-0.08694983545043522,-0.5670039676437119,1.0,-0.43739427306000683,0.0
2018-10-16,-0.34988150564771786,-0.6421470561078453,-0.08008371549044352,-0.567880336093072,1.0,-0.4377827706134007,0.0
2018-10-17,-0.33649519640034053,-0.6101787668734039,-0.06275082086829624,-0.574121366897726,1.0,-0.45670679800559405,0.0
2018-10-18,-0.3362517099863201,-0.6098191214470284,-0.06283629730962152,-0.5744034047727617,1.0,-0.4566651466788265,0.0
2018-10-19,-0.32884243595940066,-0.6022232962783954,-0.05512928951184146,-0.5782986950217497,1.0,-0.4562892701788303,0.0
2018-10-22,-0.32928597317868796,-0.6008215537030326,-0.0544883411864202,-0.5788329104748098,1.0,-0.45698924731182794,0.0
2018-10-23,-0.3284954039671021,-0.6022314949201741,-0.05140299951620707,-0.5822447992259313,1.0,-0.45930091920657956,0.0
2018-10-24,-0.329375509834134,-0.5998368530771322,-0.04640623583794072,-0.5842774706184477,1.0,-0.4613432429982779,0.0
2018-10-25,-0.3051575509723734,-0.5644767424755067,-0.042072435199623406,-0.5929271234811262,1.0,-0.43749448350937065,0.0
2018-10-26,-0.2993892995938404,-0.5578412178943986,-0.03611606229728545,-0.5953014054875376,1.0,-0.43339274756742546,0.0
