Date,IWF,IWM,MTUM,SPY,STLD,VLUE,VXX
2018-09-24,-0.36883098237679907,-0.7805175693621907,-0.11284591364272639,-0.6440544129787157,1.0,-0.6829977387746311,0.0
2018-09-25,-0.36991855333500767,-0.7791970148182699,-0.11477880233934913,-0.6428545800294212,1.0,-0.6812098597108105,0.0
2018-09-26,-0.3723729118016886,-0.7827195976288845,-0.1188791090353871,-0.6428597089994611,1.0,-0.6757679180887372,0.0
2018-09-27,-0.37301159826205604,-0.7802434557793817,-0.11957341376710116,-0.6425365363208732,1.0,-0.6753922941577795,0.0
2018-09-28,-0.3725673249551167,-0.7804667863554757,-0.11999999999999998,-0.6423339317773787,1.0,-0.6752603231597846,0.0
2018-10-01,-0.37438476737919885,-0.7792707023531525,-0.11977725884677565,-0.6436860068259386,1.0,-0.6755164361415484,0.0
2018-10-02,-0.37707629251456104,-0.7610555835190911,-0.1265549723160998,-0.6492413892284461,1.0,-0.6814194290644999,0.0
2018-10-03,-0.3769689994965116,-0.7501258721139322,-0.12475724663741639,-0.6545349924476732,1.0,-0.6899590016543192,0.0
2018-10-04,-0.3788864526796305,-0.7460910822759785,-0.1253729197368894,-0.6567341217066245,1.0,-0.6873584702203371,0.0
2018-10-05,-0.3678893824330133,-0.7401490184840235,-0.11409227683049147,-0.6636337584181115,1.0,-0.6963748388021206,0.0
2018-10-08,-0.36617552392532726,-0.7373220799656677,-0.11111508475788572,-0.6658322008440026,1.0,-0.6958014448179674,0.0
2018-10-09,-0.36663090128755366,-0.7374463519313305,-0.11205293276108726,-0.665379113018598,1.0,-0.6950286123032904,0.0
2018-10-10,-0.3666273289704252,-0.7373672352751851,-0.11186210349390267,-0.6655222973214605,1.0,-0.6947394771662554,0.0
2018-10-11,-0.32702051084943573,-0.7346168629232328,-0.06003004996680527,-0.6592473531569937,1.0,-0.7133023515846115,0.0
2018-10-12,-0.33075087330958397,-0.7281153806246325,-0.05568429426209663,-0.6455573617403937,1.0,-0.6985784941029987,0.0
2018-10-15,-0.31449105106765257,-0.756582129776795,-0.03189136894478612,-0.647501900352429,1.0,-0.7047543362587244,0.0
2018-10-16,-0.32636392195190056,-0.7431323955460923,-0.04932109323187545,-0.6569513770114139,1.0,-0.714719536458515,0.0
2018-10-17,-0.3109301922743807,-0.7072579248224493,-0.022553265200069287,-0.6737571453317165,1.0,-0.7498700848778798,0.0
2018-10-18,-0.30933730763898515,-0.7049424649937612,-0.023949812837931513,-0.6771107722168307,1.0,-0.7506238735616249,0.0
2018-10-19,-0.29583333333333334,-0.7003472222222222,-0.0034722222222222225,-0.702326388888889,1.0,-0.7702777777777778,0.0
2018-10-22,-0.29664988717236596,-0.6984204131227219,-0.0024995660475611876,-0.7031418156570041,1.0,-0.7709078285019962,0.0
2018-10-23,-0.30087572977481236,-0.6989505143174868,-0.010355852098971365,-0.6971087016958576,1.0,-0.7678273561301084,0.0
2018-10-24,-0.2998852213836041,-0.7016799415672499,-0.00963444749747835,-0.6983061458731871,1.0,-0.7686341344648882,0.0
2018-10-25,-0.27854129813580075,-0.6698870594638727,-0.006531500884474078,-0.6981562117294869,1.0,-0.7486732888828412,0.0
2018-10-26,-0.26992001619925077,-0.6608956835746347,-0.0,-0.7016300496102055,1.0,-0.7424319125240457,0.0
2018-10-29,-0.26322350245940307,-0.6616804797520383,-0.0,-0.7001886665319049,1.0,-0.743918873391281,0.0
2018-10-30,-0.24876980114593863,-0.6629592180653859,-0.0,-0.7018200202224468,1.0,-0.7568250758341759,0.0
2018-10-31,-0.253190420365098,-0.6439457377323732,-0.0,-0.7000502428403953,1.0,-0.7523362920783789,0.0
2018-11-01,-0.24877836535243322,-0.6467969743624071,-0.0,-0.6993774683713769,1.0,-0.7519914318227459,0.0
2018-11-02,-0.25128341889459294,-0.631975465031002,-0.0,-0.701913460897393,1.0,-0.7483832255483699,0.0
2018-11-05,-0.24507709765703223,-0.6521927775181897,-0.0,-0.705259995994927,1.0,-0.7350644149255724,0.0
