Date,IWF,IWM,MTUM,SPY,VKQ,VLUE,VXX
2018-09-24,-0.13004943196600469,-0.25331714508715636,-0.0,-0.20079784927586505,1.0,-0.15029052120371175,0.0
2018-09-25,-0.1295769270815257,-0.25375698469440877,-0.0,-0.2011418456946517,1.0,-0.15085204595148022,0.0
2018-09-26,-0.1295181245553454,-0.25372642246091376,-0.0,-0.20113137482864532,1.0,-0.15087889777716082,0.0
2018-09-27,-0.13293984897144345,-0.24881520701328014,-0.0,-0.20244770419234442,1.0,-0.1517576599253537,0.0
2018-09-28,-0.1358080579447714,-0.24858097990737196,-0.0,-0.20383396594351777,1.0,-0.1529059442142285,0.0
2018-10-01,-0.1357239889929987,-0.24896373959385557,-0.0,-0.203855933679334,1.0,-0.15307046570761781,0.0
2018-10-02,-0.1352072398821252,-0.25323894052206664,-0.0,-0.20302010497131598,1.0,-0.15222584526321295,0.0
2018-10-03,-0.13480345158197507,-0.2492634881896627,-0.0,-0.20439292251372787,1.0,-0.15478078968011852,0.0
2018-10-04,-0.13953325758237917,-0.2450310287562276,-0.0,-0.21122279521020892,1.0,-0.1523293418407482,0.0
2018-10-05,-0.13766613827582003,-0.24333269461912313,-0.0,-0.2102008465866532,1.0,-0.1507307471214312,0.0
2018-10-08,-0.13901799755373057,-0.24593744539577142,-0.0,-0.2104315918224707,1.0,-0.15196575222785252,0.0
2018-10-09,-0.14308228413329366,-0.24772794928817837,-0.0,-0.2101843907051675,1.0,-0.15010419037946313,0.0
2018-10-10,-0.14455299926462864,-0.2470147424449347,-0.0,-0.21108659873235985,1.0,-0.14822985607731906,0.0
2018-10-11,-0.13508853600924153,-0.2409869135674753,-0.0,-0.20462421765892513,1.0,-0.14346799082742806,0.0
2018-10-12,-0.14049614881063707,-0.23556016526958323,-0.0,-0.19390270858483669,1.0,-0.13036233485793958,0.0
2018-10-15,-0.13655177093228388,-0.23795630343330162,-0.0,-0.1924277378205998,1.0,-0.12937644185099742,0.0
2018-10-16,-0.13363883231500343,-0.24304141208418195,-0.0,-0.1918194161575017,1.0,-0.12871690427698576,0.0
2018-10-17,-0.12868524557098196,-0.23277977611187683,-0.0,-0.18973341849598277,1.0,-0.129643325377349,0.0
2018-10-18,-0.12910821811820902,-0.23399603054462273,-0.0,-0.18908736165775222,1.0,-0.12978100716520338,0.0
2018-10-19,-0.12372217126657217,-0.22761610939714833,-0.0,-0.1887100808805136,1.0,-0.1276077711998666,0.0
2018-10-22,-0.12378442394622274,-0.22720221514236627,-0.0,-0.18902103384430619,1.0,-0.12802121732748412,0.0
2018-10-23,-0.12531896796144032,-0.22725529111559567,-0.0,-0.18782834937207094,1.0,-0.1274037258793509,0.0
