Date,CMD,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.5114054746278213,-0.8986313430446615,-0.2857371538338403,-0.7079398111093325,-0.5982071394269249,0.0
2018-09-25,1.0,-0.5112080698102633,-0.8991674005283805,-0.2852053478504523,-0.7084300696501481,-0.5989112160755744,0.0
2018-09-26,1.0,-0.5114277708842012,-0.8994516271064323,-0.2858343673698115,-0.7082015770724093,-0.5978465356442381,0.0
2018-09-27,1.0,-0.5164518453286366,-0.8893203106236491,-0.28904811464254265,-0.7095108478104235,-0.598550956688816,0.0
2018-09-28,1.0,-0.5129085693507334,-0.9101046422366772,-0.2900892893216436,-0.7190012524746475,-0.60813704496788,0.0
2018-10-01,1.0,-0.516741568484554,-0.9098344062512653,-0.28944491679825096,-0.7227418114093689,-0.6100246973561683,0.0
2018-10-02,1.0,-0.5178723231996113,-0.899323968748735,-0.29320325466542524,-0.7249726753835567,-0.6127191029429624,0.0
2018-10-03,1.0,-0.5173571775368183,-0.8913254571937207,-0.2921589253924583,-0.7275853698009387,-0.6175756594918271,0.0
2018-10-04,1.0,-0.521969574364784,-0.8840831849813886,-0.29288719857582135,-0.7336947726169284,-0.613327399255543,0.0
2018-10-05,1.0,-0.5056343147946201,-0.8768124722323196,-0.2759400621996042,-0.7495860091279939,-0.630922088937356,0.0
2018-10-08,1.0,-0.5035272302172773,-0.8731003345829805,-0.27222155036884754,-0.7524085943483694,-0.6299028500020155,0.0
2018-10-09,1.0,-0.506457341189765,-0.8744047138590685,-0.27746387924771976,-0.7508677052223747,-0.6266446040842683,0.0
2018-10-10,1.0,-0.5064767362091925,-0.8743392114926758,-0.27734958234130985,-0.7509785722932891,-0.6262055607118358,0.0
2018-10-11,1.0,-0.45135039509376107,-0.8786806620277549,-0.20147816173290875,-0.7463930494948304,-0.6534182490073516,0.0
2018-10-12,1.0,-0.4582330564397174,-0.8698082447014983,-0.19881996739383587,-0.726457573169785,-0.6284061796444376,0.0
2018-10-15,1.0,-0.4381499301567593,-0.907729318640385,-0.16847741735216515,-0.7296678565885457,-0.6361555176160174,0.0
2018-10-16,1.0,-0.4354669464847849,-0.9239827445493762,-0.15747541875558665,-0.7318798336636742,-0.6375578096459524,0.0
2018-10-17,1.0,-0.4202050340448321,-0.8885318644327136,-0.14555122025858772,-0.7274883329508072,-0.6434855787621453,0.0
2018-10-18,1.0,-0.4201285288042231,-0.8886083696733227,-0.14539820977736975,-0.7276030908117206,-0.6434855787621453,0.0
2018-10-19,1.0,-0.40875773802742016,-0.8788120466370438,-0.13504994113402455,-0.7318749762637196,-0.6433101667236338,0.0
2018-10-22,1.0,-0.4078556748116009,-0.8868843723833448,-0.14219380376037147,-0.7282865189921596,-0.6408236279211388,0.0
2018-10-23,1.0,-0.4073721488138304,-0.8877042001447012,-0.14032215071779444,-0.730322531510605,-0.6422070751304215,0.0
2018-10-24,1.0,-0.4090978302245908,-0.8845451084887704,-0.13201370384468977,-0.7341454130186525,-0.6468214693566806,0.0
2018-10-25,1.0,-0.3750599874487799,-0.8360958322566354,-0.1263612536453911,-0.740817305917531,-0.613200930266898,0.0
2018-10-26,1.0,-0.3619131262121711,-0.8268013320159548,-0.10520730413144509,-0.7563581805540308,-0.6091411424598382,0.0
2018-10-29,1.0,-0.3443232794777344,-0.8426638462380102,-0.08873408949998177,-0.7513038404026405,-0.6200809657536746,0.0
2018-10-30,1.0,-0.34470056167481217,-0.8426216354219856,-0.08895616018673864,-0.7512582974688161,-0.6197023852943323,0.0
2018-10-31,1.0,-0.3486275077859057,-0.8198739769682045,-0.09111320344752662,-0.7482074310132542,-0.613493155645687,0.0
