Date,ALGT,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.754265691651432,-1.2218159658744667,-0.08109892342067845,-1.0821653463335366,-0.9388076376193378,0.0
2018-09-25,1.0,-0.7540392236561324,-1.222995630525353,-0.08037801036480033,-1.0831724418250177,-0.9401483589066153,0.0
2018-09-26,1.0,-0.7565230659681603,-1.2266415746910126,-0.08432938304257159,-1.0833630028991403,-0.9353542546157367,0.0
2018-09-27,1.0,-0.760825371010368,-1.215236836755438,-0.08767025818255744,-1.083553567798333,-0.9350477739377923,0.0
2018-09-28,1.0,-0.7591849179328218,-1.2160170740383152,-0.08852075816860613,-1.0829818588342903,-0.9348544133340109,0.0
2018-10-01,1.0,-0.7620961587382346,-1.2154668023403714,-0.08837445942508268,-1.0856270669040955,-0.9360976850674128,0.0
2018-10-02,1.0,-0.7621954321176052,-1.2126761279820948,-0.0900859657154484,-1.0854570425759196,-0.9363141563660411,0.0
2018-10-03,1.0,-0.7648079179633692,-1.2241722361104026,-0.09208713841130554,-1.0859650017856233,-0.9347482271312688,0.0
2018-10-04,1.0,-0.7660940924613894,-1.2191752892604109,-0.09312401243692339,-1.0871094347316377,-0.9316478923492533,0.0
2018-10-05,1.0,-0.7490743089018514,-1.20841998478316,-0.07156987065686025,-1.0989094598021811,-0.9443063657113873,0.0
2018-10-08,1.0,-0.7459032975925551,-1.2025591745903297,-0.06706453570706049,-1.100293344123002,-0.9417863645559376,0.0
2018-10-09,1.0,-0.7455621301775148,-1.2028523744500077,-0.06564507156223133,-1.1009457340818287,-0.9423961968340667,0.0
2018-10-10,1.0,-0.7466889091092913,-1.2011424527348094,-0.06677787887978971,-1.1014053179658274,-0.9390860378121524,0.0
2018-10-11,1.0,-0.6652735931577413,-1.1771309165127808,-0.0,-1.071289726892798,-0.9458159199144718,0.0
2018-10-12,1.0,-0.7064808021521155,-1.2008804108584006,-0.0,-1.060454878943507,-0.9233553436047934,0.0
2018-10-15,1.0,-0.6811714257869603,-1.2187408634635999,-0.0,-1.052918818828574,-0.919988305233408,0.0
2018-10-16,1.0,-0.6711041503523884,-1.2466229444009396,-0.0,-1.0547670321064997,-0.9217404072043852,0.0
