Date,DDOG,IWF,IWM,MTUM,SPY,VLUE,VXX
2020-05-18,1.0,-0.8160430529798918,-0.28111705028908046,-0.7820442892985711,-0.756990654885277,-0.0,0.0
2020-05-19,1.0,-0.8273660536148293,-0.22730075815286388,-0.8219247651177132,-0.7509340878586716,-0.0,0.0
2020-05-20,1.0,-0.8361025268133067,-0.2142883112161425,-0.8324668242137793,-0.7528449372841302,-0.0,0.0
2020-05-21,1.0,-0.8358089704013075,-0.2015616488106047,-0.8413292173597241,-0.7530415834392592,-0.0,0.0
2020-05-22,1.0,-0.8357601946330657,-0.2016413086894949,-0.8409891426703946,-0.752823268818766,-0.0,0.0
2020-05-26,1.0,-0.8376391820100428,-0.20402445236882322,-0.8440069863910923,-0.7530747398297067,-0.0,0.0
2020-05-27,1.0,-0.8478950246036085,-0.1841443411700383,-0.8658647712775652,-0.7470749043193002,-0.0,0.0
2020-05-28,1.0,-0.8770377441621384,-0.14884711411367307,-0.8903289763548246,-0.7553972683213395,-0.0,0.0
2020-05-29,1.0,-0.8778866982413628,-0.14663876344678195,-0.8911040129235966,-0.7558468260087381,-0.0,0.0
2020-06-01,1.0,-0.8821557503867974,-0.13851027775731234,-0.9049583732409932,-0.7581227436823106,-0.0,0.0
2020-06-02,1.0,-0.8839895206818937,-0.1345706800487067,-0.9070514003173316,-0.7642891406221174,-0.0,0.0
2020-06-03,1.0,-0.8840178604376545,-0.13487582567622422,-0.9066755230820325,-0.7646038599210303,-0.0,0.0
2020-06-04,1.0,-0.8842008121077889,-0.13669250645994835,-0.904577334809893,-0.7658914728682171,-0.0,0.0
2020-06-05,1.0,-0.8832582859673728,-0.13752122241086587,-0.9038163431017937,-0.7662582121502916,-0.0,0.0
2020-06-08,1.0,-0.8851745258652498,-0.1123902295033577,-0.9315917644454283,-0.7606080732049295,-0.0,0.0
2020-06-09,1.0,-0.8863619472315125,-0.12467484206614643,-0.9335562987736901,-0.7715347454477889,-0.0,0.0
2020-06-10,1.0,-0.8839262432482771,-0.13373067610355746,-0.9278822872043211,-0.779549264295027,-0.0,0.0
2020-06-11,1.0,-0.8974982237014323,-0.10971915784750011,-0.9545267566657941,-0.7778317938745747,-0.0,0.0
2020-06-12,1.0,-0.884106570365184,-0.06964660795224233,-0.9730257581899252,-0.7582267752515016,-0.0,0.0
2020-06-15,1.0,-0.884405630481244,-0.06861227798658708,-0.9735426339450217,-0.7583462303780677,-0.0,0.0
2020-06-16,1.0,-0.8839361427570696,-0.0706780223426612,-0.9748552888692252,-0.7574752055451092,-0.0,0.0
2020-06-17,1.0,-0.8820324005891016,-0.06597938144329896,-0.9759572901325477,-0.7579528718703976,-0.0,0.0
2020-06-18,1.0,-0.8832756462184256,-0.06307533691729877,-0.9777597761248987,-0.758045511451506,-0.0,0.0
2020-06-19,1.0,-0.8867896678966789,-0.06332103321033211,-0.9791143911439114,-0.7608118081180811,-0.0,0.0
2020-06-22,1.0,-0.8869741697416974,-0.06332103321033211,-0.9784870848708487,-0.7612546125461255,-0.0,0.0
2020-06-23,1.0,-0.8867980222861782,-0.06324256512434506,-0.9784148771308392,-0.7613460261235333,-0.0,0.0
2020-06-24,1.0,-0.8859904807585877,-0.06353540198502011,-0.9789691178098366,-0.7611334538611962,-0.0,0.0
2020-06-25,1.0,-0.8832229580573951,-0.05356880058866814,-0.9852465047829285,-0.7571376011773363,-0.0,0.0
2020-06-26,1.0,-0.8834344548630262,-0.051700680272108834,-0.9844088986946129,-0.7576392719249861,-0.0,0.0
2020-06-29,1.0,-0.8847865259441768,-0.04824771080792851,-0.9859890412973927,-0.7583937042621263,-0.0,0.0
2020-06-30,1.0,-0.8920072093279876,-0.032000588516570415,-0.9944826571523154,-0.7597381101261633,-0.0,0.0
2020-07-01,1.0,-0.8909144369303147,-0.031608350485151426,-0.99231843575419,-0.7605483681270215,-0.0,0.0
2020-07-02,1.0,-0.8891460905349794,-0.034207818930041156,-0.9909244562022339,-0.7599941211052321,-0.0,0.0
2020-07-06,1.0,-0.890105448800382,-0.034757688209574894,-0.9895653451886688,-0.7597824888856229,-0.0,0.0
2020-07-07,1.0,-0.881335390039665,-0.04649625385632437,-0.9830321727633318,-0.7618260614073747,-0.0,0.0
2020-07-08,1.0,-0.8822622107969152,-0.0413147264047007,-0.9879177377892032,-0.7609254498714653,-0.0,0.0
2020-07-09,1.0,-0.8901499797324686,-0.040387662600877026,-0.9923351881195415,-0.762132881305966,-0.0,0.0
2020-07-10,1.0,-0.8885203611571771,-0.043154597383453105,-0.9903814262023217,-0.7631840796019901,-0.0,0.0
2020-07-13,1.0,-0.8921807060210775,-0.04038617436804481,-0.9907141277912889,-0.7615889159112683,-0.0,0.0
2020-07-14,1.0,-0.9164000297641193,-0.033707865168539325,-1.0122032889351886,-0.7582037353969789,-0.0,0.0
2020-07-15,1.0,-0.9171841880182962,-0.03216689598750511,-1.0116767691792794,-0.7576884459484586,-0.0,0.0
2020-07-16,1.0,-0.922006917841336,-0.02075352400788485,-1.0160300516978464,-0.760441849220813,-0.0,0.0
2020-07-17,1.0,-0.9260252542183485,-0.0213804149439416,-1.0170968823332218,-0.7602711662383135,-0.0,0.0
2020-07-20,1.0,-0.9258541674429002,-0.021647602369685905,-1.0180334587726814,-0.760386005439845,-0.0,0.0
2020-07-21,1.0,-0.9255616407734437,-0.021906784397004584,-1.0178085764315785,-0.7604038597667748,-0.0,0.0
2020-07-22,1.0,-0.9257451564828613,-0.021870342771982115,-1.0178837555886735,-0.7602831594634872,-0.0,0.0
2020-07-23,1.0,-0.9251789442290487,-0.024530271398747392,-1.0190501043841336,-0.7592081717864599,-0.0,0.0
2020-07-24,1.0,-0.9254799627213421,-0.023671947809878843,-1.0194221808014912,-0.7593289841565705,-0.0,0.0
2020-07-27,1.0,-0.9267720056644554,-0.021763434448833566,-1.0172914958634567,-0.7607512856823432,-0.0,0.0
2020-07-28,1.0,-0.9263357925329756,-0.021797451374916163,-1.0168045308890379,-0.7611222892913034,-0.0,0.0
