Date,BTAI,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-11-05,1.0,-1.268400475947646,-4.20652728199898,-0.0,-5.8531361550229475,-4.670066292707802,0.0
2018-11-06,1.0,-1.3200617813626223,-4.297580229963961,-0.0,-5.879869572678908,-4.663806418397117,0.0
2018-11-07,1.0,-1.3009227614490773,-4.282125768967874,-0.0,-5.8612440191387565,-4.643882433356118,0.0
2018-11-08,1.0,-1.0739766562551372,-4.183133322373829,-0.0,-5.633240177543974,-4.548742396843663,0.0
2018-11-09,1.0,-1.0573988055739882,-4.227936297279363,-0.0,-5.70836098208361,-4.595388188453882,0.0
2018-11-12,1.0,-1.0536649214659686,-4.0611910994764395,-0.0,-5.716950261780105,-4.529450261780104,0.0
2018-11-13,1.0,-0.8775122645988289,-3.9416046842854886,-0.0,-5.61560373476816,-4.390409874980219,0.0
2018-11-14,1.0,-0.8834414043966472,-3.9356318203384473,-0.0,-5.611418630396964,-4.384943855764669,0.0
2018-11-15,1.0,-0.8709019607843137,-3.9138823529411764,-0.0,-5.595450980392157,-4.306039215686274,0.0
2018-11-16,1.0,-0.8292305310419571,-3.8335655674252984,-0.0,-5.544666357021211,-4.274965164886205,0.0
2018-11-19,1.0,-0.8401671050595698,-3.8280984063128574,-0.0,-5.534272009902521,-4.270153179637939,0.0
2018-11-20,1.0,-0.5439669674262119,-3.7603609114543506,-0.0,-5.563083040220216,-4.425294387521028,0.0
2018-11-21,1.0,-0.5765792173530705,-3.602374322145684,-0.0,-5.377399970687381,-4.099956031071376,0.0
2018-11-23,1.0,-0.5792851932895697,-3.5323121808898614,-0.0,-5.385557986870897,-4.090882567469001,0.0
2018-11-26,1.0,-0.5726968417988649,-3.5392228205501386,-0.0,-5.368941929850095,-4.072915150633095,0.0
2018-11-27,1.0,-0.5082769540808982,-3.5588023607312507,-0.0,-5.311933208579243,-4.015690225996833,0.0
2018-11-28,1.0,-0.5016592122348869,-3.5981820805078635,-0.0,-5.3102005482614345,-4.018034915596595,0.0
2018-11-29,1.0,-0.24733352551167487,-3.5980109541654657,-0.0,-5.400547708273278,-4.16733929086192,0.0
2018-11-30,1.0,-0.24809215262778977,-3.5962562994960408,-0.0,-5.400863930885529,-4.1537796976241905,0.0
2018-12-03,1.0,-0.2354630294328787,-3.5910983488872934,-0.0,-5.389949748743718,-4.1411342426417805,0.0
