Date,IWF,IWM,LEG,MTUM,SPY,VLUE,VXX
2018-09-24,-0.3105118143107623,-0.5736828922100693,1.0,-0.014277364949486514,-0.4329965767721466,-0.4516434276808327,0.0
2018-09-25,-0.3090035209299726,-0.5797239143799251,1.0,-0.00927737103895378,-0.4382160621472084,-0.4581679986586933,0.0
2018-09-26,-0.3088144877312615,-0.5795930914985188,1.0,-0.008635626851489575,-0.438488625565927,-0.45916941478955897,0.0
2018-09-27,-0.3094865634951673,-0.5774065590256439,1.0,-0.00927426113190681,-0.438348511090005,-0.4589641879434605,0.0
2018-09-28,-0.3061121683644912,-0.5826709951863875,1.0,-0.01001903056084182,-0.4395219970894436,-0.46028769730213814,0.0
2018-10-01,-0.3063166438106966,-0.5823794464190758,1.0,-0.010187232375248384,-0.4395622848506899,-0.4602446055246145,0.0
2018-10-02,-0.3064759879099966,-0.5808239113399754,1.0,-0.011082503078473076,-0.4397738721594089,-0.4604556140154483,0.0
2018-10-03,-0.3071792859945076,-0.5857479123465784,1.0,-0.011909432270358124,-0.43893964019503445,-0.4584150647312672,0.0
2018-10-04,-0.3073388068484322,-0.5853111777397932,1.0,-0.012273376859920979,-0.4390394261215569,-0.4581780480286939,0.0
2018-10-05,-0.30665845326762614,-0.5869126953015623,1.0,-0.0080640645125161,-0.43965951727613817,-0.4587556700453604,0.0
2018-10-08,-0.30625437246397086,-0.5863998880649223,1.0,-0.007163844969917448,-0.43998880649223454,-0.45859801315237164,0.0
2018-10-09,-0.30292154993551285,-0.5886839006336567,1.0,-0.0,-0.4458027252845848,-0.4663825492065272,0.0
2018-10-10,-0.3026569007611662,-0.6157977883096366,1.0,-0.0,-0.45934223754128967,-0.49452822059457124,0.0
2018-10-11,-0.2482452692458869,-0.6106743781234207,1.0,-0.0,-0.4421359986523668,-0.5065416362513336,0.0
2018-10-12,-0.2486844669655038,-0.6069549238522148,1.0,-0.0,-0.43188462288053014,-0.4966728847064064,0.0
2018-10-15,-0.22700989658623374,-0.6276826420549316,1.0,-0.0,-0.42761036361614596,-0.4976370510396976,0.0
2018-10-16,-0.22493398193189715,-0.6309103544127866,1.0,-0.0,-0.42693537178596247,-0.49692842251563585,0.0
2018-10-17,-0.21372996453413248,-0.6105077942429824,1.0,-0.0,-0.42388584939378116,-0.5011684491243505,0.0
2018-10-18,-0.21445670417962193,-0.612745232919682,1.0,-0.0,-0.42285997303469725,-0.5014996010235809,0.0
