Date,IWF,IWM,KEP,MTUM,SPY,VLUE,VXX
2018-09-24,-0.4473857826158667,-0.921326076199901,1.0,-0.0,-0.9150585518720106,-0.8396420913739073,0.0
2018-09-25,-0.4472305852270384,-0.921681032705077,1.0,-0.0,-0.9152884892976451,-0.8400626881676084,0.0
2018-09-26,-0.4492305153278046,-0.9237941989520154,1.0,-0.0,-0.9156248710649008,-0.8372323307340017,0.0
2018-09-27,-0.4538296644405969,-0.9146673262428889,1.0,-0.0,-0.9163987138263666,-0.8374556847225658,0.0
2018-09-28,-0.4691435243098991,-0.9236093736969394,1.0,-0.0,-0.928863314152281,-0.8482194979568008,0.0
2018-10-01,-0.4690667890367527,-0.9249926995119102,1.0,-0.0,-0.9288723874681907,-0.848733886779859,0.0
2018-10-02,-0.4693954187007135,-0.9262319021988568,1.0,-0.0,-0.9283598280969667,-0.8483748487503652,0.0
2018-10-03,-0.47098148999289685,-0.9318096352316886,1.0,-0.0,-0.9282998370450842,-0.8471984289474784,0.0
2018-10-04,-0.4823608372834431,-0.9248710096900038,1.0,-0.0,-0.9439154326943244,-0.8436595494777466,0.0
2018-10-05,-0.4896674132612095,-0.9399907027849385,1.0,-0.0,-0.9503444195579597,-0.8460043105269831,0.0
2018-10-08,-0.48509884921805846,-0.9339881128019222,1.0,-0.0,-0.9525355140580871,-0.8436959912321376,0.0
2018-10-09,-0.4935932676449444,-0.9394426354294413,1.0,-0.0,-0.9539476466359369,-0.8418826912504758,0.0
2018-10-10,-0.49581430745814303,-0.9380602063250465,1.0,-0.0,-0.9555217317774395,-0.8386182986639608,0.0
2018-10-11,-0.4400294936916271,-0.9062346387022776,1.0,-0.0,-0.9244633786662296,-0.8256185482549566,0.0
2018-10-12,-0.4384180790960452,-0.8905972558514932,1.0,-0.0,-0.9047619047619049,-0.8017352703793382,0.0
2018-10-15,-0.4336693548387097,-0.8925806451612903,1.0,-0.0,-0.9047177419354839,-0.8012903225806453,0.0
2018-10-16,-0.42276620793244835,-0.9249380911785003,1.0,-0.0,-0.9078066009012301,-0.804043356473024,0.0
2018-10-17,-0.3922506577373834,-0.8703659411624013,1.0,-0.0,-0.9040899306386031,-0.8195407797177707,0.0
2018-10-18,-0.39123324824505423,-0.8684189534141672,1.0,-0.0,-0.9081046585832802,-0.8207562220804084,0.0
2018-10-19,-0.3661245854477165,-0.8600311663403524,1.0,-0.0,-0.9319534902305511,-0.8375754185479682,0.0
2018-10-22,-0.37455989519364613,-0.8557684434618849,1.0,-0.0,-0.980430688610497,-0.8832391713747645,0.0
2018-10-23,-0.38266289416492394,-0.8586542010087341,1.0,-0.0,-0.9769139295526306,-0.8822733423545331,0.0
2018-10-24,-0.38590089156126894,-0.8812772133526849,1.0,-0.0,-0.9890524569769853,-0.8905245697698527,0.0
2018-10-25,-0.3358111247201926,-0.8744351057988765,1.0,-0.0,-1.1072348692824259,-0.906026945981332,0.0
2018-10-26,-0.32601252609603343,-0.8574530271398747,1.0,-0.0,-1.0991231732776616,-0.8928183716075156,0.0
