Date,IWF,IWM,MTUM,SPY,VAC,VLUE,VXX
2018-09-24,-0.2730227136246423,-1.036737433325091,-0.009396305061994419,-0.5821470203822106,1.0,-0.6311420396340386,0.0
2018-09-25,-0.27248621128553246,-1.0383962664403905,-0.007848960543063218,-0.5836868901145524,1.0,-0.6331494838070995,0.0
2018-09-26,-0.27478051543472104,-1.041702067403002,-0.011576040781648258,-0.5837935429056924,1.0,-0.628256867742849,0.0
2018-09-27,-0.2770232031692133,-1.035123089983022,-0.013440860215053762,-0.583616298811545,1.0,-0.6278296547821165,0.0
2018-09-28,-0.2762128043282236,-1.0687466185752932,-0.014679891794409377,-0.6021280432822362,1.0,-0.6451217312894499,0.0
2018-10-01,-0.2762688020776973,-1.0686433647152185,-0.01500559102550229,-0.6020632687660066,1.0,-0.6450961295675072,0.0
2018-10-02,-0.27682900354584267,-1.0866198711918371,-0.010637528041102828,-0.6008756060496417,1.0,-0.643208625805051,0.0
2018-10-03,-0.2764880306646416,-1.0804223620452738,-0.010052795255659218,-0.6026252983293555,1.0,-0.646524915021335,0.0
2018-10-04,-0.28258115884332813,-1.0727443813108466,-0.010929752813868482,-0.6107632731352466,1.0,-0.6421048821975317,0.0
2018-10-05,-0.28561049151741924,-1.0851890870781413,-0.00788316925200712,-0.6121989319577142,1.0,-0.641951538489483,0.0
2018-10-08,-0.28365785561477935,-1.0825265600638168,-0.005003807244642663,-0.6137640958700461,1.0,-0.6409949599332826,0.0
2018-10-09,-0.2829224075416969,-1.082994923857868,-0.003299492385786802,-0.6145395213923133,1.0,-0.6420594633792603,0.0
2018-10-10,-0.28243914825697386,-1.084521347988537,-0.002103964885551565,-0.6148656001741212,1.0,-0.6436318786955417,0.0
2018-10-11,-0.23565704559960288,-1.0779022764342954,-0.0,-0.592688461811219,1.0,-0.6395645698886604,0.0
2018-10-12,-0.23885562208915506,-1.0746226844556501,-0.0,-0.5715586371117415,1.0,-0.6167314493819379,0.0
2018-10-15,-0.21945511701012924,-1.0911281872162069,-0.0,-0.5664687390848759,1.0,-0.6158225637443241,0.0
2018-10-16,-0.21802751973178738,-1.0931759446811484,-0.0,-0.5659006775162394,1.0,-0.6152476077390515,0.0
2018-10-17,-0.20093602670429125,-1.0626656113424413,-0.0,-0.5591727175745895,1.0,-0.6184658797618637,0.0
2018-10-18,-0.20143240823634737,-1.0646649679774118,-0.0,-0.5583981819433923,1.0,-0.6187934715239998,0.0
2018-10-19,-0.19060839760068551,-1.063650385604113,-0.0,-0.5565038560411311,1.0,-0.6167952013710368,0.0
2018-10-22,-0.1916746673981621,-1.0647030585653545,-0.0,-0.5560965573995337,1.0,-0.6164106432588122,0.0
2018-10-23,-0.19190810903480196,-1.0647008400480027,-0.0,-0.5558717641008056,1.0,-0.61628664495114,0.0
2018-10-24,-0.19051543559630507,-1.0702585762851549,-0.0,-0.5567459908656982,1.0,-0.6164280072799697,0.0
2018-10-25,-0.15806333210984685,-1.0319329974306783,-0.0,-0.559211184891054,1.0,-0.5876071941005706,0.0
2018-10-26,-0.15165279665793577,-1.0230761579523227,-0.0,-0.5588674115579721,1.0,-0.5819435695102948,0.0
2018-10-29,-0.13096574031289193,-1.0336325830087794,-0.0,-0.549079147138425,1.0,-0.5868704204898012,0.0
2018-10-30,-0.13501106377357244,-1.034083027841078,-0.0,-0.5494236929885399,1.0,-0.5841011922454507,0.0
2018-10-31,-0.136611662612583,-1.0235027282887383,-0.0,-0.5466767470909211,1.0,-0.5803365985142331,0.0
2018-11-01,-0.14295122995356802,-1.0202522475055158,-0.0,-0.548358415385122,1.0,-0.5814864820364211,0.0
2018-11-02,-0.14453624641338542,-1.1116603864901302,-0.0,-0.5736854841497562,1.0,-0.6270957928578836,0.0
2018-11-05,-0.13928954377226663,-1.1280827366746222,-0.0,-0.5759745425616548,1.0,-0.6155096676005672,0.0
2018-11-06,-0.1450117614501176,-1.1324546838245468,-0.0,-0.5722983257229832,1.0,-0.6094852635948527,0.0
2018-11-07,-0.14416222575956814,-1.1344383694373312,-0.0,-0.5715620458163195,1.0,-0.6102844487507786,0.0
2018-11-08,-0.08981256813306607,-1.1772338854309525,-0.0,-0.5892323381510004,1.0,-0.6602665541372156,0.0
2018-11-09,-0.09741416156147599,-1.190767915657501,-0.0,-0.5995512181222397,1.0,-0.6739920216555065,0.0
2018-11-12,-0.10177329497869861,-1.232822342788479,-0.0,-0.6111495466627827,1.0,-0.6955176055055894,0.0
