Date,AON,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.20689494958881197,-0.27168610323839615,-0.1435208846350416,-0.3823816382474562,-0.3185894159736096,0.0
2018-09-25,1.0,-0.2060848529959062,-0.2735857834015631,-0.1415612206922218,-0.3840016747301823,-0.3208038704875325,0.0
2018-09-26,1.0,-0.20669520308937792,-0.27436839901363236,-0.14288372958637696,-0.38368305960080024,-0.3187084166938073,0.0
2018-09-27,1.0,-0.20627604348534578,-0.27627627627627627,-0.1424447703517471,-0.38391880252345373,-0.31899341201666787,0.0
2018-09-28,1.0,-0.20739688380650723,-0.275892586813238,-0.14239467126254746,-0.38412092134988474,-0.3191885786151804,0.0
2018-10-01,1.0,-0.2105373782666573,-0.27564866064130406,-0.1415493122212102,-0.3871412223545622,-0.32053527639599244,0.0
2018-10-02,1.0,-0.21153307174887892,-0.26742339312406577,-0.1444786995515695,-0.3892002989536622,-0.3229400224215247,0.0
2018-10-03,1.0,-0.21150789941104983,-0.25920818921192856,-0.1428671590165467,-0.39359166121342437,-0.32990558100401984,0.0
2018-10-04,1.0,-0.2119739209683827,-0.25847685369102424,-0.14303741266094924,-0.393966302900007,-0.32937629986212696,0.0
2018-10-05,1.0,-0.20277603111390577,-0.25158946412352406,-0.13530822795127972,-0.40147651319313443,-0.33775821514241133,0.0
2018-10-08,1.0,-0.20302486541912332,-0.2522896227074643,-0.13558295075854676,-0.4014122253035352,-0.33807182307566824,0.0
2018-10-09,1.0,-0.20153864086723394,-0.25287329525585733,-0.13157710688891477,-0.4038932276489101,-0.3413917706026343,0.0
2018-10-10,1.0,-0.2029701816147157,-0.2516494532907467,-0.13321520994101604,-0.40486792716760317,-0.338656657263423,0.0
2018-10-11,1.0,-0.19651827673218045,-0.2469615945551774,-0.12653656503923882,-0.40576891913790303,-0.33919022154316275,0.0
2018-10-12,1.0,-0.19647500057522835,-0.24201007800096638,-0.12567589332965187,-0.40272888336669654,-0.3340236073721267,0.0
2018-10-15,1.0,-0.18298322711271656,-0.26689367968156824,-0.10590617306674643,-0.4053332719784644,-0.3396452154706302,0.0
2018-10-16,1.0,-0.18279495674581264,-0.26771581078593776,-0.10532854776366649,-0.4053239462543714,-0.33961439352107486,0.0
2018-10-17,1.0,-0.1776261750479146,-0.25508807155243224,-0.10125946883270968,-0.40480971068723187,-0.3428630099479784,0.0
2018-10-18,1.0,-0.17673633293784796,-0.25371908369079127,-0.10198959569225152,-0.40620151501323354,-0.34299990873414254,0.0
2018-10-19,1.0,-0.17068910765322326,-0.2463367055301003,-0.09787687701311075,-0.4096311754298417,-0.34375992378532866,0.0
2018-10-22,1.0,-0.1747102931152011,-0.23965007952738013,-0.08754828448079982,-0.41872301749602364,-0.3515791865485117,0.0
2018-10-23,1.0,-0.17564743298500682,-0.23927760109041343,-0.08984552476147206,-0.4165833711949114,-0.35034075420263516,0.0
2018-10-24,1.0,-0.174823743461451,-0.24134637252672278,-0.09101660222879236,-0.41717079827154885,-0.34989765749374574,0.0
2018-10-25,1.0,-0.16234810578984987,-0.2220112580414582,-0.09022069335239456,-0.4208809864188706,-0.33827734095782697,0.0
2018-10-26,1.0,-0.1620795107033639,-0.22163441148239918,-0.08997968704658586,-0.4207236768677872,-0.3377977186990781,0.0
2018-10-29,1.0,-0.14654651968785637,-0.24119580529034276,-0.07363101759720948,-0.42014176150973775,-0.3544261342038772,0.0
2018-10-30,1.0,-0.130460209636061,-0.2493364523820235,-0.059404381663592604,-0.42991137703000587,-0.3802240316703406,0.0
2018-10-31,1.0,-0.1303339935181851,-0.25029258192293846,-0.059191573640619374,-0.4302304645300684,-0.38060406913935907,0.0
2018-11-01,1.0,-0.11549588644787993,-0.2777099719736009,-0.03840068709881566,-0.43960763041316336,-0.38897929662779135,0.0
2018-11-02,1.0,-0.12285797923844266,-0.25823594316467385,-0.03305636244905312,-0.4498637663536671,-0.38775923799229883,0.0
2018-11-05,1.0,-0.11999819856335427,-0.26683780314801053,-0.032853700826409066,-0.4509221103830305,-0.3811839942354028,0.0
2018-11-06,1.0,-0.11681811007643571,-0.2651574936303578,-0.034452436247209756,-0.45338323825843835,-0.38492931388243784,0.0
2018-11-07,1.0,-0.11704214870441784,-0.26527298558960827,-0.034142931240556576,-0.45362289425613966,-0.3850889655638996,0.0
2018-11-08,1.0,-0.11394312966795644,-0.26491496445604246,-0.031517142085845405,-0.4531854584720597,-0.38605687033204356,0.0
