Date,IWF,IWM,MTUM,SPY,TBK,VLUE,VXX
2018-09-24,-0.2984327888406613,-0.9770716676054471,-0.03614857029256817,-0.4866306616745634,1.0,-0.5150260097412279,0.0
2018-09-25,-0.30103359173126615,-0.9750546611011726,-0.04008480752666799,-0.48479427549194987,1.0,-0.5118266746173723,0.0
2018-09-26,-0.30609492988133763,-0.9898530204962244,-0.02828344120819849,-0.5042475728155339,1.0,-0.5426105717367853,0.0
2018-09-27,-0.3056475038843478,-0.9950010133081133,-0.027426872931162603,-0.5056407484969263,1.0,-0.5439775721137607,0.0
2018-09-28,-0.3021392190152802,-1.0062478777589134,-0.02835314091680815,-0.5102886247877759,1.0,-0.5485568760611206,0.0
2018-10-01,-0.30539961212616107,-1.0057500595420366,-0.02783164914429587,-0.5134565002892041,1.0,-0.549998298798952,0.0
2018-10-02,-0.30568534497459154,-1.0192012550731557,-0.024555779134408783,-0.5125336789331878,1.0,-0.548548821663654,0.0
2018-10-03,-0.3067937288656625,-1.0243194316357551,-0.025514909314478945,-0.5121426375653243,1.0,-0.5468798032585307,0.0
2018-10-04,-0.308602038331768,-1.0570454624508678,-0.024522592090159657,-0.5176875717416257,1.0,-0.570489408327246,0.0
2018-10-05,-0.29472481036334036,-1.0530636278618684,-0.010668144504866474,-0.5247133802085138,1.0,-0.5804786810294066,0.0
2018-10-08,-0.2926938902527575,-1.0500328481034542,-0.006327582033816258,-0.5285778500051865,1.0,-0.5800975070018325,0.0
2018-10-09,-0.29424993080542483,-1.0508580127318017,-0.009306670357044007,-0.5273318571823968,1.0,-0.5779476889011901,0.0
2018-10-10,-0.295562242744976,-1.0497042648127013,-0.010826329078897306,-0.5280343121995088,1.0,-0.574798519594618,0.0
2018-10-11,-0.2267015180456419,-1.0442679534868133,-0.0,-0.49944706946818135,1.0,-0.5806775912335377,0.0
2018-10-12,-0.22326460253265265,-1.0416694291586555,-0.0,-0.4841211960485315,1.0,-0.5659351587880396,0.0
2018-10-15,-0.1812091721103853,-1.0950873216904413,-0.0,-0.4823023596853753,1.0,-0.5742900946540461,0.0
2018-10-16,-0.17172157243875466,-1.1200777505948591,-0.0,-0.4840309661851939,1.0,-0.5755219678943664,0.0
2018-10-17,-0.15270092226613965,-1.0855072463768116,-0.0,-0.47635046113306984,1.0,-0.5792819499341239,0.0
2018-10-18,-0.15196627363151308,-1.0843488571240367,-0.0,-0.4777682629602793,1.0,-0.5795072788353863,0.0
2018-10-19,-0.1375580103274724,-1.0790574547356038,-0.0,-0.4748349565331068,1.0,-0.576704359762076,0.0
2018-10-22,-0.13872265280094181,-1.0807089832891854,-0.0,-0.47447594754570127,1.0,-0.5762778377317767,0.0
2018-10-23,-0.13195917285259812,-1.0939156945917285,-0.0,-0.49552624602332984,1.0,-0.5924575821845175,0.0
2018-10-24,-0.12938567456639746,-1.0910234343969285,-0.0,-0.4953991791341189,1.0,-0.5941678803124586,0.0
2018-10-25,-0.10336175004021231,-1.057069326041499,-0.0,-0.48930352259932447,1.0,-0.5672189158758243,0.0
2018-10-26,-0.10112467557435355,-1.0507866320612644,-0.0,-0.48857701304111,1.0,-0.5637476368996124,0.0
2018-10-29,-0.07917982078510158,-1.0625338818202112,-0.0,-0.4778532478714245,1.0,-0.5693102458624318,0.0
2018-10-30,-0.03877882429360181,-1.0838259175056837,-0.0,-0.5007145177005521,1.0,-0.6244884702825593,0.0
2018-10-31,-0.04223762695469934,-1.065613412864743,-0.0,-0.4973722392390779,1.0,-0.6190230533612768,0.0
2018-11-01,-0.029329384115128296,-1.0749814880396638,-0.0,-0.4963780947168475,1.0,-0.6188145906442162,0.0
