Date,IWF,IWM,MTUM,NEV,SPY,VLUE,VXX
2018-09-24,-0.11762531681216559,-0.2763306110954661,-0.0,1.0,-0.19876443255421009,-0.16734722613348352,0.0
2018-09-25,-0.11811286888274938,-0.27606595456385163,-0.0,1.0,-0.19856758231122526,-0.1669804846287856,0.0
2018-09-26,-0.11777543118620203,-0.27583597324885606,-0.0,1.0,-0.19866244280183032,-0.16768743400211192,0.0
2018-09-27,-0.11949276254462951,-0.2725082223824683,-0.0,1.0,-0.19897286174085863,-0.16780695428882986,0.0
2018-09-28,-0.11998099729035437,-0.2723897666889538,-0.0,1.0,-0.19915895414716545,-0.16798043424710563,0.0
2018-10-01,-0.12075279039470442,-0.2718390197528256,-0.0,1.0,-0.1997816978275413,-0.16812788282102745,0.0
2018-10-02,-0.12280238170736002,-0.26468308494521364,-0.0,1.0,-0.20285029771342,-0.17128210548567802,0.0
2018-10-03,-0.12235120043684274,-0.25985098025400294,-0.0,1.0,-0.20469958253333564,-0.17454334079019215,0.0
2018-10-04,-0.1263013021844232,-0.25579630871299003,-0.0,1.0,-0.21025514345202384,-0.17214242862688356,0.0
2018-10-05,-0.13116148815115475,-0.2616139952852763,-0.0,1.0,-0.20982293199099594,-0.1698541271557454,0.0
2018-10-08,-0.13549081129538323,-0.2703182429403855,-0.0,1.0,-0.21238906320035858,-0.17473778574630214,0.0
2018-10-09,-0.1331886734931765,-0.27019708408801535,-0.0,1.0,-0.21336728655201478,-0.17653282642612486,0.0
2018-10-10,-0.1335161585201914,-0.2697388467673998,-0.0,1.0,-0.21343944363786274,-0.1757093438009715,0.0
2018-10-11,-0.09373368146214099,-0.26355091383812007,-0.0,1.0,-0.20029590948651002,-0.18306353350739774,0.0
2018-10-12,-0.10698655965127744,-0.2646209198941378,-0.0,1.0,-0.18923734237428863,-0.16892978844856515,0.0
2018-10-15,-0.10113657922422861,-0.26841551542746755,-0.0,1.0,-0.18716476086994013,-0.167986064400407,0.0
2018-10-16,-0.10174930131456371,-0.26769140530655905,-0.0,1.0,-0.18743746334057898,-0.16827105544629611,0.0
2018-10-17,-0.09252711386121783,-0.24980450821065514,-0.0,1.0,-0.18527521844082548,-0.17232176248597558,0.0
2018-10-18,-0.09222088141815525,-0.24914594557846256,-0.0,1.0,-0.1859034281149617,-0.17234053401770996,0.0
2018-10-19,-0.08879057043466514,-0.24541524536458506,-0.0,1.0,-0.184285183559053,-0.17018474112600895,0.0
2018-10-22,-0.08924434825248136,-0.24794981484925854,-0.0,1.0,-0.18383185945452393,-0.16984832857070392,0.0
2018-10-23,-0.08805510425128622,-0.24835838072028163,-0.0,1.0,-0.18523219604657462,-0.17074532900081235,0.0
2018-10-24,-0.087580481192816,-0.2451033547949848,-0.0,1.0,-0.18729244323957983,-0.174364622161979,0.0
2018-10-25,-0.07472723077430202,-0.22484095329136042,-0.0,1.0,-0.1882025249695092,-0.16036523057652372,0.0
2018-10-26,-0.0749987632130077,-0.22497979914579244,-0.0,1.0,-0.1884203756534358,-0.16063389455978627,0.0
2018-10-29,-0.0765573932851342,-0.2243240566504902,-0.0,1.0,-0.190072958964709,-0.1597174078109009,0.0
2018-10-30,-0.0785974995458224,-0.22451237840426763,-0.0,1.0,-0.1901930667723662,-0.15825199425258882,0.0
2018-10-31,-0.07992833897636502,-0.2183360178823839,-0.0,1.0,-0.18896485980079553,-0.1563558068439565,0.0
2018-11-01,-0.07138282674023351,-0.2251342430661609,-0.0,1.0,-0.18889272049526248,-0.15670722695699296,0.0
