Date,COLL,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-1.2669060442848592,-2.4053176028041374,-0.5521928699666581,-1.749080960930153,-1.5757886637599385,0.0
2018-09-25,1.0,-1.283088551060723,-2.410890663918234,-0.567723095422142,-1.7531564029889202,-1.5740788456583352,0.0
2018-09-26,1.0,-1.2848035837353549,-2.416695382494831,-0.5620261888352861,-1.761802205375603,-1.589421088904204,0.0
2018-09-27,1.0,-1.2879168471199653,-2.4410567345171073,-0.5603291468168038,-1.7725422260718926,-1.6,0.0
2018-09-28,1.0,-1.2992434124706498,-2.4467344986520567,-0.5608313766414471,-1.7817201495782242,-1.6079659100791375,0.0
2018-10-01,1.0,-1.300460909644317,-2.444908252891556,-0.5610922688929472,-1.782154969997391,-1.607878945995304,0.0
2018-10-02,1.0,-1.3056764757095594,-2.4184224273028034,-0.5721748215218527,-1.7919205989900748,-1.6181438272679782,0.0
2018-10-03,1.0,-1.3126203395764047,-2.4009277087344656,-0.568790477857518,-1.817521442324523,-1.652021704883599,0.0
2018-10-04,1.0,-1.3381320856577288,-2.499370163757423,-0.5766600683822205,-1.858736728450603,-1.724851538599964,0.0
2018-10-05,1.0,-1.3075270741967242,-2.483934484919001,-0.5435424684507294,-1.8726393985500762,-1.7425937527969213,0.0
2018-10-08,1.0,-1.3116848070522622,-2.492309076189619,-0.5305388144283529,-1.9030313933615184,-1.7576684357290635,0.0
2018-10-09,1.0,-1.3094359989205722,-2.4933885040928305,-0.5249617702617613,-1.905819915444814,-1.7616263380408381,0.0
2018-10-10,1.0,-1.3154434939216568,-2.4926609635299415,-0.530211616389014,-1.910850968032418,-1.7557856821251687,0.0
2018-10-11,1.0,-1.1909534368070953,-2.559822616407982,-0.3156541019955654,-1.93490022172949,-1.867849223946785,0.0
2018-10-12,1.0,-1.213703671252081,-2.551213528432489,-0.29957066503110485,-1.8881100499430474,-1.8094278454394113,0.0
2018-10-15,1.0,-1.1719667104686817,-2.63311432325887,-0.23355234340779676,-1.894437144108629,-1.82724485326325,0.0
2018-10-16,1.0,-1.1685206271349742,-2.644915476920382,-0.22448979591836735,-1.8942804589647018,-1.8267495839537533,0.0
