Date,FL,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.7823853211009174,-1.5908868501529052,-0.1453211009174312,-1.2804892966360855,-1.3170642201834861,0.0
2018-09-25,1.0,-0.7825342465753424,-1.5903864970645794,-0.1458537181996086,-1.2800880626223092,-1.3165973581213308,0.0
2018-09-26,1.0,-0.7847001223990209,-1.593451652386781,-0.14951040391676867,-1.2801101591187272,-1.3121175030599757,0.0
2018-09-27,1.0,-0.8141224692584773,-1.5925971928952924,-0.16165693702645634,-1.307042603403304,-1.3349894423053037,0.0
2018-09-28,1.0,-0.8141961125256163,-1.592125690865056,-0.16239210085077313,-1.306650934608458,-1.3346581382351115,0.0
2018-10-01,1.0,-0.8141845733449261,-1.5922245683765992,-0.162961122841883,-1.3064215625388151,-1.3346168177866105,0.0
2018-10-02,1.0,-0.8143522833178004,-1.5968313140726933,-0.1629077353215284,-1.3054364709537123,-1.3335818577197887,0.0
2018-10-03,1.0,-0.8261442832925222,-1.6343316380988258,-0.1692723048910655,-1.313681170339675,-1.3352797136937276,0.0
2018-10-04,1.0,-0.8266599723860926,-1.631668131040542,-0.17026484247521023,-1.3136688841471067,-1.3336262081084473,0.0
2018-10-05,1.0,-0.8063026521060842,-1.6206552262090483,-0.14670826833073322,-1.3215600624024961,-1.3449609984399375,0.0
2018-10-08,1.0,-0.803942361674256,-1.6171792152704134,-0.13792027945854907,-1.331919406150583,-1.3469527789907054,0.0
2018-10-09,1.0,-0.8021571455446166,-1.6288957170627703,-0.12096319056875902,-1.3500344892456262,-1.3687213896030601,0.0
2018-10-10,1.0,-0.8043014798093804,-1.6270378730875343,-0.12321294206170053,-1.351454727865563,-1.3643090042638575,0.0
2018-10-11,1.0,-0.6986069049061175,-1.6247728649303452,-0.0,-1.3308903694730467,-1.4026044821320411,0.0
2018-10-12,1.0,-0.7177516214268557,-1.623108335335095,-0.0,-1.2994234926735526,-1.3650012010569301,0.0
2018-10-15,1.0,-0.6965343867839828,-1.634464595678458,-0.0,-1.292452265517448,-1.3620638055904712,0.0
2018-10-16,1.0,-0.6881443298969072,-1.6528410453128748,-0.0,-1.2915967393910333,-1.3611843682570128,0.0
2018-10-17,1.0,-0.6419782160730055,-1.5769796879599645,-0.0,-1.2856638210185458,-1.3828672357962908,0.0
2018-10-18,1.0,-0.6450413223140496,-1.5853600944510038,-0.0,-1.2863636363636364,-1.3863636363636365,0.0
2018-10-19,1.0,-0.6113552469678327,-1.56401242163239,-0.0,-1.2933145836995372,-1.3905197164117888,0.0
2018-10-22,1.0,-0.6141164045998592,-1.5702886646327152,-0.0,-1.2928303215207697,-1.3899906125322694,0.0
2018-10-23,1.0,-0.6179023932426091,-1.5701548568747066,-0.0,-1.2895940872829657,-1.3880807132801503,0.0
2018-10-24,1.0,-0.6138120899718837,-1.5639643861293346,-0.0,-1.2894798500468603,-1.390288191190253,0.0
2018-10-25,1.0,-0.5383570174941968,-1.4767027118835985,-0.0,-1.3107626111079658,-1.3357300571816793,0.0
2018-10-26,1.0,-0.499943560221244,-1.4668134100914325,-0.0,-1.3446777288633027,-1.3325431764307485,0.0
2018-10-29,1.0,-0.4596036157430802,-1.4837459996631297,-0.0,-1.3277749705238338,-1.34338330245354,0.0
2018-10-30,1.0,-0.43372544605166885,-1.489840715934035,-0.0,-1.334158833792987,-1.3706872291326617,0.0
2018-10-31,1.0,-0.4335395418826283,-1.461071169815527,-0.0,-1.3218525330212338,-1.3567407902803321,0.0
2018-11-01,1.0,-0.38832116788321164,-1.5185289163391353,-0.0,-1.3353733857383492,-1.372599663110612,0.0
2018-11-02,1.0,-0.3948349752323705,-1.4673568208382033,-0.0,-1.34340735793399,-1.3601602938720987,0.0
2018-11-05,1.0,-0.3869545809619462,-1.4995536212476286,-0.0,-1.3499051445151211,-1.3433210579176431,0.0
2018-11-06,1.0,-0.3848518725544997,-1.4988261598658468,-0.0,-1.3555617663499162,-1.3505310229178311,0.0
2018-11-07,1.0,-0.383116520573949,-1.4980179777790186,-0.0,-1.3529116185584278,-1.3490592373401822,0.0
2018-11-08,1.0,-0.32478916999556146,-1.5109298712827341,-0.0,-1.3424323124722592,-1.3700066577896137,0.0
2018-11-09,1.0,-0.3238787744227354,-1.5116563055062169,-0.0,-1.3448601243339255,-1.370226465364121,0.0
2018-11-12,1.0,-0.3210462421366295,-1.4815141816576538,-0.0,-1.3523341794503918,-1.3632601258139279,0.0
2018-11-13,1.0,-0.2659954888045332,-1.4884194311492547,-0.0,-1.374374209165429,-1.3726687572206637,0.0
2018-11-14,1.0,-0.26749559859154926,-1.4874559859154928,-0.0,-1.374724911971831,-1.3721390845070423,0.0
2018-11-15,1.0,-0.26564818376655497,-1.4901906907732045,-0.0,-1.3808869593889104,-1.358685497609496,0.0
2018-11-16,1.0,-0.25876232201533406,-1.4729463307776558,-0.0,-1.3779299014238773,-1.3668127053669221,0.0
2018-11-19,1.0,-0.26423677719923266,-1.4728418744861607,-0.0,-1.3767059468347493,-1.367114277884352,0.0
