Date,IWF,IWM,KNDI,MTUM,SPY,VLUE,VXX
2018-09-24,-1.963159942923855,-3.656375664807368,1.0,-0.8255286029316383,-2.819691269944221,-2.7069658840316513,0.0
2018-09-25,-1.9629245527612134,-3.653616800622245,1.0,-0.8262898625875033,-2.817085817993259,-2.703655690951517,0.0
2018-09-26,-1.9688802083333337,-3.6701822916666673,1.0,-0.8188802083333334,-2.8345052083333333,-2.728385416666667,0.0
2018-09-27,-1.9726989079563184,-3.6487259490379618,1.0,-0.8230629225169007,-2.831513260530421,-2.7243889755590223,0.0
2018-09-28,-1.9690627843494086,-3.6507214350708437,1.0,-0.824515793578578,-2.8303652671259587,-2.724034836864682,0.0
2018-10-01,-1.9743623112961999,-3.6517438833940656,1.0,-0.825221238938053,-2.835632483081728,-2.7272254034357104,0.0
2018-10-02,-1.9963302752293577,-3.6271297509829616,1.0,-0.8471821756225426,-2.8722149410222806,-2.763171690694626,0.0
2018-10-03,-2.052313071543841,-3.6737493275954813,1.0,-0.8526089295320065,-2.9838622915545994,-2.885422270037655,0.0
2018-10-04,-2.091146908990775,-3.795676717609803,1.0,-0.8585983753269999,-3.04874019000413,-2.974253063472394,0.0
2018-10-05,-2.0599261184840607,-3.7901217676836776,1.0,-0.8109180462443563,-3.047749350116295,-2.972910110822274,0.0
2018-10-08,-2.075055187637969,-3.8169150110375276,1.0,-0.7981512141280352,-3.100717439293598,-3.0060706401766,0.0
2018-10-09,-2.0904048807542983,-3.8409595119245696,1.0,-0.807542983915696,-3.1136993899057126,-3.013033832501386,0.0
2018-10-10,-2.0911736178467506,-3.8366357212138014,1.0,-0.8090619370929749,-3.113066371068311,-3.006235277816267,0.0
2018-10-11,-1.8799732977303072,-3.8212283044058752,1.0,-0.5233644859813085,-3.05807743658211,-3.0683578104138856,0.0
2018-10-12,-1.8801307189542487,-3.7677124183006536,1.0,-0.4924183006535948,-2.966666666666667,-2.964967320261438,0.0
2018-10-15,-1.822311897943244,-3.8483467846914867,1.0,-0.41226243165842225,-2.9604269721426713,-2.9740952876854987,0.0
2018-10-16,-1.8172238844802917,-3.8598933263952127,1.0,-0.401587095095616,-2.9583712761805647,-2.9719006114218813,0.0
2018-10-17,-1.7694889003613836,-3.758389261744967,1.0,-0.3212441920495612,-2.9972896231285495,-3.060015487867837,0.0
2018-10-18,-1.7673848535672818,-3.7549993549219454,1.0,-0.3218939491678493,-2.9981937814475557,-3.0592181653980135,0.0
2018-10-19,-1.7139401654996818,-3.702737110120942,1.0,-0.2692552514322088,-2.9955442393380016,-3.0492679821769575,0.0
2018-10-22,-1.7141038696537678,-3.701247454175152,1.0,-0.2702393075356415,-2.9949083503054985,-3.048752545824847,0.0
2018-10-23,-1.7142492990058629,-3.708386438949783,1.0,-0.2639561560030589,-3.0031863369869995,-3.0556971705327554,0.0
2018-10-24,-1.7172888266021147,-3.7007262071601477,1.0,-0.24219645814753468,-3.0121034526691295,-3.0682889540068796,0.0
2018-10-25,-1.5532915360501567,-3.4678080540149505,1.0,-0.1724137931034483,-2.9638292741741017,-2.8995659512900893,0.0
2018-10-26,-1.4985768500948766,-3.4154411764705883,1.0,-0.10400853889943074,-2.9765180265654645,-2.8650379506641364,0.0
2018-10-29,-1.4454470877768664,-3.4183757178014766,1.0,-0.05578342904019688,-2.940466424469706,-2.8591351224657213,0.0
2018-10-30,-1.4531288955372723,-3.6639242084268266,1.0,-0.0,-3.1768885564697085,-3.1719022687609075,0.0
2018-10-31,-1.4770493842517725,-3.6000746361487748,1.0,-0.0,-3.1909441472820004,-3.1711655678566983,0.0
2018-11-01,-1.43490099009901,-3.6101485148514856,1.0,-0.0,-3.1737623762376237,-3.1575495049504956,0.0
2018-11-02,-1.4578966835162124,-3.5080754530883986,1.0,-0.0,-3.2145234866231047,-3.1484403895943776,0.0
2018-11-05,-1.4493615966282383,-3.579273583736209,1.0,-0.0,-3.236767075740672,-3.130779719846287,0.0
2018-11-06,-1.444347609561753,-3.5902639442231075,1.0,-0.0,-3.25996015936255,-3.1556274900398407,0.0
2018-11-07,-1.449125,-3.6098749999999997,1.0,-0.0,-3.2710000000000004,-3.17,0.0
2018-11-08,-1.345416043846537,-3.641380169407075,1.0,-0.0,-3.2561036372695566,-3.21337817638266,0.0
2018-11-09,-1.3452321517723416,-3.6492760858711932,1.0,-0.0,-3.2670993509735395,-3.2196704942586125,0.0
