Date,IWF,IWM,MTUM,OMER,SPY,VLUE,VXX
2018-09-24,-3.6003412241416077,-5.624866709319684,-1.9264235444657707,1.0,-4.649605459586265,-4.525058647899339,0.0
2018-09-25,-3.6442866365397033,-5.6746287927695285,-1.953948784161825,1.0,-4.689907467183129,-4.556488056810847,0.0
2018-09-26,-3.646349343097136,-5.679732931294422,-1.9521860865819514,1.0,-4.695455524445402,-4.564290329528323,0.0
2018-09-27,-3.6390799656061907,-5.671109200343938,-1.9385210662080825,1.0,-4.689810834049871,-4.557394668959588,0.0
2018-09-28,-3.633591065292096,-5.6688144329896915,-1.9362113402061856,1.0,-4.685567010309279,-4.553694158075602,0.0
2018-10-01,-3.6378680421233613,-5.669460563077584,-1.9383193638512788,1.0,-4.689447668171073,-4.556200300881152,0.0
2018-10-02,-4.534545454545455,-6.607012987012987,-2.9485714285714284,1.0,-5.495844155844156,-5.387792207792208,0.0
2018-10-03,-4.651745270450307,-6.747934985345056,-3.0,1.0,-5.6730615507593924,-5.572342126298961,0.0
2018-10-04,-4.670402989057912,-6.741126234320789,-3.008006405124099,1.0,-5.69602348545503,-5.572457966373098,0.0
2018-10-05,-4.543979057591623,-6.611256544502618,-2.8958115183246074,1.0,-5.619633507853403,-5.5070680628272255,0.0
2018-10-08,-4.514970059880239,-6.570945066388961,-2.8646185889091385,1.0,-5.604009372559229,-5.480343660505077,0.0
2018-10-09,-4.537231253277399,-6.624803356056634,-2.856843209229156,1.0,-5.659674882013634,-5.540639748295753,0.0
2018-10-10,-4.539711664482306,-6.619659239842725,-2.8608125819134993,1.0,-5.659501965923983,-5.532634338138925,0.0
2018-10-11,-4.033759344104172,-6.2220882565710145,-2.359537014709429,1.0,-5.248372317337835,-5.250060284543043,0.0
2018-10-12,-4.011369019422075,-6.132638559924206,-2.3107531975367124,1.0,-5.121743249644718,-5.108953102794884,0.0
2018-10-15,-3.9018462257536806,-6.158681935031549,-2.192100958167796,1.0,-5.055386772610423,-5.0621640570226685,0.0
2018-10-16,-3.892548469983649,-6.1819668301798645,-2.1716888577435176,1.0,-5.052791403877599,-5.0597991123569255,0.0
2018-10-17,-3.636744596382885,-5.796206440229378,-1.9614027348919276,1.0,-4.808337009263344,-4.85288928098809,0.0
2018-10-18,-3.6360026472534743,-5.7935142289874255,-1.9642620780939772,1.0,-4.812265607765276,-4.85440105890139,0.0
2018-10-19,-3.575174825174825,-5.7303321678321675,-1.9047202797202796,1.0,-4.803321678321678,-4.839597902097902,0.0
2018-10-22,-3.5989903424056187,-5.732440737489025,-1.8871817383669884,1.0,-4.847892888498683,-4.882572431957858,0.0
2018-10-23,-3.5976305397103987,-5.731241772707328,-1.8854760860026327,1.0,-4.844888108819657,-4.880210618692408,0.0
2018-10-24,-3.626628394789137,-5.759107970854494,-1.8741444027379113,1.0,-4.889821152572312,-4.930227423272245,0.0
2018-10-25,-3.333816225165563,-5.367756622516556,-1.6870860927152316,1.0,-4.691432119205298,-4.615066225165563,0.0
2018-10-26,-3.1825618515562653,-5.189345570630487,-1.548683160415004,1.0,-4.572426177174781,-4.459497206703911,0.0
2018-10-29,-3.112166172106825,-5.202571711177053,-1.4830860534124628,1.0,-4.526211671612265,-4.45835806132542,0.0
2018-10-30,-3.0891518737672583,-5.196449704142013,-1.4583826429980278,1.0,-4.518934911242604,-4.46094674556213,0.0
2018-10-31,-3.1218354430379747,-5.160403481012658,-1.4643987341772151,1.0,-4.551621835443038,-4.480221518987341,0.0
2018-11-01,-3.0664047151277014,-5.179764243614931,-1.4088408644400785,1.0,-4.528880157170923,-4.462278978388998,0.0
2018-11-02,-3.013451191391237,-5.027863182167563,-1.342621060722521,1.0,-4.46348962336664,-4.368754803996925,0.0
2018-11-05,-2.999616564417178,-5.037768404907975,-1.3360812883435584,1.0,-4.453412576687117,-4.344900306748467,0.0
