Date,CASH,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.43410478945676634,-1.052917068466731,-0.1363307618129219,-0.7344905175184828,-0.6601976856316297,0.0
2018-09-25,1.0,-0.4354042006345127,-1.0510421268222159,-0.13878960684309866,-0.7328621340508413,-0.6578049074334363,0.0
2018-09-26,1.0,-0.43907250110704077,-1.0566804879030636,-0.14375427720301115,-0.7339076526709875,-0.652147659111952,0.0
2018-09-27,1.0,-0.43998873783283726,-1.0525701874346391,-0.14483951411793097,-0.733287748371008,-0.6515163703644116,0.0
2018-09-28,1.0,-0.4371679278699082,-1.0561906295282564,-0.1456689744002576,-0.7337787795846079,-0.6523506681693769,0.0
2018-10-01,1.0,-0.43724843020447596,-1.0559491225245534,-0.14595073257124458,-0.7336580260827563,-0.6523506681693769,0.0
2018-10-02,1.0,-0.43734138972809666,-1.0620342396777442,-0.14469284994964754,-0.7327291037260826,-0.6514400805639476,0.0
2018-10-03,1.0,-0.4368584195483274,-1.0561974155629805,-0.14419709351475382,-0.7340686767843485,-0.654281228613985,0.0
2018-10-04,1.0,-0.4369111844754006,-1.0562042032369756,-0.14469764071181254,-0.7337144697640713,-0.654561558901683,0.0
2018-10-05,1.0,-0.42530163947568844,-1.0516294544434202,-0.13300196416402774,-0.738645929370265,-0.659919028340081,0.0
2018-10-08,1.0,-0.4228861691064715,-1.0477161827053836,-0.12906967442604592,-0.7413406927445804,-0.6587073034157267,0.0
2018-10-09,1.0,-0.42102075425987245,-1.0617782443672779,-0.10877816361140273,-0.7626181054671728,-0.6835581038520553,0.0
2018-10-10,1.0,-0.42145624798191794,-1.060905715208266,-0.10942040684533419,-0.7628350016144656,-0.6815466580561834,0.0
2018-10-11,1.0,-0.3566317454042301,-1.0863016406404429,-0.008539237003360348,-0.7700731369835936,-0.7318047044870527,0.0
2018-10-12,1.0,-0.3549030340944636,-1.0807788551767283,-0.0020722552392868315,-0.7566077572724429,-0.7155536440412887,0.0
2018-10-15,1.0,-0.30420187978832636,-1.1544901666535028,-0.0,-0.7596161440644499,-0.7308269488981913,0.0
2018-10-16,1.0,-0.2950969122834833,-1.1770581473700898,-0.0,-0.7602362360775298,-0.7312616433469419,0.0
2018-10-17,1.0,-0.26382556987115957,-1.1361347869177405,-0.0,-0.7834687809712587,-0.7808919722497523,0.0
2018-10-18,1.0,-0.2638146878239375,-1.1375887090343673,-0.0,-0.7971852324376046,-0.7883342636153416,0.0
2018-10-19,1.0,-0.2447850821744627,-1.1259086599241466,-0.0,-0.7956305309734514,-0.7843710493046776,0.0
2018-10-22,1.0,-0.24671625257160945,-1.1312312074695365,-0.0,-0.7946668776705176,-0.7837078651685393,0.0
2018-10-23,1.0,-0.24395464996432253,-1.1334734004598432,-0.0,-0.7995322286529771,-0.787203678744153,0.0
