Date,ESNT,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.477492110636718,-1.3953035084462595,-0.0,-0.8861147206237238,-0.8818915908669018,0.0
2018-09-25,1.0,-0.47847467062534793,-1.3943217665615142,-0.0,-0.8854611245128967,-0.8808220449062907,0.0
2018-09-26,1.0,-0.47729805013927573,-1.3942432683379757,-0.0,-0.8864902506963789,-0.8844939647168059,0.0
2018-09-27,1.0,-0.4788516835172989,-1.3891568500139133,-0.0,-0.8859567758092941,-0.8838233930062146,0.0
2018-09-28,1.0,-0.4795454545454545,-1.3886363636363634,-0.0,-0.8860853432282002,-0.8839517625231911,0.0
2018-10-01,1.0,-0.48036295951605396,-1.3961842717543043,-0.0,-0.8888320148906469,-0.8879944160074453,0.0
2018-10-02,1.0,-0.48087482550023264,-1.3951140065146581,-0.0006514657980456025,-0.8886924150767799,-0.8879944160074453,0.0
2018-10-03,1.0,-0.48026224020086483,-1.3882456874505975,-0.0,-0.8900358022969266,-0.8909657320872274,0.0
2018-10-04,1.0,-0.4826480836236934,-1.3821602787456446,-0.001207897793263647,-0.8924970963995355,-0.8872938443670151,0.0
2018-10-05,1.0,-0.45510950594990046,-1.3719961105709126,-0.0,-0.9019771264527481,-0.9011899800898273,0.0
2018-10-08,1.0,-0.45564516129032256,-1.3742120875046346,-0.0,-0.9026232851316277,-0.9022525027808677,0.0
2018-10-09,1.0,-0.45550611790878753,-1.3746755654430847,-0.0,-0.9025769373377827,-0.9020207638116424,0.0
2018-10-10,1.0,-0.45716536162720656,-1.373534726405041,-0.0,-0.9035815224945559,-0.8989482463049623,0.0
2018-10-11,1.0,-0.3581883087907184,-1.3513163766175815,-0.0,-0.8585006693440429,-0.8942882641677823,0.0
2018-10-12,1.0,-0.3560386473429952,-1.3407553798858147,-0.0,-0.8306104523495828,-0.8643390425999121,0.0
2018-10-15,1.0,-0.32860520094562645,-1.3630592767708607,-0.0,-0.823351720514841,-0.8628403817529112,0.0
2018-10-16,1.0,-0.32687004858405916,-1.3654309099662976,-0.0,-0.8225587604499497,-0.8620825491311769,0.0
2018-10-17,1.0,-0.29579882418572717,-1.3110329142170536,-0.0,-0.8133716688838347,-0.8710895592842124,0.0
2018-10-18,1.0,-0.29540462552220165,-1.310779964684095,-0.0,-0.824195701795943,-0.8764374004048407,0.0
2018-10-19,1.0,-0.2692307692307692,-1.2972649572649573,-0.0,-0.8288461538461539,-0.8781623931623931,0.0
