Date,CUBE,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.259279067279923,-0.5673868862979998,-0.0,-0.4577227510963739,-0.38969408492886937,0.0
2018-09-25,1.0,-0.2574368869593182,-0.5700809347697915,-0.0,-0.45977381143806606,-0.39266763145200195,0.0
2018-09-26,1.0,-0.25962879519364873,-0.5724439437828559,-0.0,-0.4602510460251046,-0.3897918678253406,0.0
2018-09-27,1.0,-0.2589101066258427,-0.5757526925039615,-0.0,-0.46074718663551156,-0.3904063599495071,0.0
2018-09-28,1.0,-0.25584093239087036,-0.5844709437220094,-0.0,-0.46390222845734636,-0.3936491663519128,0.0
2018-10-01,1.0,-0.2558278217499729,-0.5915916729914344,-0.0,-0.4660631031117857,-0.39710506342838553,0.0
2018-10-02,1.0,-0.2547203129669374,-0.6028416963242685,-0.0,-0.4640984541824011,-0.39506642397239805,0.0
2018-10-03,1.0,-0.254630887066109,-0.6013363028953229,-0.0,-0.4643652561247216,-0.39573034928567546,0.0
2018-10-04,1.0,-0.260411849514431,-0.5953592122085907,-0.0,-0.4722123990098202,-0.39231794564892136,0.0
2018-10-05,1.0,-0.24756308892017762,-0.5883244882486732,-0.0,-0.4753601213040182,-0.39640420231777324,0.0
2018-10-08,1.0,-0.2446650258296595,-0.5852649230519569,-0.0,-0.4789170475752576,-0.3958564357774592,0.0
2018-10-09,1.0,-0.23850348625844436,-0.5871835915244581,-0.0,-0.4839794894055726,-0.403375023739114,0.0
2018-10-10,1.0,-0.23895533317061263,-0.5866352073332791,-0.0,-0.48422965313372923,-0.40216418517614516,0.0
2018-10-11,1.0,-0.1958792803250145,-0.5747111275259853,-0.0,-0.4668126417981322,-0.4007281169208041,0.0
2018-10-12,1.0,-0.19812967256245279,-0.5683919872880252,-0.0,-0.45377582119878085,-0.3846414337440413,0.0
2018-10-15,1.0,-0.19050094886526112,-0.5735825512777185,-0.0,-0.45189383107598724,-0.3836535211999896,0.0
2018-10-16,1.0,-0.18510034620090066,-0.5840122862274514,-0.0,-0.45110237655204727,-0.38279928156805576,0.0
2018-10-17,1.0,-0.17124394184168015,-0.5580685693771316,-0.0,-0.4473933892350693,-0.3875682744826525,0.0
2018-10-18,1.0,-0.17166974548440064,-0.5594724958949097,-0.0,-0.4467621100164204,-0.3877770935960591,0.0
2018-10-19,1.0,-0.15921588594704686,-0.5503818737270876,-0.0,-0.4491089613034624,-0.3871181262729124,0.0
2018-10-22,1.0,-0.159094381908012,-0.5425813681047216,-0.0,-0.45367493505832013,-0.3913818570773698,0.0
2018-10-23,1.0,-0.15736609988018457,-0.5432737655186478,-0.0,-0.4558084992479669,-0.392790679888852,0.0
2018-10-24,1.0,-0.15605566316647976,-0.5392241818737894,-0.0,-0.45753899480069327,-0.395860944030992,0.0
2018-10-25,1.0,-0.12336752564423317,-0.5090067550662997,-0.0,-0.48986740055041283,-0.3796347260445334,0.0
2018-10-26,1.0,-0.10869834659527527,-0.4997645075729407,-0.0,-0.49669071168290324,-0.3737140874048735,0.0
2018-10-29,1.0,-0.09357042444570499,-0.5055121217352703,-0.0,-0.4902458874885935,-0.37694527338644046,0.0
2018-10-30,1.0,-0.05626372516848827,-0.5274503369765504,-0.0,-0.5120529065805084,-0.4284019486584042,0.0
2018-10-31,1.0,-0.06218462079180579,-0.5090251801270304,-0.0,-0.5132678934551753,-0.4260286696959807,0.0
2018-11-01,1.0,-0.039923523936504744,-0.5303011245000125,-0.0,-0.5158863927951498,-0.429548942164977,0.0
2018-11-02,1.0,-0.04528056438095715,-0.5062166962699822,-0.0,-0.5242538713631701,-0.425937507817777,0.0
2018-11-05,1.0,-0.054873719444162694,-0.49556243026676133,-0.0,-0.5329648037326301,-0.45235317983568313,0.0
