Date,CGC,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-3.0925333834869284,-5.103065638517961,-1.2791047583223623,-4.258792552191085,-4.073913861199925,0.0
2018-09-25,1.0,-3.1321577550246493,-5.142586272279106,-1.3028062191884715,-4.289723170269245,-4.093477436480849,0.0
2018-09-26,1.0,-3.1323222748815165,-5.14218009478673,-1.304834123222749,-4.288151658767773,-4.089668246445497,0.0
2018-09-27,1.0,-3.1326781326781328,-5.104139104139104,-1.3090153090153092,-4.276696276696277,-4.0774900774900775,0.0
2018-09-28,1.0,-3.14506290507053,-5.168128097598171,-1.3158597026305756,-4.316812809759817,-4.116279069767442,0.0
2018-10-01,1.0,-3.1520992366412215,-5.169847328244274,-1.3173664122137403,-4.323664122137405,-4.120801526717558,0.0
2018-10-02,1.0,-3.1535380507343125,-5.142094220865917,-1.3276749952317377,-4.325767690253672,-4.123974823574289,0.0
2018-10-03,1.0,-3.1504003049942813,-5.1406786122760195,-1.3187190240182998,-4.327296988181471,-4.12523827678231,0.0
2018-10-04,1.0,-3.149885583524027,-5.150076277650648,-1.3060640732265445,-4.334286803966438,-4.128909229595728,0.0
2018-10-05,1.0,-3.07464096749811,-5.085600907029478,-1.2379062736205593,-4.345238095238095,-4.153061224489796,0.0
2018-10-08,1.0,-3.052799699361142,-5.049041713641488,-1.2151446824502068,-4.339721909056745,-4.1330326944757605,0.0
2018-10-09,1.0,-3.0663758771098046,-5.109615019912764,-1.179973449649156,-4.40527214109615,-4.203489474682344,0.0
2018-10-10,1.0,-3.064620049270419,-5.106310403638431,-1.176994504453288,-4.403827932537427,-4.198408186469585,0.0
2018-10-11,1.0,-2.7657018022938287,-5.05862006189696,-0.7908246859639542,-4.31185144729656,-4.27799016930639,0.0
2018-10-12,1.0,-2.7806313536650613,-4.980024968789013,-0.7622614588906723,-4.181737114321384,-4.130194399857321,0.0
2018-10-15,1.0,-2.6940719830628086,-5.032639378969654,-0.6642554693013409,-4.1429075511644315,-4.109033168666196,0.0
2018-10-16,1.0,-2.7855825958702067,-5.401548672566372,-0.5724557522123894,-4.360435103244838,-4.316556047197641,0.0
2018-10-17,1.0,-2.851901651940069,-5.524010756819055,-0.45044179792547057,-4.673837879369958,-4.708605455243949,0.0
2018-10-18,1.0,-2.8550000000000004,-5.535384615384615,-0.4442307692307692,-4.680384615384616,-4.715769230769231,0.0
2018-10-19,1.0,-2.754329819277108,-5.402296686746988,-0.3708584337349397,-4.63648343373494,-4.661144578313253,0.0
2018-10-22,1.0,-2.751502629601803,-5.37922614575507,-0.35987978963185574,-4.634109691960932,-4.657963936889557,0.0
2018-10-23,1.0,-2.778285714285714,-5.4750476190476185,-0.31847619047619047,-4.730095238095238,-4.74552380952381,0.0
2018-10-24,1.0,-2.7751187084520414,-5.450522317188984,-0.2890788224121557,-4.729344729344729,-4.749287749287749,0.0
2018-10-25,1.0,-2.4462019815748306,-4.908917086737355,-0.20076481835564053,-4.491395793499044,-4.335129497653399,0.0
2018-10-26,1.0,-2.342363697934304,-4.783779207585506,-0.10057568574331188,-4.463596342702337,-4.241618692854724,0.0
2018-10-29,1.0,-2.2581293999329537,-4.810760978880322,-0.027489104927924907,-4.41099564197117,-4.254274220583305,0.0
2018-10-30,1.0,-2.3213494632816496,-4.901346055546091,-0.022661441472141764,-4.493951269381496,-4.299539955699438,0.0
2018-10-31,1.0,-2.3189524928655367,-4.756924626489845,-0.02551619942924291,-4.447372838677187,-4.2383750209837165,0.0
2018-11-01,1.0,-2.270680453635757,-4.762508338892594,-0.0,-4.426117411607739,-4.218478985990661,0.0
2018-11-02,1.0,-2.298740053050398,-4.611903183023872,-0.0,-4.471319628647215,-4.19645225464191,0.0
2018-11-05,1.0,-2.2840099420049707,-4.651201325600663,-0.0,-4.470753935376967,-4.164043082021541,0.0
2018-11-06,1.0,-2.2762173840784445,-4.664450722951638,-0.0,-4.493269070965598,-4.185806880505234,0.0
2018-11-07,1.0,-2.2639257294429704,-4.656001326259947,-0.0,-4.482592838196287,-4.175729442970822,0.0
2018-11-08,1.0,-2.0978593272171255,-4.555126347980042,-0.0,-4.342346692419121,-4.099951714147755,0.0
2018-11-09,1.0,-2.103866688238149,-4.5835625303348975,-0.0,-4.366607345089791,-4.124575311438279,0.0
