Date,IWF,IWM,MTUM,SPY,TPCO,VLUE,VXX
2018-09-24,-1.2560998151571163,-2.712292051756007,-0.3424214417744917,-1.9560998151571165,1.0,-1.9753234750462108,0.0
2018-09-25,-1.2590984666543505,-2.7078329946425277,-0.3480509883613523,-1.9524293367818217,1.0,-1.9696101976722706,0.0
2018-09-26,-1.2603473762010349,-2.709349593495935,-0.35033259423503327,-1.9521433850702141,1.0,-1.9665558019216556,0.0
2018-09-27,-1.2606691861001014,-2.694810581620426,-0.35210618490183426,-1.9478292930223984,1.0,-1.9620241496912156,0.0
2018-09-28,-1.261639162902185,-2.694016778832857,-0.3533695952798009,-1.9479118650318061,1.0,-1.9622015303770628,0.0
2018-10-01,-1.2650179939097537,-2.693826704807604,-0.35388022515456313,-1.9510934760542586,1.0,-1.9638276275722064,0.0
2018-10-02,-1.2654059040590404,-2.688837638376384,-0.3563653136531365,-1.950738007380074,1.0,-1.9637453874538746,0.0
2018-10-03,-1.267017641082479,-2.6716541978387367,-0.3545765216588159,-1.9622240694559896,1.0,-1.9806964071303224,0.0
2018-10-04,-1.276483638380477,-2.660843039378813,-0.35718247365501943,-1.974117212053984,1.0,-1.9752264743945278,0.0
2018-10-05,-1.2440284054228536,-2.6526791478373144,-0.31596421654523654,-2.001106704786498,1.0,-2.0087614128931106,0.0
2018-10-08,-1.239134438305709,-2.6456721915285453,-0.3046040515653775,-2.0101289134438303,1.0,-2.0085635359116023,0.0
2018-10-09,-1.2362966374942426,-2.648272685398434,-0.29608475356978353,-2.015660985720866,1.0,-2.0160294795025337,0.0
2018-10-10,-1.2371570613146752,-2.64555330510035,-0.297090775179525,-2.015558828944946,1.0,-2.0110476891916775,0.0
2018-10-11,-1.0755183061314513,-2.647198941332157,-0.06660785178650198,-1.9780326422584913,1.0,-2.054962505513895,0.0
2018-10-12,-1.0546621043627031,-2.5906757912745935,-0.036783575705731396,-1.8999144568006843,1.0,-1.9722840034217277,0.0
2018-10-15,-1.001976964070827,-2.6880694516073578,-0.0,-1.9089736977823621,1.0,-1.9964758466563521,0.0
2018-10-16,-0.9984364141765115,-2.7477414871438497,-0.0,-1.9266851980542044,1.0,-2.013724808895066,0.0
2018-10-17,-0.9167717528373266,-2.613198823034889,-0.0,-1.878520386717108,1.0,-1.9983186212694408,0.0
2018-10-18,-0.9153568126418424,-2.6107422039169537,-0.0,-1.8808102883079767,1.0,-1.9985710683365554,0.0
2018-10-19,-0.8600363756613757,-2.566633597883598,-0.0,-1.8623511904761905,1.0,-1.9782572751322751,0.0
2018-10-22,-0.8600578273440727,-2.5511771995043366,-0.0,-1.8672449401073936,1.0,-1.9825691862866583,0.0
2018-10-23,-0.8659947124917383,-2.551883674818242,-0.0,-1.8633509583608725,1.0,-1.9805023132848645,0.0
2018-10-24,-0.8593466424682396,-2.5437221580597265,-0.0,-1.8629764065335754,1.0,-1.983336083154595,0.0
2018-10-25,-0.7321846249805082,-2.380087322625916,-0.0,-1.8229377826290345,1.0,-1.8614532979884606,0.0
2018-10-26,-0.6821982365460626,-2.3152934022499236,-0.0,-1.7931742170872604,1.0,-1.8104287017330494,0.0
2018-10-29,-0.6349289847448711,-2.315397910873976,-0.0,-1.7614789208687158,1.0,-1.803111144510408,0.0
2018-10-30,-0.6319387065274543,-2.314504619544806,-0.0,-1.760685044693157,1.0,-1.8043265980620447,0.0
2018-10-31,-0.6289033594790587,-2.2561787775640076,-0.0,-1.7378274382122243,1.0,-1.7767500369986677,0.0
2018-11-01,-0.6025650475418294,-2.267634701850077,-0.0,-1.7296380924301613,1.0,-1.7709147195400603,0.0
2018-11-02,-0.6016147803316847,-2.2053389583939484,-0.0,-1.72119581029968,1.0,-1.7455629909805064,0.0
2018-11-05,-0.5988663614562895,-2.208851100937432,-0.0,-1.719497129569072,1.0,-1.739699149771092,0.0
2018-11-06,-0.6034903497744584,-2.231753309176958,-0.0,-1.7678030022923907,1.0,-1.791688234859129,0.0
2018-11-07,-0.6016717212811598,-2.2352984688216586,-0.0,-1.766994600192322,1.0,-1.7930320289962276,0.0
2018-11-08,-0.5305525064032199,-2.2395901939260887,-0.0,-1.7436516648371754,1.0,-1.8041712403951702,0.0
2018-11-09,-0.5302121433796636,-2.2384784198975862,-0.0,-1.7434528163862473,1.0,-1.803145574250183,0.0
2018-11-12,-0.5270900087387125,-2.200553451791436,-0.0,-1.757427905621905,1.0,-1.797189047480338,0.0
2018-11-13,-0.4866125906252244,-2.179743019165889,-0.0,-1.7367741009259925,1.0,-1.775177661330845,0.0
2018-11-14,-0.4925839755707431,-2.211283990111968,-0.0,-1.764141340700887,1.0,-1.8026028791624256,0.0
