Date,IWF,IWM,LTC,MTUM,SPY,VLUE,VXX
2018-09-24,-0.2903397027600849,-0.671443736730361,1.0,-0.0,-0.46150407866800763,-0.37032070622415914,0.0
2018-09-25,-0.28738186318631864,-0.679399189918992,1.0,-0.0,-0.4676811431143114,-0.37831908190819086,0.0
2018-09-26,-0.2879081934014007,-0.6799144938542457,1.0,-0.0,-0.46763986161505355,-0.3772396140972632,0.0
2018-09-27,-0.28775217354604543,-0.6807349258602741,1.0,-0.0,-0.46774148166905827,-0.3774232576460989,0.0
2018-09-28,-0.288931426641144,-0.6802443418533949,1.0,-0.0,-0.46807791915324853,-0.377772773336336,0.0
2018-10-01,-0.2889668241083802,-0.6875300506264672,1.0,-0.0,-0.4703736176711826,-0.3814237633283367,0.0
2018-10-02,-0.287836267256286,-0.698982339768121,1.0,-0.0,-0.46843552456274634,-0.3794256881254075,0.0
2018-10-03,-0.28772635814889336,-0.6972256071641114,1.0,-0.0,-0.4687278601184572,-0.3802250120440956,0.0
2018-10-04,-0.29587599544937426,-0.6909840728100113,1.0,-0.0,-0.48029010238907843,-0.3770193401592719,0.0
2018-10-05,-0.28226833894850084,-0.6842105263157894,1.0,-0.0,-0.48359332974717584,-0.3811330370034823,0.0
2018-10-08,-0.2794720330120686,-0.680986970407846,1.0,-0.0,-0.4859387807015064,-0.38000621802662443,0.0
2018-10-09,-0.2714354870860267,-0.6866190164307886,1.0,-0.0,-0.49597061252384883,-0.3936270182532676,0.0
2018-10-10,-0.2761306891139963,-0.6868882864888001,1.0,-0.0,-0.5000713368526181,-0.390355257526038,0.0
2018-10-11,-0.20287343470483005,-0.6920840787119856,1.0,-0.0,-0.4873378801431127,-0.41284660107334525,0.0
2018-10-12,-0.1975553815171179,-0.6964925039158648,1.0,-0.0,-0.4897068695457597,-0.41329156410830165,0.0
2018-10-15,-0.16333632689717106,-0.7371183206106869,1.0,-0.0,-0.4874831612034126,-0.41852828917826673,0.0
2018-10-16,-0.16023014313780523,-0.7422116194218356,1.0,-0.0,-0.48655627280381697,-0.4176255964075217,0.0
2018-10-17,-0.15293725152214407,-0.7279601879396147,1.0,-0.0,-0.4822486029636632,-0.4169979704745754,0.0
2018-10-18,-0.15238783565908712,-0.7270250736643131,1.0,-0.0,-0.48329348974259184,-0.4170790015010841,0.0
2018-10-19,-0.13858328508010037,-0.7186974384426613,1.0,-0.0,-0.48471061846858027,-0.4153362561005873,0.0
2018-10-22,-0.13864770252763306,-0.7128917555610684,1.0,-0.0,-0.48716888558119026,-0.41773477769508527,0.0
2018-10-23,-0.13690919625858786,-0.7136550506304666,1.0,-0.0,-0.4893910548243799,-0.4191981899953095,0.0
2018-10-24,-0.1351030984673062,-0.7101940677031646,1.0,-0.0,-0.49026904840666,-0.42104972984893585,0.0
2018-10-25,-0.10029085424970377,-0.6760745448669611,1.0,-0.0,-0.5167241193579662,-0.400032317138856,0.0
2018-10-26,-0.0869321817018554,-0.6653071017274471,1.0,-0.0,-0.5205800810407336,-0.3929675837065473,0.0
2018-10-29,-0.08120544738802,-0.6669858495584636,1.0,-0.0,-0.5194169592509842,-0.39224917544419613,0.0
2018-10-30,-0.0674992011928853,-0.6686814357226543,1.0,-0.0,-0.5214612844818404,-0.40502183406113534,0.0
2018-10-31,-0.07021209076003597,-0.6547574972232507,1.0,-0.0,-0.5188554503622997,-0.40072459935473637,0.0
2018-11-01,-0.04023003807343114,-0.6876381160307783,1.0,-0.0,-0.525865970872494,-0.4087169519955271,0.0
2018-11-02,-0.04339078177534217,-0.6700818044635056,1.0,-0.0,-0.5292139888279989,-0.4046805919572181,0.0
2018-11-05,-0.05034550839091807,-0.6604412902537287,1.0,-0.0,-0.5341639764147168,-0.42306768762839836,0.0
2018-11-06,-0.046629905241179936,-0.6589485518496707,1.0,-0.0,-0.540259114513625,-0.4309652550993094,0.0
2018-11-07,-0.056029571162558016,-0.6884188877463105,1.0,-0.0,-0.5760262360690364,-0.45874211389344377,0.0
2018-11-08,-0.027025534851621808,-0.6943547273982056,1.0,-0.0,-0.5703519668737059,-0.46879227053140093,0.0
2018-11-09,-0.0257800398318212,-0.6961993803938925,1.0,-0.0,-0.574103784023014,-0.4700154901526886,0.0
2018-11-12,-0.025006196469389442,-0.6829060064443282,1.0,-0.0,-0.5788604004296218,-0.4672137919638677,0.0
2018-11-13,-0.0003549100439542439,-0.6813180813017008,1.0,-0.0,-0.5838270223047313,-0.4646045483087171,0.0
2018-11-14,-0.0004913870765198876,-0.6811716851846795,1.0,-0.0,-0.5837951461876553,-0.46449728372143806,0.0
2018-11-15,-0.0,-0.6818479864488278,1.0,-0.0,-0.5840664444565871,-0.46617671165510083,0.0
2018-11-16,-0.0,-0.673593930397493,1.0,-0.0,-0.590631700478311,-0.48468854802353073,0.0
2018-11-19,-0.0,-0.6769005847953216,1.0,-0.0,-0.5944775460664239,-0.48709036742800393,0.0
2018-11-20,-0.0,-0.6600692726373083,1.0,-0.0,-0.5857386332398702,-0.5031062730221563,0.0
2018-11-21,-0.0,-0.6559189564554342,1.0,-0.0,-0.5855232700634515,-0.4817951580839302,0.0
2018-11-23,-0.0,-0.6457114877179619,1.0,-0.0,-0.5909523679986942,-0.4835831451810343,0.0
2018-11-26,-0.0,-0.6492616464061354,1.0,-0.0,-0.5888063963449458,-0.4814391776127927,0.0
2018-11-27,-0.0,-0.6530789245446661,1.0,-0.0,-0.5820414137033825,-0.47520056374674763,0.0
2018-11-28,-0.0,-0.649760091084063,1.0,-0.0,-0.5843476375071159,-0.4767545880885901,0.0
2018-11-29,-0.0,-0.6343751675333726,1.0,-0.0,-0.5721331689272503,-0.4740524312443039,0.0
2018-11-30,-0.0,-0.6347287735849056,1.0,-0.0,-0.5731132075471698,-0.4722609348198971,0.0
2018-12-03,-0.0,-0.6388260025873221,1.0,-0.0,-0.5789133247089263,-0.47738788270806387,0.0
2018-12-04,-0.0,-0.6388582793560351,1.0,-0.0,-0.5743811648345741,-0.47442685516166316,0.0
2018-12-06,-0.0,-0.5997589224883392,1.0,-0.0,-0.5682092133535979,-0.4524658036790524,0.0
2018-12-07,-0.0,-0.6092073105939858,1.0,-0.0,-0.5765593454468176,-0.4707257464669004,0.0
2018-12-10,-0.0,-0.6136903191769981,1.0,-0.0,-0.5737272487470324,-0.4504088630968083,0.0
2018-12-11,-0.0,-0.6152931854199682,1.0,-0.0,-0.5700211304807185,-0.4560221870047544,0.0
