Date,DRE,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.259381034392777,-0.5347320077240227,-0.012577631647617556,-0.45997077396795577,-0.3428056990762486,0.0
2018-09-25,1.0,-0.2583903208837454,-0.5447133087848501,-0.00586533403471857,-0.4683587585481326,-0.35284061020515517,0.0
2018-09-26,1.0,-0.25853453263899845,-0.5448950607543002,-0.006233233391194572,-0.4682289200988901,-0.35216453632107725,0.0
2018-09-27,1.0,-0.25776430266279987,-0.5506459267070919,-0.0050619562351700495,-0.46947007645663064,-0.35349327708937517,0.0
2018-09-28,1.0,-0.25713155813340366,-0.5510941207487476,-0.0054310572106512,-0.46928552596889,-0.35349327708937517,0.0
2018-10-01,1.0,-0.25747707031769246,-0.5624617838628208,-0.006008241393061279,-0.4732686428286588,-0.35929815233284595,0.0
2018-10-02,1.0,-0.25737722382017686,-0.5724139767763929,-0.003462235005859167,-0.4720357941834452,-0.35796846702886975,0.0
2018-10-03,1.0,-0.2571010248901903,-0.5687475043258352,-0.003114601357646746,-0.4730467190203647,-0.3600159723146546,0.0
2018-10-04,1.0,-0.2616757692820035,-0.5629678966298122,-0.003703210337018782,-0.4792327161316105,-0.3566005061942187,0.0
2018-10-05,1.0,-0.25064997081763674,-0.5569056083196264,-0.0,-0.4839762296386693,-0.36143683344829414,0.0
2018-10-08,1.0,-0.24809281627463442,-0.5539044289044288,-0.0,-0.48635833863106587,-0.3605107014197923,0.0
2018-10-09,1.0,-0.24126376256582094,-0.5564065741183979,-0.0,-0.49239402159459605,-0.3693686506036913,0.0
2018-10-10,1.0,-0.2461878865429729,-0.5567551716783963,-0.0,-0.4967743655363617,-0.36612284069097883,0.0
2018-10-11,1.0,-0.20820542171809148,-0.5465684999219522,-0.0,-0.48295957125760963,-0.36385868151308604,0.0
2018-10-12,1.0,-0.20242893786316288,-0.5536826676438256,-0.0,-0.4915458304978275,-0.3697325027482594,0.0
2018-10-15,1.0,-0.18343998955204388,-0.5708763223194462,-0.0,-0.48805015018936915,-0.3696225675852161,0.0
2018-10-16,1.0,-0.1817968137895012,-0.5733611909114651,-0.0,-0.4874379733611909,-0.3690519717942021,0.0
2018-10-17,1.0,-0.17353982987305117,-0.5577474985133283,-0.0,-0.4841637148693022,-0.3700648964500866,0.0
2018-10-18,1.0,-0.17328921175771053,-0.5573795920477754,-0.0,-0.4845272872986738,-0.3700524805460045,0.0
2018-10-19,1.0,-0.15900506205514298,-0.54832078526094,-0.0,-0.49060821748850114,-0.3716370737723874,0.0
2018-10-22,1.0,-0.15889051695329168,-0.5402431814092182,-0.0,-0.495334310171975,-0.3761599958869951,0.0
2018-10-23,1.0,-0.15529199432770402,-0.5425035451849942,-0.0,-0.5006574706716515,-0.37983756606935676,0.0
2018-10-24,1.0,-0.1543527102755468,-0.5383880381168814,-0.0,-0.5044288923895359,-0.38530072566691626,0.0
2018-10-25,1.0,-0.12280879265423823,-0.5071459287177801,-0.0,-0.5322388890294185,-0.3673386790782384,0.0
2018-10-26,1.0,-0.11415811526206188,-0.49923476428230923,-0.0,-0.5335825576435758,-0.3619941290112151,0.0
2018-10-29,1.0,-0.11364777978702029,-0.49962326702833026,-0.0,-0.5370202933494073,-0.36126180429977894,0.0
2018-10-30,1.0,-0.0973473599436251,-0.5023153973926612,-0.0,-0.5400161071122968,-0.37708259928524684,0.0
2018-10-31,1.0,-0.10245758045948246,-0.4853095750538065,-0.0,-0.5404424645878172,-0.37439311276840687,0.0
2018-11-01,1.0,-0.07847713697736285,-0.5088591075641219,-0.0,-0.5436681222707423,-0.3786578326557245,0.0
2018-11-02,1.0,-0.08160411516468151,-0.49267111144405323,-0.0,-0.5474817089919345,-0.3753090119110046,0.0
2018-11-05,1.0,-0.08283772302463892,-0.4900544754860313,-0.0,-0.5477035334099656,-0.37827977410165425,0.0
2018-11-06,1.0,-0.08077067434004755,-0.48880270236456896,-0.0,-0.5504316276742149,-0.38220943325409734,0.0
2018-11-07,1.0,-0.08095929504831523,-0.48901016372102346,-0.0,-0.5509187402994042,-0.3824913633405097,0.0
2018-11-08,1.0,-0.06713394477170481,-0.4883553302015758,-0.0,-0.5459200159073397,-0.3841125444287028,0.0
