Date,ITGR,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.605072620854108,-1.1153696076306092,-0.08341643182310861,-0.8199002818122697,-0.7117710817255583,0.0
2018-09-25,1.0,-0.6055220840015604,-1.1144727146634303,-0.08447834944302371,-0.8191669195093407,-0.7108057734818604,0.0
2018-09-26,1.0,-0.6053749458170785,-1.1144343302990898,-0.08396185522323363,-0.8193758127438232,-0.7114867793671436,0.0
2018-09-27,1.0,-0.6058400485226583,-1.1118620570141236,-0.08474135690148168,-0.818906507235075,-0.7110302400138636,0.0
2018-09-28,1.0,-0.6049644775602149,-1.1121556056142783,-0.0852971755328366,-0.8186189568532317,-0.7109686362848726,0.0
2018-10-01,1.0,-0.6059096226333348,-1.1110437156102422,-0.08539491356527014,-0.8192019409904251,-0.7110177202027642,0.0
2018-10-02,1.0,-0.6058777565549575,-1.1255426289286334,-0.08230595589512069,-0.8178069109220351,-0.7094981767667998,0.0
2018-10-03,1.0,-0.606148768943506,-1.1268834947240438,-0.08302575014112641,-0.8174475661122932,-0.7088453688827131,0.0
2018-10-04,1.0,-0.6127700265136697,-1.1187030034337375,-0.08423523275524841,-0.8264006606684922,-0.7043943147737646,0.0
2018-10-05,1.0,-0.6045041143352101,-1.1157210913815505,-0.07154612386314423,-0.830835859679515,-0.7082286704200953,0.0
2018-10-08,1.0,-0.6023434797647872,-1.1120287097890003,-0.06641300588031823,-0.8352213766862677,-0.7077135939121411,0.0
2018-10-09,1.0,-0.6032521731609221,-1.1124854041430612,-0.06781127016390606,-0.8346667819919561,-0.7064827228300826,0.0
2018-10-10,1.0,-0.6030074536314786,-1.1171346853874156,-0.06517594037094818,-0.8364534581383255,-0.7117351360721096,0.0
2018-10-11,1.0,-0.5477814262860993,-1.115685779237181,-0.0,-0.8220510229856024,-0.7242990654205608,0.0
2018-10-12,1.0,-0.5582740398618566,-1.110015395497857,-0.0,-0.7981941497108144,-0.6944617817168061,0.0
2018-10-15,1.0,-0.5352948499813255,-1.1297671909366311,-0.0,-0.7922147985226377,-0.6925758393160976,0.0
2018-10-16,1.0,-0.5308764940239044,-1.1369936918990704,-0.0,-0.7908781540504647,-0.6913180610889774,0.0
2018-10-17,1.0,-0.5093900547072753,-1.0981056585286193,-0.0,-0.781783293867886,-0.6933534743202417,0.0
2018-10-18,1.0,-0.5090827448258971,-1.0977262521941462,-0.0,-0.7820957668285913,-0.6932685634975712,0.0
2018-10-19,1.0,-0.4954392508209349,-1.0890258239753516,-0.0,-0.7808002594559532,-0.6887339360278916,0.0
2018-10-22,1.0,-0.49608725621376154,-1.0892835421481573,-0.0,-0.7805214288610469,-0.6887645460811742,0.0
2018-10-23,1.0,-0.4997972753811223,-1.0895231916963997,-0.0,-0.7778138177100228,-0.6873580927667855,0.0
2018-10-24,1.0,-0.497954720343445,-1.0867117573204812,-0.0,-0.7776922765380098,-0.687699971649589,0.0
