Date,IWF,IWM,MTUM,RBCAA,SPY,VLUE,VXX
2018-09-24,-0.19463106852836362,-0.7750774084243736,-0.053864579073435774,1.0,-0.4510136121983993,-0.44645673891452947,0.0
2018-09-25,-0.19386082987066192,-0.7778135424591794,-0.05144261719435828,1.0,-0.45347340083104115,-0.44958155322759996,0.0
2018-09-26,-0.19414776883686907,-0.7782297000731528,-0.05220190197512802,1.0,-0.4532260424286759,-0.448310168251646,0.0
2018-09-27,-0.1940281030444965,-0.7793618266978923,-0.05204918032786885,1.0,-0.45342505854800935,-0.4485655737704918,0.0
2018-09-28,-0.19131658409310778,-0.7835595555685849,-0.05268095335815426,1.0,-0.4543695582070299,-0.44967898918237514,0.0
2018-10-01,-0.1932275008069486,-0.7826520731242115,-0.052348953901229504,1.0,-0.4559112650019074,-0.4501892661169635,0.0
2018-10-02,-0.1936566834526018,-0.8001884736578615,-0.04770739464617016,1.0,-0.454839944635863,-0.4484789586830404,0.0
2018-10-03,-0.19390279823269513,-0.8007069219440354,-0.04801178203240058,1.0,-0.4546980854197349,-0.44818851251840935,0.0
2018-10-04,-0.1929403396461279,-0.812661154085534,-0.047627515485610984,1.0,-0.4538691799294627,-0.4566551080288077,0.0
2018-10-05,-0.18065354075036158,-0.80871978038197,-0.036780116303096494,1.0,-0.4605189361513711,-0.4651533488797709,0.0
2018-10-08,-0.18103117151721082,-0.8103708080957306,-0.03690353080218644,1.0,-0.46059979317476735,-0.465770423991727,0.0
2018-10-09,-0.1783363965139029,-0.8145787632655481,-0.02626430307701429,1.0,-0.46896306397106785,-0.47619612260627264,0.0
2018-10-10,-0.17804523760116206,-0.8150475795215368,-0.02582041324519017,1.0,-0.46903625529896537,-0.47647704028695936,0.0
2018-10-11,-0.11751451598925385,-0.8194817575179825,-0.0,1.0,-0.4560476066672445,-0.4957102001906578,0.0
2018-10-12,-0.11029602888086643,-0.8248953068592058,-0.0,1.0,-0.4564909747292419,-0.49640433212996393,0.0
2018-10-15,-0.08326601269474898,-0.8519619157530294,-0.0,1.0,-0.45196191575302946,-0.4979803808424697,0.0
2018-10-16,-0.08109511582955889,-0.8553789343103597,-0.0,1.0,-0.4512304186019675,-0.4972160516977757,0.0
2018-10-17,-0.06392227051904883,-0.8255064064320008,-0.0,1.0,-0.4473990738373249,-0.5041620500582402,0.0
2018-10-18,-0.06298068706204069,-0.8243320230160086,-0.0,1.0,-0.45419586395487954,-0.5070073491710819,0.0
2018-10-19,-0.047597512719050314,-0.817128321085359,-0.0,1.0,-0.4550593555681176,-0.5066704352741662,0.0
2018-10-22,-0.050993999033019544,-0.8329683456101931,-0.0,1.0,-0.45411108899064306,-0.5059583060777566,0.0
2018-10-23,-0.04949480574925288,-0.833527821260851,-0.0,1.0,-0.4559555998292301,-0.5071581044542479,0.0
2018-10-24,-0.04775600865702244,-0.8364563162091353,-0.0,1.0,-0.4562877320879371,-0.5071762159699282,0.0
2018-10-25,-0.030855579135485315,-0.816904948062102,-0.0,1.0,-0.45308835027365124,-0.49151122528761315,0.0
2018-10-26,-0.031323217672654245,-0.814571014169363,-0.0,1.0,-0.4528617650340288,-0.49051656811335487,0.0
2018-10-29,-0.0,-0.8434785045681296,-0.0,1.0,-0.44773275040636734,-0.5113222353007119,0.0
2018-10-30,-0.0,-0.8424620924409937,-0.0,1.0,-0.4441443722395701,-0.5265985877851858,0.0
2018-10-31,-0.0,-0.8283071075211716,-0.0,1.0,-0.44327678247016405,-0.523379636099388,0.0
2018-11-01,-0.0,-0.8283494494438544,-0.0,1.0,-0.4430998826225476,-0.5232519143703538,0.0
2018-11-02,-0.0,-0.8161578493306988,-0.0,1.0,-0.4460802048256477,-0.5207191161328028,0.0
2018-11-05,-0.0,-0.8309882700398429,-0.0,1.0,-0.44668579866818975,-0.5085397453400573,0.0
2018-11-06,-0.0,-0.8595225344570028,-0.0,1.0,-0.4540432368443305,-0.5050029594971673,0.0
2018-11-07,-0.0,-0.860125260960334,-0.0,1.0,-0.455312306042995,-0.5057552333126446,0.0
2018-11-08,-0.0,-0.8574549120645234,-0.0,1.0,-0.43760501848325306,-0.5054329562002913,0.0
2018-11-09,-0.0,-0.8586337494739795,-0.0,1.0,-0.4407630803759293,-0.5060457287137047,0.0
2018-11-12,-0.0,-0.8551824572212732,-0.0,1.0,-0.44075391379841483,-0.5046349455288879,0.0
2018-11-13,-0.0,-0.8513126026558282,-0.0,1.0,-0.4351493555301913,-0.49745274352050334,0.0
2018-11-14,-0.0,-0.8534340927469953,-0.0,1.0,-0.4361004991494939,-0.49901006664621733,0.0
2018-11-15,-0.0,-0.8537217008715994,-0.0,1.0,-0.4364679346161343,-0.494472445768706,0.0
2018-11-16,-0.0,-0.843792576115668,-0.0,1.0,-0.43550674266648126,-0.5011817044348672,0.0
2018-11-19,-0.0,-0.8488804405557264,-0.0,1.0,-0.44153411791015573,-0.5049897967741034,0.0
2018-11-20,-0.0,-0.8535117431346751,-0.0,1.0,-0.4421241217143017,-0.5037090949808246,0.0
2018-11-21,-0.0,-0.8518724766810524,-0.0,1.0,-0.43875817903382985,-0.4937212863705972,0.0
2018-11-23,-0.0,-0.8513280249457097,-0.0,1.0,-0.4390277855114427,-0.4937914137758227,0.0
2018-11-26,-0.0,-0.8554964785791832,-0.0,1.0,-0.43673969323274786,-0.4914956991342594,0.0
2018-11-27,-0.0,-0.8572893569844788,-0.0,1.0,-0.42918514412416847,-0.4851718403547672,0.0
