Date,ETG,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.18325288562434416,-0.2659811122770199,-0.1080797481636936,-0.28245540398740815,-0.25886673662119625,0.0
2018-09-25,1.0,-0.18391624530558295,-0.2652791473469987,-0.10920420451922876,-0.28179090699284565,-0.25785200260159874,0.0
2018-09-26,1.0,-0.18369531004091913,-0.26509285489455464,-0.10848809149092437,-0.2821110061903263,-0.25902843353268284,0.0
2018-09-27,1.0,-0.184765739692127,-0.2621744054360136,-0.10930749549096094,-0.2820770940816241,-0.2589027305901598,0.0
2018-09-28,1.0,-0.1849187205034085,-0.26217094913476663,-0.10938647089669638,-0.2820975353959098,-0.25894074462506556,0.0
2018-10-01,1.0,-0.18568251437203642,-0.2615710629012631,-0.10922747681591205,-0.2826360622718308,-0.2589903906676178,0.0
2018-10-02,1.0,-0.18626998447400445,-0.25636775628383196,-0.11109479249716755,-0.2839159078511183,-0.26045906592253787,0.0
2018-10-03,1.0,-0.18640475141136223,-0.25729815945770107,-0.11125102310646603,-0.28369955298117483,-0.26002644336712205,0.0
2018-10-04,1.0,-0.1879484704796274,-0.2546473081280685,-0.111493432923503,-0.28565733708195207,-0.25833997734043895,0.0
2018-10-05,1.0,-0.19071536650975118,-0.25756556825823806,-0.11239071956960323,-0.2847385675857431,-0.2561155010087425,0.0
2018-10-08,1.0,-0.19329259267090992,-0.2632847687720708,-0.11422892305089763,-0.28493793745110063,-0.2588230318665285,0.0
2018-10-09,1.0,-0.19450849322023145,-0.2633850189325831,-0.1168743257250439,-0.2837349015294143,-0.25689082562985216,0.0
2018-10-10,1.0,-0.1944796954314721,-0.26328257191201354,-0.11683587140439931,-0.28371404399323186,-0.25676818950930624,0.0
2018-10-11,1.0,-0.18402871991818162,-0.2590636805743984,-0.1050280728851412,-0.2804157709085596,-0.2586462399031538,0.0
2018-10-12,1.0,-0.18546682690315364,-0.2549210559031951,-0.10480295056151838,-0.27479176163441216,-0.2520202229497327,0.0
2018-10-15,1.0,-0.18025360445152347,-0.2625199098111412,-0.09794592805576816,-0.274745050989802,-0.2530873135717684,0.0
2018-10-16,1.0,-0.17868085458761176,-0.27037098376946006,-0.09231119576018548,-0.2755258363696588,-0.25335375952302086,0.0
2018-10-17,1.0,-0.17365871680144496,-0.2579327613808957,-0.0877427035014983,-0.27552235129920777,-0.25760436763679656,0.0
2018-10-18,1.0,-0.1735864545920985,-0.2577937403796819,-0.08777834787070293,-0.2755874807593638,-0.25758850692662905,0.0
2018-10-19,1.0,-0.16964413319994281,-0.2528226382735458,-0.08501602727699627,-0.27675126074440065,-0.2574572776087711,0.0
2018-10-22,1.0,-0.17025664060107393,-0.2514138712509443,-0.08354600951428162,-0.27795585863329186,-0.25849854019069396,0.0
2018-10-23,1.0,-0.16997161353564647,-0.2516592807400903,-0.08272918496130047,-0.2787795862519656,-0.25903159270529136,0.0
2018-10-24,1.0,-0.1694149860029833,-0.2531110157543064,-0.08363472894828256,-0.27875518502625724,-0.2584237520178181,0.0
2018-10-25,1.0,-0.16490331995622037,-0.2460780736957315,-0.08310024727390652,-0.27897361060440234,-0.25378004783331304,0.0
2018-10-26,1.0,-0.15896588550587382,-0.2428516734841921,-0.07258145767424991,-0.28804884437906786,-0.25258427871924555,0.0
2018-10-29,1.0,-0.15727217863608933,-0.24302957151478577,-0.07109233554616778,-0.28744719372359684,-0.2528263930798632,0.0
2018-10-30,1.0,-0.16136436855670103,-0.2430331829896907,-0.07349387886597937,-0.2870288337628866,-0.24861066365979378,0.0
2018-10-31,1.0,-0.16374714394516374,-0.23311420210846995,-0.07445785064336394,-0.2864272257185233,-0.24652262797129915,0.0
2018-11-01,1.0,-0.16984621570007036,-0.22725902100713638,-0.0800482460548799,-0.28656146346366473,-0.24655744295909135,0.0
2018-11-02,1.0,-0.16991637854788133,-0.22704430328857442,-0.08004341883090778,-0.2866044866125272,-0.2465224732652569,0.0
2018-11-05,1.0,-0.16652923312081414,-0.2379276362100521,-0.07958407916172242,-0.2883489873494097,-0.23885279861627884,0.0
2018-11-06,1.0,-0.16436536371321606,-0.23668531862646433,-0.08067308079384887,-0.28986353206392657,-0.24121412181474178,0.0
2018-11-07,1.0,-0.16400370266028091,-0.23654767175111685,-0.08127741779691713,-0.2894514428301203,-0.2410150118726607,0.0
2018-11-08,1.0,-0.16377350900130747,-0.2363471789198431,-0.08092125113144927,-0.28957055214723926,-0.24087297596298904,0.0
2018-11-09,1.0,-0.16243307435288434,-0.23680608671148506,-0.08157884143150436,-0.2910712129141339,-0.2408920735880198,0.0
2018-11-12,1.0,-0.16231965599003337,-0.23337218181087488,-0.08156170879717076,-0.2920869670055861,-0.24006349716674036,0.0
2018-11-13,1.0,-0.15843584358435844,-0.23142314231423142,-0.07814781478147814,-0.29328932893289333,-0.23890389038903892,0.0
2018-11-14,1.0,-0.1573757982248283,-0.23569219647375397,-0.07660950238965421,-0.2961564721474758,-0.24227880637776616,0.0
2018-11-15,1.0,-0.15721918688735337,-0.23567812951952435,-0.07645026514542824,-0.29609914832074563,-0.24323075686967702,0.0
2018-11-16,1.0,-0.15634715285717152,-0.2323445052851154,-0.07499448422488317,-0.29612692299977933,-0.24592334075455802,0.0
2018-11-19,1.0,-0.15647936469738902,-0.2316207435928288,-0.07712669955480689,-0.29485019853206595,-0.2452973970240244,0.0
2018-11-20,1.0,-0.14583458225925702,-0.2297823871470535,-0.06578342625342205,-0.30048158583618084,-0.25637951361828826,0.0
