Date,AMD,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.8667417666158638,-1.7061162282154927,-0.4860512888476576,-1.3105162017096283,-1.2571068848982838,0.0
2018-09-25,1.0,-0.8896694767830857,-1.7180516526160845,-0.5052187876354877,-1.3195503813729426,-1.2583299879566439,0.0
2018-09-26,1.0,-0.8893796426420396,-1.7181288897811686,-0.5040487184634945,-1.3202168239309375,-1.2602556380914138,0.0
2018-09-27,1.0,-0.8904265276106432,-1.7116593127423452,-0.5054151624548737,-1.3190266078352721,-1.2589249899719215,0.0
2018-09-28,1.0,-0.8893716577540106,-1.711831550802139,-0.5060828877005347,-1.3185160427807485,-1.2586229946524063,0.0
2018-10-01,1.0,-0.9128695416327638,-1.7329807431516135,-0.5057634933550312,-1.348047192839707,-1.2809194467046379,0.0
2018-10-02,1.0,-0.9162257495590829,-1.7109618776285445,-0.5141093474426808,-1.354361687695021,-1.287681454348121,0.0
2018-10-03,1.0,-0.9386316516931582,-1.7810642709053215,-0.5225984796129924,-1.373255010366275,-1.2953006219765033,0.0
2018-10-04,1.0,-0.9549018247415527,-1.7713175605356277,-0.5250815236245056,-1.395615069728717,-1.291264830361479,0.0
2018-10-05,1.0,-0.9333057166528583,-1.760425296879315,-0.5034520850593759,-1.4047224523612263,-1.3022645677989506,0.0
2018-10-08,1.0,-0.9288025889967638,-1.7534944570680988,-0.4975556014597535,-1.4065275769469119,-1.2991806100667906,0.0
2018-10-09,1.0,-0.937137330754352,-1.760223818734457,-0.5089803813208068,-1.406465874550981,-1.295109146172976,0.0
2018-10-10,1.0,-0.9461613082039911,-1.7619872505543237,-0.5159368070953436,-1.4151191796008868,-1.289911308203991,0.0
2018-10-11,1.0,-0.8574954966975783,-1.7314697444792848,-0.4195076389352192,-1.3740743211688573,-1.288945226499433,0.0
2018-10-12,1.0,-0.8902228707880073,-1.7360705757495358,-0.4143672061554789,-1.3440567789864686,-1.248341735208278,0.0
2018-10-15,1.0,-0.8717507771678021,-1.7610291685958066,-0.38891461075467954,-1.3426152523315036,-1.2498842516039421,0.0
2018-10-16,1.0,-0.8695192116923485,-1.768732226704583,-0.38297731631505855,-1.3425038026585543,-1.2495205343561933,0.0
2018-10-17,1.0,-0.8384152262575256,-1.701171748559591,-0.36194730368356315,-1.324593772253512,-1.2476856347510845,0.0
2018-10-18,1.0,-0.844225022736131,-1.7140444328959334,-0.3575418994413408,-1.3268156424581006,-1.2534753800181888,0.0
2018-10-19,1.0,-0.8220519095768661,-1.6956269723707094,-0.33644619050685903,-1.332968377664713,-1.2532362980614415,0.0
2018-10-22,1.0,-0.8407138576280216,-1.8018245987880401,-0.378903908903243,-1.3563960844376375,-1.281214623426783,0.0
2018-10-23,1.0,-0.8612736197969201,-1.8204559209199112,-0.40024208190437766,-1.3551879497007597,-1.2874050164750184,0.0
2018-10-24,1.0,-0.8637983193277311,-1.816,-0.38682352941176473,-1.3610084033613445,-1.2949915966386556,0.0
2018-10-25,1.0,-0.8013428885015171,-1.7185744722060816,-0.3787203822067273,-1.3368842404286914,-1.2206727354897022,0.0
2018-10-26,1.0,-0.8768882726410274,-1.9894183755382033,-0.22257899729986133,-1.7212289279719766,-1.4875574691673354,0.0
2018-10-29,1.0,-0.8704149347334645,-1.9974476773864216,-0.2093633778166703,-1.7256617807919492,-1.4895354772843288,0.0
2018-10-30,1.0,-0.8790446278577168,-2.000365203418304,-0.21313271492221167,-1.727704331312541,-1.4838945292527939,0.0
