Date,BLFS,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-2.832447264620134,-4.893157262905162,-1.2220888355342137,-3.721145601097582,-3.4810495626822155,0.0
2018-09-25,1.0,-2.8318205172118516,-4.883884226751156,-1.2253810584004112,-3.7134783353313923,-3.471656105497517,0.0
2018-09-26,1.0,-2.83596160438807,-4.890469660610216,-1.2298594446348987,-3.7158039081247853,-3.4688035653068217,0.0
2018-09-27,1.0,-2.83025641025641,-4.873333333333333,-1.225128205128205,-3.706495726495726,-3.4588034188034187,0.0
2018-09-28,1.0,-2.828263841421736,-4.873034859876965,-1.224196855775803,-3.7052289815447708,-3.4574504442925496,0.0
2018-10-01,1.0,-2.8282931829830855,-4.871006321544508,-1.224671108833077,-3.7044250811549637,-3.456688877498719,0.0
2018-10-02,1.0,-2.82801024765158,-4.863877028181042,-1.227668659265585,-3.7035012809564476,-3.4561912894961573,0.0
2018-10-03,1.0,-2.820582722780712,-4.844607258476743,-1.2216731981598228,-3.698245016186744,-3.4535696029988077,0.0
2018-10-04,1.0,-3.091678939617084,-5.18298969072165,-1.3216126656848308,-4.074374079528718,-3.7387702503681886,0.0
2018-10-05,1.0,-3.0105263157894737,-5.108711433756806,-1.2470054446460979,-4.05480943738657,-3.7275862068965515,0.0
2018-10-08,1.0,-3.00999273255814,-5.108648255813954,-1.2303779069767442,-4.081758720930233,-3.737645348837209,0.0
2018-10-09,1.0,-3.018757967583318,-5.125295938808961,-1.23238025860499,-4.091604443635039,-3.743580404297942,0.0
2018-10-10,1.0,-3.028633959511217,-5.128761626846617,-1.2398322086449025,-4.1012219587816885,-3.7397410176910455,0.0
2018-10-11,1.0,-2.6873186550605905,-4.963304318143027,-0.8501450759515276,-3.899300221880867,-3.6678614097968936,0.0
2018-10-12,1.0,-2.6595427435387675,-4.855864811133202,-0.7983764082173624,-3.7514910536779325,-3.502153744201458,0.0
2018-10-15,1.0,-2.579240340537001,-4.899476096922069,-0.7039947609692206,-3.7125081859855924,-3.476588081204977,0.0
2018-10-16,1.0,-2.5797576154602027,-4.902882410743531,-0.7014412053717655,-3.7148706190632166,-3.4783819194235175,0.0
2018-10-17,1.0,-2.4253393665158374,-4.619441410516462,-0.5872991106256826,-3.5823061320018725,-3.388672179747231,0.0
2018-10-18,1.0,-2.42315493836792,-4.6152285848026215,-0.5893275081916056,-3.5860508659697303,-3.3891402714932126,0.0
2018-10-19,1.0,-2.3460186458810943,-4.525294207550053,-0.5217790004585052,-3.5491364817362068,-3.341127922971114,0.0
2018-10-22,1.0,-2.345127344822327,-4.5032789385389655,-0.5119719383864573,-3.5494890956229983,-3.341162116821717,0.0
2018-10-23,1.0,-2.353129770992366,-4.5068702290076335,-0.5241221374045801,-3.5441221374045804,-3.3389312977099235,0.0
2018-10-24,1.0,-2.3490637844420763,-4.491551225452884,-0.5008372659461106,-3.5425483330796164,-3.33916882326077,0.0
2018-10-25,1.0,-2.267233525660492,-4.437443061038567,-0.4246887336774977,-3.7136349832979043,-3.340722745217127,0.0
2018-10-26,1.0,-2.173848878394333,-4.322609208972845,-0.3388429752066116,-3.6717827626918536,-3.2508854781582053,0.0
2018-10-29,1.0,-2.0965686984218905,-4.295062979585927,-0.2768206167656001,-3.599102359924714,-3.210655856377588,0.0
2018-10-30,1.0,-2.0777232013868825,-4.2898006356544345,-0.264085524414909,-3.5950592314360006,-3.220023114706732,0.0
2018-10-31,1.0,-2.086103151862464,-4.201002865329513,-0.2621776504297994,-3.5829512893982804,-3.194412607449857,0.0
2018-11-01,1.0,-2.041898247114151,-4.231295425395468,-0.21747185406869032,-3.572894399315947,-3.1875445347014395,0.0
2018-11-02,1.0,-2.090896098327855,-4.149492639702729,-0.1895097899099614,-3.6524224667714735,-3.2096612834071743,0.0
2018-11-05,1.0,-2.080576155162578,-4.159298345693098,-0.18796349115801483,-3.6446092413006275,-3.1886765544780378,0.0
2018-11-06,1.0,-2.089937286202965,-4.164908779931586,-0.18443557582668188,-3.636687571265678,-3.1771664766248575,0.0
2018-11-07,1.0,-2.0995970063327576,-4.208117443868739,-0.20552677029360966,-3.6678180771445024,-3.2115716753022454,0.0
2018-11-08,1.0,-2.0059456398640996,-4.200877689694225,-0.10815402038505097,-3.6241506228765576,-3.217157417893545,0.0
