Date,FMBI,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.10930124689640118,-0.7214537120405992,-0.07246732694878721,-0.3666475675970642,-0.4585686611552209,0.0
2018-09-25,1.0,-0.10831647438350922,-0.7245065339821751,-0.06955000273388376,-0.36940237301109957,-0.462081032314506,0.0
2018-09-26,1.0,-0.10898750444316846,-0.725425860607552,-0.07106335274656167,-0.3690427364449184,-0.45973805813031476,0.0
2018-09-27,1.0,-0.10863021944946095,-0.7275488425545887,-0.0706233240299896,-0.3693974716795272,-0.46010507305861104,0.0
2018-09-28,1.0,-0.1057017543859649,-0.732373903508772,-0.07121710526315789,-0.37058662280701754,-0.4613486842105263,0.0
2018-10-01,1.0,-0.1054190434401053,-0.7333260201842914,-0.0715225976305397,-0.3705024133391838,-0.46163339183852564,0.0
2018-10-02,1.0,-0.10555219946180461,-0.7415838321709044,-0.06925146905376461,-0.3694052391674447,-0.4601021472898017,0.0
2018-10-03,1.0,-0.10537439613526571,-0.7367973210364516,-0.06864844093104963,-0.371019982433026,-0.4629721124286342,0.0
2018-10-04,1.0,-0.10408129360948057,-0.7528796101450881,-0.06786465832318087,-0.3699745265256396,-0.4740835086942076,0.0
2018-10-05,1.0,-0.09159399492217683,-0.7494204658350812,-0.057870625896898106,-0.37675240092725465,-0.4840490120322331,0.0
2018-10-08,1.0,-0.0902502204585538,-0.7478505291005292,-0.055996472663139334,-0.3779761904761905,-0.4836585097001764,0.0
2018-10-09,1.0,-0.08836747635721967,-0.7489315944746201,-0.05100774766329372,-0.3810416609225509,-0.4878546417050373,0.0
2018-10-10,1.0,-0.08888950139191312,-0.7481601940409581,-0.05190044375844105,-0.38132907031228463,-0.48601196218406323,0.0
2018-10-11,1.0,-0.05253369272237197,-0.7540970350404314,-0.011940700808625337,-0.3745013477088949,-0.5023450134770889,0.0
2018-10-12,1.0,-0.04798948469647791,-0.7567799565438986,-0.008127900426513587,-0.369967005552724,-0.49958421631481525,0.0
2018-10-15,1.0,-0.012582012582012582,-0.8071658071658072,-0.0,-0.370953370953371,-0.5093015093015093,0.0
2018-10-16,1.0,-0.006974480968858131,-0.8180147058823528,-0.0,-0.370080017301038,-0.5082450259515571,0.0
2018-10-17,1.0,-0.0,-0.7853800700516029,-0.0,-0.3675570171920537,-0.5208149514718857,0.0
2018-10-18,1.0,-0.0,-0.7842151699061574,-0.0,-0.3684998529529717,-0.5208673101088148,0.0
2018-10-19,1.0,-0.0,-0.7813640116108759,-0.0,-0.3632659582967165,-0.518414955660302,0.0
2018-10-22,1.0,-0.0,-0.7830176111688381,-0.0,-0.3632270268830096,-0.5180774251991581,0.0
2018-10-23,1.0,-0.0,-0.7899954206287206,-0.0,-0.3761280068959944,-0.5275974463270748,0.0
2018-10-24,1.0,-0.0,-0.7967525801048252,-0.0,-0.3770195061328146,-0.5279353758037499,0.0
2018-10-25,1.0,-0.0,-0.7931368330464716,-0.0,-0.37274096385542166,-0.5234509466437177,0.0
2018-10-26,1.0,-0.0,-0.7812741879520644,-0.0,-0.3733952544906184,-0.5143459577761763,0.0
2018-10-29,1.0,-0.0,-0.7826944607346591,-0.0,-0.36938209735032257,-0.5135682678466706,0.0
2018-10-30,1.0,-0.0,-0.7859300820025896,-0.0,-0.3686609840310747,-0.5428625377643505,0.0
2018-10-31,1.0,-0.0,-0.7775241062555398,-0.0,-0.36770433241116274,-0.5407053262066558,0.0
2018-11-01,1.0,-0.0,-0.7802973379132674,-0.0,-0.36450729927007297,-0.5387237011592958,0.0
2018-11-02,1.0,-0.0,-0.7616720085470085,-0.0,-0.37259615384615385,-0.5366720085470085,0.0
2018-11-05,1.0,-0.0,-0.7702785716193477,-0.0,-0.37226569803156967,-0.528324563980663,0.0
2018-11-06,1.0,-0.0,-0.7741487515022033,-0.0,-0.37129122713312857,-0.5251435438643344,0.0
2018-11-07,1.0,-0.0,-0.7743907321890932,-0.0,-0.3700718041801244,-0.5248378400021354,0.0
2018-11-08,1.0,-0.0,-0.7716460261476041,-0.0,-0.3562279561908298,-0.5239863162640218,0.0
2018-11-09,1.0,-0.0,-0.7723639839621891,-0.0,-0.3587530867475638,-0.5241762034996416,0.0
2018-11-12,1.0,-0.0,-0.7666816773065614,-0.0,-0.35964610209001086,-0.5226086726179439,0.0
2018-11-13,1.0,-0.0,-0.7627591286962011,-0.0,-0.3512574976323266,-0.5167052509733768,0.0
2018-11-14,1.0,-0.0,-0.7624259965793975,-0.0,-0.3521115642678595,-0.5167214840152612,0.0
2018-11-15,1.0,-0.0,-0.7663868216848965,-0.0,-0.35339918959718214,-0.5285892105193464,0.0
2018-11-16,1.0,-0.0,-0.7718612993224393,-0.0,-0.3568221070811744,-0.528391125282317,0.0
2018-11-19,1.0,-0.0,-0.7722693319864962,-0.0,-0.3573726042691193,-0.5285892766952869,0.0
2018-11-20,1.0,-0.0,-0.7591107582373957,-0.0,-0.3471483392880773,-0.5402937673680032,0.0
2018-11-21,1.0,-0.0,-0.7577384712571069,-0.0,-0.34425668561802486,-0.5301379237734261,0.0
2018-11-23,1.0,-0.0,-0.7484549638395793,-0.0,-0.3495595003287311,-0.5318343195266272,0.0
2018-11-26,1.0,-0.0,-0.7509267292373216,-0.0,-0.34787180902805165,-0.5302205747035781,0.0
2018-11-27,1.0,-0.0,-0.7509374590271404,-0.0,-0.34388357152222365,-0.5274419824308378,0.0
2018-11-28,1.0,-0.0,-0.7506686946032413,-0.0,-0.34418104578591285,-0.5274820370273247,0.0
